Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 661, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
2, 661, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
3, 661, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
4, 661, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
5, 662, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
6, 662, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
7, 662, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
8, 662, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
9, 662, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
10, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
11, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
12, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
13, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
14, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
15, 664, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
16, 664, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
17, 664, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
18, 664, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
19, 664, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
20, 665, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
21, 665, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
22, 665, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
23, 665, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
24, 665, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
25, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
26, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
27, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
28, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
29, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
30, 667, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 
31, 667, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 
32, 667, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 
33, 667, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 
34, 668, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
35, 668, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
36, 668, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
37, 668, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
38, 668, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
39, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
40, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
41, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
42, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
43, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
44, 670, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
45, 670, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
46, 670, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
47, 670, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
48, 670, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
49, 671, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
50, 671, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
51, 671, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
52, 671, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
53, 671, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
54, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
55, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
56, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
57, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
58, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
59, 673, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
60, 673, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
61, 673, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
62, 673, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
63, 673, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
64, 674, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
