Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,59,0,0,0,0,1,1,1,0,1,1, 
2,59,0,0,0,0,1,1,1,0,1,1, 
3,59,0,0,0,0,1,1,1,0,1,1, 
4,59,0,0,0,0,1,1,1,0,1,1, 
5,60,0,0,0,0,1,1,1,1,0,0, 
6,60,0,0,0,0,1,1,1,1,0,0, 
7,60,0,0,0,0,1,1,1,1,0,0, 
8,60,0,0,0,0,1,1,1,1,0,0, 
9,60,0,0,0,0,1,1,1,1,0,0, 
10,61,0,0,0,0,1,1,1,1,0,1, 
11,61,0,0,0,0,1,1,1,1,0,1, 
12,61,0,0,0,0,1,1,1,1,0,1, 
13,61,0,0,0,0,1,1,1,1,0,1, 
14,61,0,0,0,0,1,1,1,1,0,1, 
15,62,0,0,0,0,1,1,1,1,1,0, 
16,62,0,0,0,0,1,1,1,1,1,0, 
17,62,0,0,0,0,1,1,1,1,1,0, 
18,62,0,0,0,0,1,1,1,1,1,0, 
19,63,0,0,0,0,1,1,1,1,1,1, 
20,63,0,0,0,0,1,1,1,1,1,1, 
21,63,0,0,0,0,1,1,1,1,1,1, 
22,63,0,0,0,0,1,1,1,1,1,1, 
23,63,0,0,0,0,1,1,1,1,1,1, 
24,64,0,0,0,1,0,0,0,0,0,0, 
25,64,0,0,0,1,0,0,0,0,0,0, 
26,64,0,0,0,1,0,0,0,0,0,0, 
27,64,0,0,0,1,0,0,0,0,0,0, 
28,64,0,0,0,1,0,0,0,0,0,0, 
29,65,0,0,0,1,0,0,0,0,0,1, 
30,65,0,0,0,1,0,0,0,0,0,1, 
31,65,0,0,0,1,0,0,0,0,0,1, 
32,65,0,0,0,1,0,0,0,0,0,1, 
33,65,0,0,0,1,0,0,0,0,0,1, 
34,66,0,0,0,1,0,0,0,0,1,0, 
35,66,0,0,0,1,0,0,0,0,1,0, 
36,66,0,0,0,1,0,0,0,0,1,0, 
37,66,0,0,0,1,0,0,0,0,1,0, 
38,66,0,0,0,1,0,0,0,0,1,0, 
39,67,0,0,0,1,0,0,0,0,1,1, 
40,67,0,0,0,1,0,0,0,0,1,1, 
41,67,0,0,0,1,0,0,0,0,1,1, 
42,67,0,0,0,1,0,0,0,0,1,1, 
43,67,0,0,0,1,0,0,0,0,1,1, 
44,68,0,0,0,1,0,0,0,1,0,0, 
45,68,0,0,0,1,0,0,0,1,0,0, 
46,68,0,0,0,1,0,0,0,1,0,0, 
47,68,0,0,0,1,0,0,0,1,0,0, 
48,68,0,0,0,1,0,0,0,1,0,0, 
49,69,0,0,0,1,0,0,0,1,0,1, 
50,69,0,0,0,1,0,0,0,1,0,1, 
51,69,0,0,0,1,0,0,0,1,0,1, 
52,69,0,0,0,1,0,0,0,1,0,1, 
53,69,0,0,0,1,0,0,0,1,0,1, 
54,70,0,0,0,1,0,0,0,1,1,0, 
55,70,0,0,0,1,0,0,0,1,1,0, 
56,70,0,0,0,1,0,0,0,1,1,0, 
57,70,0,0,0,1,0,0,0,1,1,0, 
58,70,0,0,0,1,0,0,0,1,1,0, 
59,71,0,0,0,1,0,0,0,1,1,1, 
60,71,0,0,0,1,0,0,0,1,1,1, 
61,71,0,0,0,1,0,0,0,1,1,1, 
62,71,0,0,0,1,0,0,0,1,1,1, 
63,72,0,0,0,1,0,0,1,0,0,0, 
64,72,0,0,0,1,0,0,1,0,0,0, 
65,72,0,0,0,1,0,0,1,0,0,0, 
66,72,0,0,0,1,0,0,1,0,0,0, 
67,72,0,0,0,1,0,0,1,0,0,0, 
68,73,0,0,0,1,0,0,1,0,0,1, 
69,73,0,0,0,1,0,0,1,0,0,1, 
70,73,0,0,0,1,0,0,1,0,0,1, 
71,73,0,0,0,1,0,0,1,0,0,1, 
72,73,0,0,0,1,0,0,1,0,0,1, 
73,74,0,0,0,1,0,0,1,0,1,0, 
74,74,0,0,0,1,0,0,1,0,1,0, 
75,74,0,0,0,1,0,0,1,0,1,0, 
76,74,0,0,0,1,0,0,1,0,1,0, 
77,74,0,0,0,1,0,0,1,0,1,0, 
78,75,0,0,0,1,0,0,1,0,1,1, 
79,75,0,0,0,1,0,0,1,0,1,1, 
80,75,0,0,0,1,0,0,1,0,1,1, 
81,75,0,0,0,1,0,0,1,0,1,1, 
82,75,0,0,0,1,0,0,1,0,1,1, 
83,76,0,0,0,1,0,0,1,1,0,0, 
84,76,0,0,0,1,0,0,1,1,0,0, 
85,76,0,0,0,1,0,0,1,1,0,0, 
86,76,0,0,0,1,0,0,1,1,0,0, 
87,76,0,0,0,1,0,0,1,1,0,0, 
88,77,0,0,0,1,0,0,1,1,0,1, 
89,77,0,0,0,1,0,0,1,1,0,1, 
90,77,0,0,0,1,0,0,1,1,0,1, 
91,77,0,0,0,1,0,0,1,1,0,1, 
92,77,0,0,0,1,0,0,1,1,0,1, 
93,78,0,0,0,1,0,0,1,1,1,0, 
94,78,0,0,0,1,0,0,1,1,1,0, 
95,78,0,0,0,1,0,0,1,1,1,0, 
96,78,0,0,0,1,0,0,1,1,1,0, 
97,78,0,0,0,1,0,0,1,1,1,0, 
98,79,0,0,0,1,0,0,1,1,1,1, 
99,79,0,0,0,1,0,0,1,1,1,1, 
100,79,0,0,0,1,0,0,1,1,1,1, 
101,79,0,0,0,1,0,0,1,1,1,1, 
102,80,0,0,0,1,0,1,0,0,0,0, 
103,80,0,0,0,1,0,1,0,0,0,0, 
104,80,0,0,0,1,0,1,0,0,0,0, 
105,80,0,0,0,1,0,1,0,0,0,0, 
106,80,0,0,0,1,0,1,0,0,0,0, 
107,81,0,0,0,1,0,1,0,0,0,1, 
108,81,0,0,0,1,0,1,0,0,0,1, 
109,81,0,0,0,1,0,1,0,0,0,1, 
110,81,0,0,0,1,0,1,0,0,0,1, 
111,81,0,0,0,1,0,1,0,0,0,1, 
112,82,0,0,0,1,0,1,0,0,1,0, 
113,82,0,0,0,1,0,1,0,0,1,0, 
114,82,0,0,0,1,0,1,0,0,1,0, 
115,82,0,0,0,1,0,1,0,0,1,0, 
116,82,0,0,0,1,0,1,0,0,1,0, 
117,83,0,0,0,1,0,1,0,0,1,1, 
118,83,0,0,0,1,0,1,0,0,1,1, 
119,83,0,0,0,1,0,1,0,0,1,1, 
120,83,0,0,0,1,0,1,0,0,1,1, 
121,83,0,0,0,1,0,1,0,0,1,1, 
122,84,0,0,0,1,0,1,0,1,0,0, 
123,84,0,0,0,1,0,1,0,1,0,0, 
124,84,0,0,0,1,0,1,0,1,0,0, 
125,84,0,0,0,1,0,1,0,1,0,0, 
126,84,0,0,0,1,0,1,0,1,0,0, 
127,85,0,0,0,1,0,1,0,1,0,1, 
128,85,0,0,0,1,0,1,0,1,0,1, 
129,85,0,0,0,1,0,1,0,1,0,1, 
130,85,0,0,0,1,0,1,0,1,0,1, 
131,85,0,0,0,1,0,1,0,1,0,1, 
132,86,0,0,0,1,0,1,0,1,1,0, 
133,86,0,0,0,1,0,1,0,1,1,0, 
134,86,0,0,0,1,0,1,0,1,1,0, 
135,86,0,0,0,1,0,1,0,1,1,0, 
136,86,0,0,0,1,0,1,0,1,1,0, 
137,87,0,0,0,1,0,1,0,1,1,1, 
138,87,0,0,0,1,0,1,0,1,1,1, 
139,87,0,0,0,1,0,1,0,1,1,1, 
140,87,0,0,0,1,0,1,0,1,1,1, 
141,87,0,0,0,1,0,1,0,1,1,1, 
142,88,0,0,0,1,0,1,1,0,0,0, 
143,88,0,0,0,1,0,1,1,0,0,0, 
144,88,0,0,0,1,0,1,1,0,0,0, 
145,88,0,0,0,1,0,1,1,0,0,0, 
146,89,0,0,0,1,0,1,1,0,0,1, 
147,89,0,0,0,1,0,1,1,0,0,1, 
148,89,0,0,0,1,0,1,1,0,0,1, 
149,89,0,0,0,1,0,1,1,0,0,1, 
150,89,0,0,0,1,0,1,1,0,0,1, 
151,90,0,0,0,1,0,1,1,0,1,0, 
152,90,0,0,0,1,0,1,1,0,1,0, 
153,90,0,0,0,1,0,1,1,0,1,0, 
154,90,0,0,0,1,0,1,1,0,1,0, 
155,90,0,0,0,1,0,1,1,0,1,0, 
156,91,0,0,0,1,0,1,1,0,1,1, 
157,91,0,0,0,1,0,1,1,0,1,1, 
158,91,0,0,0,1,0,1,1,0,1,1, 
159,91,0,0,0,1,0,1,1,0,1,1, 
160,91,0,0,0,1,0,1,1,0,1,1, 
161,92,0,0,0,1,0,1,1,1,0,0, 
162,92,0,0,0,1,0,1,1,1,0,0, 
163,92,0,0,0,1,0,1,1,1,0,0, 
164,92,0,0,0,1,0,1,1,1,0,0, 
165,92,0,0,0,1,0,1,1,1,0,0, 
166,93,0,0,0,1,0,1,1,1,0,1, 
167,93,0,0,0,1,0,1,1,1,0,1, 
168,93,0,0,0,1,0,1,1,1,0,1, 
169,93,0,0,0,1,0,1,1,1,0,1, 
170,93,0,0,0,1,0,1,1,1,0,1, 
171,94,0,0,0,1,0,1,1,1,1,0, 
172,94,0,0,0,1,0,1,1,1,1,0, 
173,94,0,0,0,1,0,1,1,1,1,0, 
174,94,0,0,0,1,0,1,1,1,1,0, 
175,94,0,0,0,1,0,1,1,1,1,0, 
176,95,0,0,0,1,0,1,1,1,1,1, 
177,95,0,0,0,1,0,1,1,1,1,1, 
178,95,0,0,0,1,0,1,1,1,1,1, 
179,95,0,0,0,1,0,1,1,1,1,1, 
180,95,0,0,0,1,0,1,1,1,1,1, 
181,96,0,0,0,1,1,0,0,0,0,0, 
182,96,0,0,0,1,1,0,0,0,0,0, 
183,96,0,0,0,1,1,0,0,0,0,0, 
184,96,0,0,0,1,1,0,0,0,0,0, 
185,97,0,0,0,1,1,0,0,0,0,1, 
186,97,0,0,0,1,1,0,0,0,0,1, 
187,97,0,0,0,1,1,0,0,0,0,1, 
188,97,0,0,0,1,1,0,0,0,0,1, 
189,97,0,0,0,1,1,0,0,0,0,1, 
190,98,0,0,0,1,1,0,0,0,1,0, 
191,98,0,0,0,1,1,0,0,0,1,0, 
192,98,0,0,0,1,1,0,0,0,1,0, 
193,98,0,0,0,1,1,0,0,0,1,0, 
194,98,0,0,0,1,1,0,0,0,1,0, 
195,99,0,0,0,1,1,0,0,0,1,1, 
196,99,0,0,0,1,1,0,0,0,1,1, 
197,99,0,0,0,1,1,0,0,0,1,1, 
198,99,0,0,0,1,1,0,0,0,1,1, 
199,99,0,0,0,1,1,0,0,0,1,1, 
200,100,0,0,0,1,1,0,0,1,0,0, 
201,100,0,0,0,1,1,0,0,1,0,0, 
202,100,0,0,0,1,1,0,0,1,0,0, 
203,100,0,0,0,1,1,0,0,1,0,0, 
204,100,0,0,0,1,1,0,0,1,0,0, 
205,101,0,0,0,1,1,0,0,1,0,1, 
206,101,0,0,0,1,1,0,0,1,0,1, 
207,101,0,0,0,1,1,0,0,1,0,1, 
208,101,0,0,0,1,1,0,0,1,0,1, 
209,101,0,0,0,1,1,0,0,1,0,1, 
210,102,0,0,0,1,1,0,0,1,1,0, 
211,102,0,0,0,1,1,0,0,1,1,0, 
212,102,0,0,0,1,1,0,0,1,1,0, 
213,102,0,0,0,1,1,0,0,1,1,0, 
214,102,0,0,0,1,1,0,0,1,1,0, 
215,103,0,0,0,1,1,0,0,1,1,1, 
216,103,0,0,0,1,1,0,0,1,1,1, 
217,103,0,0,0,1,1,0,0,1,1,1, 
218,103,0,0,0,1,1,0,0,1,1,1, 
219,103,0,0,0,1,1,0,0,1,1,1, 
220,104,0,0,0,1,1,0,1,0,0,0, 
221,104,0,0,0,1,1,0,1,0,0,0, 
222,104,0,0,0,1,1,0,1,0,0,0, 
223,104,0,0,0,1,1,0,1,0,0,0, 
224,104,0,0,0,1,1,0,1,0,0,0, 
225,105,0,0,0,1,1,0,1,0,0,1, 
226,105,0,0,0,1,1,0,1,0,0,1, 
227,105,0,0,0,1,1,0,1,0,0,1, 
228,105,0,0,0,1,1,0,1,0,0,1, 
229,106,0,0,0,1,1,0,1,0,1,0, 
230,106,0,0,0,1,1,0,1,0,1,0, 
231,106,0,0,0,1,1,0,1,0,1,0, 
232,106,0,0,0,1,1,0,1,0,1,0, 
233,106,0,0,0,1,1,0,1,0,1,0, 
234,107,0,0,0,1,1,0,1,0,1,1, 
235,107,0,0,0,1,1,0,1,0,1,1, 
236,107,0,0,0,1,1,0,1,0,1,1, 
237,107,0,0,0,1,1,0,1,0,1,1, 
238,107,0,0,0,1,1,0,1,0,1,1, 
239,108,0,0,0,1,1,0,1,1,0,0, 
240,108,0,0,0,1,1,0,1,1,0,0, 
241,108,0,0,0,1,1,0,1,1,0,0, 
242,108,0,0,0,1,1,0,1,1,0,0, 
243,108,0,0,0,1,1,0,1,1,0,0, 
244,109,0,0,0,1,1,0,1,1,0,1, 
245,109,0,0,0,1,1,0,1,1,0,1, 
246,109,0,0,0,1,1,0,1,1,0,1, 
247,109,0,0,0,1,1,0,1,1,0,1, 
248,109,0,0,0,1,1,0,1,1,0,1, 
249,110,0,0,0,1,1,0,1,1,1,0, 
250,110,0,0,0,1,1,0,1,1,1,0, 
251,110,0,0,0,1,1,0,1,1,1,0, 
252,110,0,0,0,1,1,0,1,1,1,0, 
253,110,0,0,0,1,1,0,1,1,1,0, 
254,111,0,0,0,1,1,0,1,1,1,1, 
255,111,0,0,0,1,1,0,1,1,1,1, 
256,111,0,0,0,1,1,0,1,1,1,1, 
257,111,0,0,0,1,1,0,1,1,1,1, 
258,111,0,0,0,1,1,0,1,1,1,1, 
259,112,0,0,0,1,1,1,0,0,0,0, 
260,112,0,0,0,1,1,1,0,0,0,0, 
261,112,0,0,0,1,1,1,0,0,0,0, 
262,112,0,0,0,1,1,1,0,0,0,0, 
263,112,0,0,0,1,1,1,0,0,0,0, 
264,113,0,0,0,1,1,1,0,0,0,1, 
265,113,0,0,0,1,1,1,0,0,0,1, 
266,113,0,0,0,1,1,1,0,0,0,1, 
267,113,0,0,0,1,1,1,0,0,0,1, 
268,114,0,0,0,1,1,1,0,0,1,0, 
269,114,0,0,0,1,1,1,0,0,1,0, 
270,114,0,0,0,1,1,1,0,0,1,0, 
271,114,0,0,0,1,1,1,0,0,1,0, 
272,114,0,0,0,1,1,1,0,0,1,0, 
273,115,0,0,0,1,1,1,0,0,1,1, 
274,115,0,0,0,1,1,1,0,0,1,1, 
275,115,0,0,0,1,1,1,0,0,1,1, 
276,115,0,0,0,1,1,1,0,0,1,1, 
277,115,0,0,0,1,1,1,0,0,1,1, 
278,116,0,0,0,1,1,1,0,1,0,0, 
279,116,0,0,0,1,1,1,0,1,0,0, 
280,116,0,0,0,1,1,1,0,1,0,0, 
281,116,0,0,0,1,1,1,0,1,0,0, 
282,116,0,0,0,1,1,1,0,1,0,0, 
283,117,0,0,0,1,1,1,0,1,0,1, 
284,117,0,0,0,1,1,1,0,1,0,1, 
285,117,0,0,0,1,1,1,0,1,0,1, 
286,117,0,0,0,1,1,1,0,1,0,1, 
287,117,0,0,0,1,1,1,0,1,0,1, 
288,118,0,0,0,1,1,1,0,1,1,0, 
289,118,0,0,0,1,1,1,0,1,1,0, 
290,118,0,0,0,1,1,1,0,1,1,0, 
291,118,0,0,0,1,1,1,0,1,1,0, 
292,118,0,0,0,1,1,1,0,1,1,0, 
293,119,0,0,0,1,1,1,0,1,1,1, 
294,119,0,0,0,1,1,1,0,1,1,1, 
295,119,0,0,0,1,1,1,0,1,1,1, 
296,119,0,0,0,1,1,1,0,1,1,1, 
297,119,0,0,0,1,1,1,0,1,1,1, 
298,120,0,0,0,1,1,1,1,0,0,0, 
299,120,0,0,0,1,1,1,1,0,0,0, 
300,120,0,0,0,1,1,1,1,0,0,0, 
301,120,0,0,0,1,1,1,1,0,0,0, 
302,120,0,0,0,1,1,1,1,0,0,0, 
303,121,0,0,0,1,1,1,1,0,0,1, 
304,121,0,0,0,1,1,1,1,0,0,1, 
305,121,0,0,0,1,1,1,1,0,0,1, 
306,121,0,0,0,1,1,1,1,0,0,1, 
307,121,0,0,0,1,1,1,1,0,0,1, 
308,122,0,0,0,1,1,1,1,0,1,0, 
309,122,0,0,0,1,1,1,1,0,1,0, 
310,122,0,0,0,1,1,1,1,0,1,0, 
311,122,0,0,0,1,1,1,1,0,1,0, 
312,123,0,0,0,1,1,1,1,0,1,1, 
313,123,0,0,0,1,1,1,1,0,1,1, 
314,123,0,0,0,1,1,1,1,0,1,1, 
315,123,0,0,0,1,1,1,1,0,1,1, 
316,123,0,0,0,1,1,1,1,0,1,1, 
317,124,0,0,0,1,1,1,1,1,0,0, 
318,124,0,0,0,1,1,1,1,1,0,0, 
319,124,0,0,0,1,1,1,1,1,0,0, 
320,124,0,0,0,1,1,1,1,1,0,0, 
321,124,0,0,0,1,1,1,1,1,0,0, 
322,125,0,0,0,1,1,1,1,1,0,1, 
323,125,0,0,0,1,1,1,1,1,0,1, 
324,125,0,0,0,1,1,1,1,1,0,1, 
325,125,0,0,0,1,1,1,1,1,0,1, 
326,125,0,0,0,1,1,1,1,1,0,1, 
327,126,0,0,0,1,1,1,1,1,1,0, 
328,126,0,0,0,1,1,1,1,1,1,0, 
329,126,0,0,0,1,1,1,1,1,1,0, 
330,126,0,0,0,1,1,1,1,1,1,0, 
331,126,0,0,0,1,1,1,1,1,1,0, 
332,127,0,0,0,1,1,1,1,1,1,1, 
333,127,0,0,0,1,1,1,1,1,1,1, 
334,127,0,0,0,1,1,1,1,1,1,1, 
335,127,0,0,0,1,1,1,1,1,1,1, 
336,127,0,0,0,1,1,1,1,1,1,1, 
337,128,0,0,1,0,0,0,0,0,0,0, 
