Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 482, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
2, 483, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
3, 483, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
4, 484, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
5, 484, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
6, 484, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
7, 485, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 
8, 485, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 
9, 486, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
10, 486, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
11, 486, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
12, 487, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 
13, 487, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 
14, 488, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
15, 488, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
16, 488, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
17, 489, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
18, 489, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
19, 490, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
20, 490, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
21, 491, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 
22, 491, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 
23, 491, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 
24, 492, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
25, 492, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
26, 493, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 
27, 493, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 
28, 493, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 
29, 494, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
30, 494, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
31, 495, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
32, 495, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
33, 495, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
34, 496, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
35, 496, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
36, 497, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 
37, 497, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 
38, 498, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
39, 498, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
40, 498, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
41, 499, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 
42, 499, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 
43, 500, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
44, 500, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
45, 500, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
46, 501, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 
47, 501, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 
48, 502, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
49, 502, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
50, 502, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
51, 503, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
52, 503, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
53, 504, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
54, 504, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
55, 504, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
56, 505, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 
57, 505, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 
58, 506, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
59, 506, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
60, 507, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
61, 507, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
62, 507, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
63, 508, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
64, 508, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
65, 509, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
66, 509, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
67, 509, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
68, 510, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
69, 510, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
70, 511, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
71, 511, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
72, 511, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
73, 512, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
74, 512, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
75, 513, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
76, 513, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
77, 513, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
78, 514, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
79, 514, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
80, 515, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
81, 515, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
82, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
83, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
84, 516, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
85, 517, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
86, 517, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
87, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
88, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
89, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
90, 519, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
