Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,92,0,0,0,1,0,1,1,1,0,0, 
2,92,0,0,0,1,0,1,1,1,0,0, 
3,90,0,0,0,1,0,1,1,0,1,0, 
4,90,0,0,0,1,0,1,1,0,1,0, 
5,90,0,0,0,1,0,1,1,0,1,0, 
6,90,0,0,0,1,0,1,1,0,1,0, 
7,90,0,0,0,1,0,1,1,0,1,0, 
8,88,0,0,0,1,0,1,1,0,0,0, 
9,88,0,0,0,1,0,1,1,0,0,0, 
10,88,0,0,0,1,0,1,1,0,0,0, 
11,88,0,0,0,1,0,1,1,0,0,0, 
12,88,0,0,0,1,0,1,1,0,0,0, 
13,86,0,0,0,1,0,1,0,1,1,0, 
14,86,0,0,0,1,0,1,0,1,1,0, 
15,86,0,0,0,1,0,1,0,1,1,0, 
16,86,0,0,0,1,0,1,0,1,1,0, 
17,86,0,0,0,1,0,1,0,1,1,0, 
18,85,0,0,0,1,0,1,0,1,0,1, 
19,85,0,0,0,1,0,1,0,1,0,1, 
20,85,0,0,0,1,0,1,0,1,0,1, 
21,85,0,0,0,1,0,1,0,1,0,1, 
22,85,0,0,0,1,0,1,0,1,0,1, 
23,83,0,0,0,1,0,1,0,0,1,1, 
24,83,0,0,0,1,0,1,0,0,1,1, 
25,83,0,0,0,1,0,1,0,0,1,1, 
26,83,0,0,0,1,0,1,0,0,1,1, 
27,83,0,0,0,1,0,1,0,0,1,1, 
28,81,0,0,0,1,0,1,0,0,0,1, 
29,81,0,0,0,1,0,1,0,0,0,1, 
30,81,0,0,0,1,0,1,0,0,0,1, 
31,81,0,0,0,1,0,1,0,0,0,1, 
32,81,0,0,0,1,0,1,0,0,0,1, 
33,79,0,0,0,1,0,0,1,1,1,1, 
34,79,0,0,0,1,0,0,1,1,1,1, 
35,79,0,0,0,1,0,0,1,1,1,1, 
36,79,0,0,0,1,0,0,1,1,1,1, 
37,78,0,0,0,1,0,0,1,1,1,0, 
38,78,0,0,0,1,0,0,1,1,1,0, 
39,78,0,0,0,1,0,0,1,1,1,0, 
40,78,0,0,0,1,0,0,1,1,1,0, 
41,78,0,0,0,1,0,0,1,1,1,0, 
42,76,0,0,0,1,0,0,1,1,0,0, 
43,76,0,0,0,1,0,0,1,1,0,0, 
44,76,0,0,0,1,0,0,1,1,0,0, 
45,76,0,0,0,1,0,0,1,1,0,0, 
46,76,0,0,0,1,0,0,1,1,0,0, 
47,74,0,0,0,1,0,0,1,0,1,0, 
48,74,0,0,0,1,0,0,1,0,1,0, 
49,74,0,0,0,1,0,0,1,0,1,0, 
50,74,0,0,0,1,0,0,1,0,1,0, 
51,74,0,0,0,1,0,0,1,0,1,0, 
52,73,0,0,0,1,0,0,1,0,0,1, 
53,73,0,0,0,1,0,0,1,0,0,1, 
54,73,0,0,0,1,0,0,1,0,0,1, 
55,73,0,0,0,1,0,0,1,0,0,1, 
56,73,0,0,0,1,0,0,1,0,0,1, 
57,71,0,0,0,1,0,0,0,1,1,1, 
58,71,0,0,0,1,0,0,0,1,1,1, 
59,71,0,0,0,1,0,0,0,1,1,1, 
60,71,0,0,0,1,0,0,0,1,1,1, 
61,71,0,0,0,1,0,0,0,1,1,1, 
62,70,0,0,0,1,0,0,0,1,1,0, 
63,70,0,0,0,1,0,0,0,1,1,0, 
64,70,0,0,0,1,0,0,0,1,1,0, 
65,70,0,0,0,1,0,0,0,1,1,0, 
66,70,0,0,0,1,0,0,0,1,1,0, 
67,68,0,0,0,1,0,0,0,1,0,0, 
68,68,0,0,0,1,0,0,0,1,0,0, 
69,68,0,0,0,1,0,0,0,1,0,0, 
70,68,0,0,0,1,0,0,0,1,0,0, 
71,68,0,0,0,1,0,0,0,1,0,0, 
72,67,0,0,0,1,0,0,0,0,1,1, 
73,67,0,0,0,1,0,0,0,0,1,1, 
74,67,0,0,0,1,0,0,0,0,1,1, 
75,67,0,0,0,1,0,0,0,0,1,1, 
76,65,0,0,0,1,0,0,0,0,0,1, 
77,65,0,0,0,1,0,0,0,0,0,1, 
78,65,0,0,0,1,0,0,0,0,0,1, 
79,65,0,0,0,1,0,0,0,0,0,1, 
80,65,0,0,0,1,0,0,0,0,0,1, 
81,63,0,0,0,0,1,1,1,1,1,1, 
82,63,0,0,0,0,1,1,1,1,1,1, 
83,63,0,0,0,0,1,1,1,1,1,1, 
84,63,0,0,0,0,1,1,1,1,1,1, 
85,63,0,0,0,0,1,1,1,1,1,1, 
86,62,0,0,0,0,1,1,1,1,1,0, 
87,62,0,0,0,0,1,1,1,1,1,0, 
88,62,0,0,0,0,1,1,1,1,1,0, 
89,62,0,0,0,0,1,1,1,1,1,0, 
90,62,0,0,0,0,1,1,1,1,1,0, 
91,60,0,0,0,0,1,1,1,1,0,0, 
92,60,0,0,0,0,1,1,1,1,0,0, 
93,60,0,0,0,0,1,1,1,1,0,0, 
94,60,0,0,0,0,1,1,1,1,0,0, 
95,60,0,0,0,0,1,1,1,1,0,0, 
96,59,0,0,0,0,1,1,1,0,1,1, 
97,59,0,0,0,0,1,1,1,0,1,1, 
98,59,0,0,0,0,1,1,1,0,1,1, 
99,59,0,0,0,0,1,1,1,0,1,1, 
100,59,0,0,0,0,1,1,1,0,1,1, 
101,58,0,0,0,0,1,1,1,0,1,0, 
102,58,0,0,0,0,1,1,1,0,1,0, 
103,58,0,0,0,0,1,1,1,0,1,0, 
104,58,0,0,0,0,1,1,1,0,1,0, 
105,58,0,0,0,0,1,1,1,0,1,0, 
106,56,0,0,0,0,1,1,1,0,0,0, 
107,56,0,0,0,0,1,1,1,0,0,0, 
108,56,0,0,0,0,1,1,1,0,0,0, 
109,56,0,0,0,0,1,1,1,0,0,0, 
110,56,0,0,0,0,1,1,1,0,0,0, 
111,55,0,0,0,0,1,1,0,1,1,1, 
112,55,0,0,0,0,1,1,0,1,1,1, 
113,55,0,0,0,0,1,1,0,1,1,1, 
114,55,0,0,0,0,1,1,0,1,1,1, 
115,55,0,0,0,0,1,1,0,1,1,1, 
116,53,0,0,0,0,1,1,0,1,0,1, 
117,53,0,0,0,0,1,1,0,1,0,1, 
118,53,0,0,0,0,1,1,0,1,0,1, 
119,53,0,0,0,0,1,1,0,1,0,1, 
120,52,0,0,0,0,1,1,0,1,0,0, 
121,52,0,0,0,0,1,1,0,1,0,0, 
122,52,0,0,0,0,1,1,0,1,0,0, 
123,52,0,0,0,0,1,1,0,1,0,0, 
124,52,0,0,0,0,1,1,0,1,0,0, 
125,51,0,0,0,0,1,1,0,0,1,1, 
126,51,0,0,0,0,1,1,0,0,1,1, 
127,51,0,0,0,0,1,1,0,0,1,1, 
128,51,0,0,0,0,1,1,0,0,1,1, 
129,51,0,0,0,0,1,1,0,0,1,1, 
130,49,0,0,0,0,1,1,0,0,0,1, 
131,49,0,0,0,0,1,1,0,0,0,1, 
132,49,0,0,0,0,1,1,0,0,0,1, 
133,49,0,0,0,0,1,1,0,0,0,1, 
134,49,0,0,0,0,1,1,0,0,0,1, 
135,48,0,0,0,0,1,1,0,0,0,0, 
136,48,0,0,0,0,1,1,0,0,0,0, 
137,48,0,0,0,0,1,1,0,0,0,0, 
138,48,0,0,0,0,1,1,0,0,0,0, 
139,48,0,0,0,0,1,1,0,0,0,0, 
140,47,0,0,0,0,1,0,1,1,1,1, 
141,47,0,0,0,0,1,0,1,1,1,1, 
142,47,0,0,0,0,1,0,1,1,1,1, 
143,47,0,0,0,0,1,0,1,1,1,1, 
144,47,0,0,0,0,1,0,1,1,1,1, 
145,45,0,0,0,0,1,0,1,1,0,1, 
146,45,0,0,0,0,1,0,1,1,0,1, 
147,45,0,0,0,0,1,0,1,1,0,1, 
148,45,0,0,0,0,1,0,1,1,0,1, 
149,45,0,0,0,0,1,0,1,1,0,1, 
150,44,0,0,0,0,1,0,1,1,0,0, 
151,44,0,0,0,0,1,0,1,1,0,0, 
152,44,0,0,0,0,1,0,1,1,0,0, 
153,44,0,0,0,0,1,0,1,1,0,0, 
154,44,0,0,0,0,1,0,1,1,0,0, 
155,43,0,0,0,0,1,0,1,0,1,1, 
156,43,0,0,0,0,1,0,1,0,1,1, 
157,43,0,0,0,0,1,0,1,0,1,1, 
158,43,0,0,0,0,1,0,1,0,1,1, 
159,43,0,0,0,0,1,0,1,0,1,1, 
160,41,0,0,0,0,1,0,1,0,0,1, 
161,41,0,0,0,0,1,0,1,0,0,1, 
162,41,0,0,0,0,1,0,1,0,0,1, 
163,41,0,0,0,0,1,0,1,0,0,1, 
164,40,0,0,0,0,1,0,1,0,0,0, 
165,40,0,0,0,0,1,0,1,0,0,0, 
166,40,0,0,0,0,1,0,1,0,0,0, 
167,40,0,0,0,0,1,0,1,0,0,0, 
168,40,0,0,0,0,1,0,1,0,0,0, 
169,39,0,0,0,0,1,0,0,1,1,1, 
170,39,0,0,0,0,1,0,0,1,1,1, 
171,39,0,0,0,0,1,0,0,1,1,1, 
172,39,0,0,0,0,1,0,0,1,1,1, 
173,39,0,0,0,0,1,0,0,1,1,1, 
174,38,0,0,0,0,1,0,0,1,1,0, 
175,38,0,0,0,0,1,0,0,1,1,0, 
176,38,0,0,0,0,1,0,0,1,1,0, 
177,38,0,0,0,0,1,0,0,1,1,0, 
178,38,0,0,0,0,1,0,0,1,1,0, 
179,37,0,0,0,0,1,0,0,1,0,1, 
180,37,0,0,0,0,1,0,0,1,0,1, 
181,37,0,0,0,0,1,0,0,1,0,1, 
182,37,0,0,0,0,1,0,0,1,0,1, 
183,37,0,0,0,0,1,0,0,1,0,1, 
184,35,0,0,0,0,1,0,0,0,1,1, 
185,35,0,0,0,0,1,0,0,0,1,1, 
186,35,0,0,0,0,1,0,0,0,1,1, 
187,35,0,0,0,0,1,0,0,0,1,1, 
188,35,0,0,0,0,1,0,0,0,1,1, 
189,34,0,0,0,0,1,0,0,0,1,0, 
190,34,0,0,0,0,1,0,0,0,1,0, 
191,34,0,0,0,0,1,0,0,0,1,0, 
192,34,0,0,0,0,1,0,0,0,1,0, 
193,34,0,0,0,0,1,0,0,0,1,0, 
194,33,0,0,0,0,1,0,0,0,0,1, 
195,33,0,0,0,0,1,0,0,0,0,1, 
196,33,0,0,0,0,1,0,0,0,0,1, 
197,33,0,0,0,0,1,0,0,0,0,1, 
198,33,0,0,0,0,1,0,0,0,0,1, 
199,32,0,0,0,0,1,0,0,0,0,0, 
200,32,0,0,0,0,1,0,0,0,0,0, 
201,32,0,0,0,0,1,0,0,0,0,0, 
202,32,0,0,0,0,1,0,0,0,0,0, 
203,31,0,0,0,0,0,1,1,1,1,1, 
204,31,0,0,0,0,0,1,1,1,1,1, 
205,31,0,0,0,0,0,1,1,1,1,1, 
206,31,0,0,0,0,0,1,1,1,1,1, 
207,31,0,0,0,0,0,1,1,1,1,1, 
208,30,0,0,0,0,0,1,1,1,1,0, 
209,30,0,0,0,0,0,1,1,1,1,0, 
210,30,0,0,0,0,0,1,1,1,1,0, 
211,30,0,0,0,0,0,1,1,1,1,0, 
212,30,0,0,0,0,0,1,1,1,1,0, 
213,29,0,0,0,0,0,1,1,1,0,1, 
214,29,0,0,0,0,0,1,1,1,0,1, 
215,29,0,0,0,0,0,1,1,1,0,1, 
216,29,0,0,0,0,0,1,1,1,0,1, 
217,29,0,0,0,0,0,1,1,1,0,1, 
218,28,0,0,0,0,0,1,1,1,0,0, 
219,28,0,0,0,0,0,1,1,1,0,0, 
220,28,0,0,0,0,0,1,1,1,0,0, 
221,28,0,0,0,0,0,1,1,1,0,0, 
222,28,0,0,0,0,0,1,1,1,0,0, 
223,27,0,0,0,0,0,1,1,0,1,1, 
224,27,0,0,0,0,0,1,1,0,1,1, 
225,27,0,0,0,0,0,1,1,0,1,1, 
226,27,0,0,0,0,0,1,1,0,1,1, 
227,27,0,0,0,0,0,1,1,0,1,1, 
228,26,0,0,0,0,0,1,1,0,1,0, 
229,26,0,0,0,0,0,1,1,0,1,0, 
230,26,0,0,0,0,0,1,1,0,1,0, 
231,26,0,0,0,0,0,1,1,0,1,0, 
232,26,0,0,0,0,0,1,1,0,1,0, 
233,25,0,0,0,0,0,1,1,0,0,1, 
234,25,0,0,0,0,0,1,1,0,0,1, 
235,25,0,0,0,0,0,1,1,0,0,1, 
236,25,0,0,0,0,0,1,1,0,0,1, 
237,25,0,0,0,0,0,1,1,0,0,1, 
238,24,0,0,0,0,0,1,1,0,0,0, 
239,24,0,0,0,0,0,1,1,0,0,0, 
240,24,0,0,0,0,0,1,1,0,0,0, 
241,24,0,0,0,0,0,1,1,0,0,0, 
242,24,0,0,0,0,0,1,1,0,0,0, 
243,23,0,0,0,0,0,1,0,1,1,1, 
244,23,0,0,0,0,0,1,0,1,1,1, 
245,23,0,0,0,0,0,1,0,1,1,1, 
246,23,0,0,0,0,0,1,0,1,1,1, 
247,22,0,0,0,0,0,1,0,1,1,0, 
248,22,0,0,0,0,0,1,0,1,1,0, 
249,22,0,0,0,0,0,1,0,1,1,0, 
250,22,0,0,0,0,0,1,0,1,1,0, 
251,22,0,0,0,0,0,1,0,1,1,0, 
252,21,0,0,0,0,0,1,0,1,0,1, 
253,21,0,0,0,0,0,1,0,1,0,1, 
254,21,0,0,0,0,0,1,0,1,0,1, 
255,21,0,0,0,0,0,1,0,1,0,1, 
256,21,0,0,0,0,0,1,0,1,0,1, 
257,20,0,0,0,0,0,1,0,1,0,0, 
258,20,0,0,0,0,0,1,0,1,0,0, 
259,20,0,0,0,0,0,1,0,1,0,0, 
260,20,0,0,0,0,0,1,0,1,0,0, 
261,20,0,0,0,0,0,1,0,1,0,0, 
262,19,0,0,0,0,0,1,0,0,1,1, 
263,19,0,0,0,0,0,1,0,0,1,1, 
264,19,0,0,0,0,0,1,0,0,1,1, 
265,19,0,0,0,0,0,1,0,0,1,1, 
266,19,0,0,0,0,0,1,0,0,1,1, 
267,19,0,0,0,0,0,1,0,0,1,1, 
268,19,0,0,0,0,0,1,0,0,1,1, 
269,19,0,0,0,0,0,1,0,0,1,1, 
270,19,0,0,0,0,0,1,0,0,1,1, 
271,19,0,0,0,0,0,1,0,0,1,1, 
272,18,0,0,0,0,0,1,0,0,1,0, 
273,18,0,0,0,0,0,1,0,0,1,0, 
274,18,0,0,0,0,0,1,0,0,1,0, 
275,18,0,0,0,0,0,1,0,0,1,0, 
276,18,0,0,0,0,0,1,0,0,1,0, 
277,17,0,0,0,0,0,1,0,0,0,1, 
278,17,0,0,0,0,0,1,0,0,0,1, 
279,17,0,0,0,0,0,1,0,0,0,1, 
280,17,0,0,0,0,0,1,0,0,0,1, 
281,17,0,0,0,0,0,1,0,0,0,1, 
282,16,0,0,0,0,0,1,0,0,0,0, 
283,16,0,0,0,0,0,1,0,0,0,0, 
284,16,0,0,0,0,0,1,0,0,0,0, 
285,16,0,0,0,0,0,1,0,0,0,0, 
286,15,0,0,0,0,0,0,1,1,1,1, 
287,15,0,0,0,0,0,0,1,1,1,1, 
288,15,0,0,0,0,0,0,1,1,1,1, 
289,15,0,0,0,0,0,0,1,1,1,1, 
290,15,0,0,0,0,0,0,1,1,1,1, 
291,15,0,0,0,0,0,0,1,1,1,1, 
292,15,0,0,0,0,0,0,1,1,1,1, 
293,15,0,0,0,0,0,0,1,1,1,1, 
294,15,0,0,0,0,0,0,1,1,1,1, 
295,15,0,0,0,0,0,0,1,1,1,1, 
296,14,0,0,0,0,0,0,1,1,1,0, 
297,14,0,0,0,0,0,0,1,1,1,0, 
298,14,0,0,0,0,0,0,1,1,1,0, 
299,14,0,0,0,0,0,0,1,1,1,0, 
300,14,0,0,0,0,0,0,1,1,1,0, 
301,13,0,0,0,0,0,0,1,1,0,1, 
302,13,0,0,0,0,0,0,1,1,0,1, 
303,13,0,0,0,0,0,0,1,1,0,1, 
304,13,0,0,0,0,0,0,1,1,0,1, 
305,13,0,0,0,0,0,0,1,1,0,1, 
306,12,0,0,0,0,0,0,1,1,0,0, 
307,12,0,0,0,0,0,0,1,1,0,0, 
308,12,0,0,0,0,0,0,1,1,0,0, 
309,12,0,0,0,0,0,0,1,1,0,0, 
310,12,0,0,0,0,0,0,1,1,0,0, 
311,12,0,0,0,0,0,0,1,1,0,0, 
312,12,0,0,0,0,0,0,1,1,0,0, 
313,12,0,0,0,0,0,0,1,1,0,0, 
314,12,0,0,0,0,0,0,1,1,0,0, 
315,12,0,0,0,0,0,0,1,1,0,0, 
316,11,0,0,0,0,0,0,1,0,1,1, 
317,11,0,0,0,0,0,0,1,0,1,1, 
318,11,0,0,0,0,0,0,1,0,1,1, 
319,11,0,0,0,0,0,0,1,0,1,1, 
320,11,0,0,0,0,0,0,1,0,1,1, 
321,11,0,0,0,0,0,0,1,0,1,1, 
322,11,0,0,0,0,0,0,1,0,1,1, 
323,11,0,0,0,0,0,0,1,0,1,1, 
324,11,0,0,0,0,0,0,1,0,1,1, 
325,11,0,0,0,0,0,0,1,0,1,1, 
326,10,0,0,0,0,0,0,1,0,1,0, 
327,10,0,0,0,0,0,0,1,0,1,0, 
328,10,0,0,0,0,0,0,1,0,1,0, 
329,10,0,0,0,0,0,0,1,0,1,0, 
330,9,0,0,0,0,0,0,1,0,0,1, 
331,9,0,0,0,0,0,0,1,0,0,1, 
332,9,0,0,0,0,0,0,1,0,0,1, 
333,9,0,0,0,0,0,0,1,0,0,1, 
334,9,0,0,0,0,0,0,1,0,0,1, 
335,9,0,0,0,0,0,0,1,0,0,1, 
336,9,0,0,0,0,0,0,1,0,0,1, 
337,9,0,0,0,0,0,0,1,0,0,1, 
