Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,855,1,1,0,1,0,1,0,1,1,1, 
2,853,1,1,0,1,0,1,0,1,0,1, 
3,853,1,1,0,1,0,1,0,1,0,1, 
4,853,1,1,0,1,0,1,0,1,0,1, 
5,853,1,1,0,1,0,1,0,1,0,1, 
6,853,1,1,0,1,0,1,0,1,0,1, 
7,850,1,1,0,1,0,1,0,0,1,0, 
8,850,1,1,0,1,0,1,0,0,1,0, 
9,850,1,1,0,1,0,1,0,0,1,0, 
10,850,1,1,0,1,0,1,0,0,1,0, 
11,850,1,1,0,1,0,1,0,0,1,0, 
12,848,1,1,0,1,0,1,0,0,0,0, 
13,848,1,1,0,1,0,1,0,0,0,0, 
14,848,1,1,0,1,0,1,0,0,0,0, 
15,848,1,1,0,1,0,1,0,0,0,0, 
16,848,1,1,0,1,0,1,0,0,0,0, 
17,846,1,1,0,1,0,0,1,1,1,0, 
18,846,1,1,0,1,0,0,1,1,1,0, 
19,846,1,1,0,1,0,0,1,1,1,0, 
20,846,1,1,0,1,0,0,1,1,1,0, 
21,846,1,1,0,1,0,0,1,1,1,0, 
22,843,1,1,0,1,0,0,1,0,1,1, 
23,843,1,1,0,1,0,0,1,0,1,1, 
24,843,1,1,0,1,0,0,1,0,1,1, 
25,843,1,1,0,1,0,0,1,0,1,1, 
26,843,1,1,0,1,0,0,1,0,1,1, 
27,841,1,1,0,1,0,0,1,0,0,1, 
28,841,1,1,0,1,0,0,1,0,0,1, 
29,841,1,1,0,1,0,0,1,0,0,1, 
30,841,1,1,0,1,0,0,1,0,0,1, 
31,841,1,1,0,1,0,0,1,0,0,1, 
32,838,1,1,0,1,0,0,0,1,1,0, 
33,838,1,1,0,1,0,0,0,1,1,0, 
34,838,1,1,0,1,0,0,0,1,1,0, 
35,838,1,1,0,1,0,0,0,1,1,0, 
36,838,1,1,0,1,0,0,0,1,1,0, 
37,836,1,1,0,1,0,0,0,1,0,0, 
38,836,1,1,0,1,0,0,0,1,0,0, 
39,836,1,1,0,1,0,0,0,1,0,0, 
40,836,1,1,0,1,0,0,0,1,0,0, 
41,836,1,1,0,1,0,0,0,1,0,0, 
42,834,1,1,0,1,0,0,0,0,1,0, 
43,834,1,1,0,1,0,0,0,0,1,0, 
44,834,1,1,0,1,0,0,0,0,1,0, 
45,834,1,1,0,1,0,0,0,0,1,0, 
46,831,1,1,0,0,1,1,1,1,1,1, 
47,831,1,1,0,0,1,1,1,1,1,1, 
48,831,1,1,0,0,1,1,1,1,1,1, 
49,831,1,1,0,0,1,1,1,1,1,1, 
50,831,1,1,0,0,1,1,1,1,1,1, 
51,829,1,1,0,0,1,1,1,1,0,1, 
52,829,1,1,0,0,1,1,1,1,0,1, 
53,829,1,1,0,0,1,1,1,1,0,1, 
54,829,1,1,0,0,1,1,1,1,0,1, 
55,829,1,1,0,0,1,1,1,1,0,1, 
56,826,1,1,0,0,1,1,1,0,1,0, 
57,826,1,1,0,0,1,1,1,0,1,0, 
58,826,1,1,0,0,1,1,1,0,1,0, 
59,826,1,1,0,0,1,1,1,0,1,0, 
60,826,1,1,0,0,1,1,1,0,1,0, 
61,824,1,1,0,0,1,1,1,0,0,0, 
62,824,1,1,0,0,1,1,1,0,0,0, 
63,824,1,1,0,0,1,1,1,0,0,0, 
64,824,1,1,0,0,1,1,1,0,0,0, 
65,824,1,1,0,0,1,1,1,0,0,0, 
66,821,1,1,0,0,1,1,0,1,0,1, 
67,821,1,1,0,0,1,1,0,1,0,1, 
68,821,1,1,0,0,1,1,0,1,0,1, 
69,821,1,1,0,0,1,1,0,1,0,1, 
70,821,1,1,0,0,1,1,0,1,0,1, 
71,819,1,1,0,0,1,1,0,0,1,1, 
72,819,1,1,0,0,1,1,0,0,1,1, 
73,819,1,1,0,0,1,1,0,0,1,1, 
74,819,1,1,0,0,1,1,0,0,1,1, 
75,819,1,1,0,0,1,1,0,0,1,1, 
76,816,1,1,0,0,1,1,0,0,0,0, 
77,816,1,1,0,0,1,1,0,0,0,0, 
78,816,1,1,0,0,1,1,0,0,0,0, 
79,816,1,1,0,0,1,1,0,0,0,0, 
80,816,1,1,0,0,1,1,0,0,0,0, 
81,814,1,1,0,0,1,0,1,1,1,0, 
82,814,1,1,0,0,1,0,1,1,1,0, 
83,814,1,1,0,0,1,0,1,1,1,0, 
84,814,1,1,0,0,1,0,1,1,1,0, 
85,811,1,1,0,0,1,0,1,0,1,1, 
86,811,1,1,0,0,1,0,1,0,1,1, 
87,811,1,1,0,0,1,0,1,0,1,1, 
88,811,1,1,0,0,1,0,1,0,1,1, 
89,811,1,1,0,0,1,0,1,0,1,1, 
90,809,1,1,0,0,1,0,1,0,0,1, 
91,809,1,1,0,0,1,0,1,0,0,1, 
92,809,1,1,0,0,1,0,1,0,0,1, 
93,809,1,1,0,0,1,0,1,0,0,1, 
94,809,1,1,0,0,1,0,1,0,0,1, 
95,806,1,1,0,0,1,0,0,1,1,0, 
96,806,1,1,0,0,1,0,0,1,1,0, 
97,806,1,1,0,0,1,0,0,1,1,0, 
98,806,1,1,0,0,1,0,0,1,1,0, 
99,806,1,1,0,0,1,0,0,1,1,0, 
100,804,1,1,0,0,1,0,0,1,0,0, 
101,804,1,1,0,0,1,0,0,1,0,0, 
102,804,1,1,0,0,1,0,0,1,0,0, 
103,804,1,1,0,0,1,0,0,1,0,0, 
104,804,1,1,0,0,1,0,0,1,0,0, 
105,801,1,1,0,0,1,0,0,0,0,1, 
106,801,1,1,0,0,1,0,0,0,0,1, 
107,801,1,1,0,0,1,0,0,0,0,1, 
108,801,1,1,0,0,1,0,0,0,0,1, 
109,801,1,1,0,0,1,0,0,0,0,1, 
110,798,1,1,0,0,0,1,1,1,1,0, 
111,798,1,1,0,0,0,1,1,1,1,0, 
112,798,1,1,0,0,0,1,1,1,1,0, 
113,798,1,1,0,0,0,1,1,1,1,0, 
114,798,1,1,0,0,0,1,1,1,1,0, 
115,796,1,1,0,0,0,1,1,1,0,0, 
116,796,1,1,0,0,0,1,1,1,0,0, 
117,796,1,1,0,0,0,1,1,1,0,0, 
118,796,1,1,0,0,0,1,1,1,0,0, 
119,796,1,1,0,0,0,1,1,1,0,0, 
120,793,1,1,0,0,0,1,1,0,0,1, 
121,793,1,1,0,0,0,1,1,0,0,1, 
122,793,1,1,0,0,0,1,1,0,0,1, 
123,793,1,1,0,0,0,1,1,0,0,1, 
124,793,1,1,0,0,0,1,1,0,0,1, 
125,791,1,1,0,0,0,1,0,1,1,1, 
126,791,1,1,0,0,0,1,0,1,1,1, 
127,791,1,1,0,0,0,1,0,1,1,1, 
128,791,1,1,0,0,0,1,0,1,1,1, 
129,788,1,1,0,0,0,1,0,1,0,0, 
130,788,1,1,0,0,0,1,0,1,0,0, 
131,788,1,1,0,0,0,1,0,1,0,0, 
132,788,1,1,0,0,0,1,0,1,0,0, 
133,788,1,1,0,0,0,1,0,1,0,0, 
134,785,1,1,0,0,0,1,0,0,0,1, 
135,785,1,1,0,0,0,1,0,0,0,1, 
136,785,1,1,0,0,0,1,0,0,0,1, 
137,785,1,1,0,0,0,1,0,0,0,1, 
138,785,1,1,0,0,0,1,0,0,0,1, 
139,783,1,1,0,0,0,0,1,1,1,1, 
140,783,1,1,0,0,0,0,1,1,1,1, 
141,783,1,1,0,0,0,0,1,1,1,1, 
142,783,1,1,0,0,0,0,1,1,1,1, 
143,783,1,1,0,0,0,0,1,1,1,1, 
144,780,1,1,0,0,0,0,1,1,0,0, 
145,780,1,1,0,0,0,0,1,1,0,0, 
146,780,1,1,0,0,0,0,1,1,0,0, 
147,780,1,1,0,0,0,0,1,1,0,0, 
148,780,1,1,0,0,0,0,1,1,0,0, 
149,777,1,1,0,0,0,0,1,0,0,1, 
150,777,1,1,0,0,0,0,1,0,0,1, 
151,777,1,1,0,0,0,0,1,0,0,1, 
152,777,1,1,0,0,0,0,1,0,0,1, 
153,777,1,1,0,0,0,0,1,0,0,1, 
154,775,1,1,0,0,0,0,0,1,1,1, 
155,775,1,1,0,0,0,0,0,1,1,1, 
156,775,1,1,0,0,0,0,0,1,1,1, 
157,775,1,1,0,0,0,0,0,1,1,1, 
158,775,1,1,0,0,0,0,0,1,1,1, 
159,772,1,1,0,0,0,0,0,1,0,0, 
160,772,1,1,0,0,0,0,0,1,0,0, 
161,772,1,1,0,0,0,0,0,1,0,0, 
162,772,1,1,0,0,0,0,0,1,0,0, 
163,772,1,1,0,0,0,0,0,1,0,0, 
164,769,1,1,0,0,0,0,0,0,0,1, 
165,769,1,1,0,0,0,0,0,0,0,1, 
166,769,1,1,0,0,0,0,0,0,0,1, 
167,769,1,1,0,0,0,0,0,0,0,1, 
168,766,1,0,1,1,1,1,1,1,1,0, 
169,766,1,0,1,1,1,1,1,1,1,0, 
170,766,1,0,1,1,1,1,1,1,1,0, 
171,766,1,0,1,1,1,1,1,1,1,0, 
172,766,1,0,1,1,1,1,1,1,1,0, 
173,764,1,0,1,1,1,1,1,1,0,0, 
174,764,1,0,1,1,1,1,1,1,0,0, 
175,764,1,0,1,1,1,1,1,1,0,0, 
176,764,1,0,1,1,1,1,1,1,0,0, 
177,764,1,0,1,1,1,1,1,1,0,0, 
178,761,1,0,1,1,1,1,1,0,0,1, 
179,761,1,0,1,1,1,1,1,0,0,1, 
180,761,1,0,1,1,1,1,1,0,0,1, 
181,761,1,0,1,1,1,1,1,0,0,1, 
182,761,1,0,1,1,1,1,1,0,0,1, 
183,758,1,0,1,1,1,1,0,1,1,0, 
184,758,1,0,1,1,1,1,0,1,1,0, 
185,758,1,0,1,1,1,1,0,1,1,0, 
186,758,1,0,1,1,1,1,0,1,1,0, 
187,758,1,0,1,1,1,1,0,1,1,0, 
188,756,1,0,1,1,1,1,0,1,0,0, 
189,756,1,0,1,1,1,1,0,1,0,0, 
190,756,1,0,1,1,1,1,0,1,0,0, 
191,756,1,0,1,1,1,1,0,1,0,0, 
192,756,1,0,1,1,1,1,0,1,0,0, 
193,753,1,0,1,1,1,1,0,0,0,1, 
194,753,1,0,1,1,1,1,0,0,0,1, 
195,753,1,0,1,1,1,1,0,0,0,1, 
196,753,1,0,1,1,1,1,0,0,0,1, 
197,753,1,0,1,1,1,1,0,0,0,1, 
198,750,1,0,1,1,1,0,1,1,1,0, 
199,750,1,0,1,1,1,0,1,1,1,0, 
200,750,1,0,1,1,1,0,1,1,1,0, 
201,750,1,0,1,1,1,0,1,1,1,0, 
202,750,1,0,1,1,1,0,1,1,1,0, 
203,747,1,0,1,1,1,0,1,0,1,1, 
204,747,1,0,1,1,1,0,1,0,1,1, 
205,747,1,0,1,1,1,0,1,0,1,1, 
206,747,1,0,1,1,1,0,1,0,1,1, 
207,747,1,0,1,1,1,0,1,0,1,1, 
208,744,1,0,1,1,1,0,1,0,0,0, 
209,744,1,0,1,1,1,0,1,0,0,0, 
210,744,1,0,1,1,1,0,1,0,0,0, 
211,744,1,0,1,1,1,0,1,0,0,0, 
212,742,1,0,1,1,1,0,0,1,1,0, 
213,742,1,0,1,1,1,0,0,1,1,0, 
214,742,1,0,1,1,1,0,0,1,1,0, 
215,742,1,0,1,1,1,0,0,1,1,0, 
216,742,1,0,1,1,1,0,0,1,1,0, 
217,739,1,0,1,1,1,0,0,0,1,1, 
218,739,1,0,1,1,1,0,0,0,1,1, 
219,739,1,0,1,1,1,0,0,0,1,1, 
220,739,1,0,1,1,1,0,0,0,1,1, 
221,739,1,0,1,1,1,0,0,0,1,1, 
222,736,1,0,1,1,1,0,0,0,0,0, 
223,736,1,0,1,1,1,0,0,0,0,0, 
224,736,1,0,1,1,1,0,0,0,0,0, 
225,736,1,0,1,1,1,0,0,0,0,0, 
226,736,1,0,1,1,1,0,0,0,0,0, 
227,733,1,0,1,1,0,1,1,1,0,1, 
228,733,1,0,1,1,0,1,1,1,0,1, 
229,733,1,0,1,1,0,1,1,1,0,1, 
230,733,1,0,1,1,0,1,1,1,0,1, 
231,733,1,0,1,1,0,1,1,1,0,1, 
232,730,1,0,1,1,0,1,1,0,1,0, 
233,730,1,0,1,1,0,1,1,0,1,0, 
234,730,1,0,1,1,0,1,1,0,1,0, 
235,730,1,0,1,1,0,1,1,0,1,0, 
236,730,1,0,1,1,0,1,1,0,1,0, 
237,728,1,0,1,1,0,1,1,0,0,0, 
238,728,1,0,1,1,0,1,1,0,0,0, 
239,728,1,0,1,1,0,1,1,0,0,0, 
240,728,1,0,1,1,0,1,1,0,0,0, 
241,728,1,0,1,1,0,1,1,0,0,0, 
242,725,1,0,1,1,0,1,0,1,0,1, 
243,725,1,0,1,1,0,1,0,1,0,1, 
244,725,1,0,1,1,0,1,0,1,0,1, 
245,725,1,0,1,1,0,1,0,1,0,1, 
246,725,1,0,1,1,0,1,0,1,0,1, 
247,722,1,0,1,1,0,1,0,0,1,0, 
248,722,1,0,1,1,0,1,0,0,1,0, 
249,722,1,0,1,1,0,1,0,0,1,0, 
250,722,1,0,1,1,0,1,0,0,1,0, 
251,719,1,0,1,1,0,0,1,1,1,1, 
252,719,1,0,1,1,0,0,1,1,1,1, 
253,719,1,0,1,1,0,0,1,1,1,1, 
254,719,1,0,1,1,0,0,1,1,1,1, 
255,719,1,0,1,1,0,0,1,1,1,1, 
256,716,1,0,1,1,0,0,1,1,0,0, 
257,716,1,0,1,1,0,0,1,1,0,0, 
258,716,1,0,1,1,0,0,1,1,0,0, 
259,716,1,0,1,1,0,0,1,1,0,0, 
260,716,1,0,1,1,0,0,1,1,0,0, 
261,713,1,0,1,1,0,0,1,0,0,1, 
262,713,1,0,1,1,0,0,1,0,0,1, 
263,713,1,0,1,1,0,0,1,0,0,1, 
264,713,1,0,1,1,0,0,1,0,0,1, 
265,713,1,0,1,1,0,0,1,0,0,1, 
266,710,1,0,1,1,0,0,0,1,1,0, 
267,710,1,0,1,1,0,0,0,1,1,0, 
268,710,1,0,1,1,0,0,0,1,1,0, 
269,710,1,0,1,1,0,0,0,1,1,0, 
270,710,1,0,1,1,0,0,0,1,1,0, 
271,707,1,0,1,1,0,0,0,0,1,1, 
272,707,1,0,1,1,0,0,0,0,1,1, 
273,707,1,0,1,1,0,0,0,0,1,1, 
274,707,1,0,1,1,0,0,0,0,1,1, 
275,707,1,0,1,1,0,0,0,0,1,1, 
276,705,1,0,1,1,0,0,0,0,0,1, 
277,705,1,0,1,1,0,0,0,0,0,1, 
278,705,1,0,1,1,0,0,0,0,0,1, 
279,705,1,0,1,1,0,0,0,0,0,1, 
280,705,1,0,1,1,0,0,0,0,0,1, 
281,702,1,0,1,0,1,1,1,1,1,0, 
282,702,1,0,1,0,1,1,1,1,1,0, 
283,702,1,0,1,0,1,1,1,1,1,0, 
284,702,1,0,1,0,1,1,1,1,1,0, 
285,702,1,0,1,0,1,1,1,1,1,0, 
286,699,1,0,1,0,1,1,1,0,1,1, 
287,699,1,0,1,0,1,1,1,0,1,1, 
288,699,1,0,1,0,1,1,1,0,1,1, 
289,699,1,0,1,0,1,1,1,0,1,1, 
290,699,1,0,1,0,1,1,1,0,1,1, 
291,696,1,0,1,0,1,1,1,0,0,0, 
292,696,1,0,1,0,1,1,1,0,0,0, 
293,696,1,0,1,0,1,1,1,0,0,0, 
294,696,1,0,1,0,1,1,1,0,0,0, 
295,693,1,0,1,0,1,1,0,1,0,1, 
296,693,1,0,1,0,1,1,0,1,0,1, 
297,693,1,0,1,0,1,1,0,1,0,1, 
298,693,1,0,1,0,1,1,0,1,0,1, 
299,693,1,0,1,0,1,1,0,1,0,1, 
300,690,1,0,1,0,1,1,0,0,1,0, 
301,690,1,0,1,0,1,1,0,0,1,0, 
302,690,1,0,1,0,1,1,0,0,1,0, 
303,690,1,0,1,0,1,1,0,0,1,0, 
304,690,1,0,1,0,1,1,0,0,1,0, 
305,687,1,0,1,0,1,0,1,1,1,1, 
306,687,1,0,1,0,1,0,1,1,1,1, 
307,687,1,0,1,0,1,0,1,1,1,1, 
308,687,1,0,1,0,1,0,1,1,1,1, 
309,687,1,0,1,0,1,0,1,1,1,1, 
310,684,1,0,1,0,1,0,1,1,0,0, 
311,684,1,0,1,0,1,0,1,1,0,0, 
312,684,1,0,1,0,1,0,1,1,0,0, 
313,684,1,0,1,0,1,0,1,1,0,0, 
314,684,1,0,1,0,1,0,1,1,0,0, 
315,681,1,0,1,0,1,0,1,0,0,1, 
316,681,1,0,1,0,1,0,1,0,0,1, 
317,681,1,0,1,0,1,0,1,0,0,1, 
318,681,1,0,1,0,1,0,1,0,0,1, 
319,681,1,0,1,0,1,0,1,0,0,1, 
320,678,1,0,1,0,1,0,0,1,1,0, 
321,678,1,0,1,0,1,0,0,1,1,0, 
322,678,1,0,1,0,1,0,0,1,1,0, 
323,678,1,0,1,0,1,0,0,1,1,0, 
324,678,1,0,1,0,1,0,0,1,1,0, 
325,675,1,0,1,0,1,0,0,0,1,1, 
326,675,1,0,1,0,1,0,0,0,1,1, 
327,675,1,0,1,0,1,0,0,0,1,1, 
328,675,1,0,1,0,1,0,0,0,1,1, 
329,675,1,0,1,0,1,0,0,0,1,1, 
330,672,1,0,1,0,1,0,0,0,0,0, 
331,672,1,0,1,0,1,0,0,0,0,0, 
332,672,1,0,1,0,1,0,0,0,0,0, 
333,672,1,0,1,0,1,0,0,0,0,0, 
334,669,1,0,1,0,0,1,1,1,0,1, 
335,669,1,0,1,0,0,1,1,1,0,1, 
336,669,1,0,1,0,0,1,1,1,0,1, 
337,669,1,0,1,0,0,1,1,1,0,1, 
