Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 32, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
2, 32, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
3, 32, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
4, 33, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
5, 33, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
6, 33, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
7, 33, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
8, 33, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
9, 34, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
10, 34, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
11, 34, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
12, 34, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
13, 34, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
14, 35, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
15, 35, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
16, 35, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
17, 35, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
18, 35, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
19, 37, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
20, 37, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
21, 37, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
22, 37, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
23, 37, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
24, 38, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
25, 38, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
26, 38, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
27, 38, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
28, 39, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
29, 39, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
30, 39, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
31, 39, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
32, 39, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
33, 40, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
34, 40, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
35, 40, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
36, 40, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
37, 40, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
38, 41, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
39, 41, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
40, 41, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
41, 41, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
