Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,351,0,1,0,1,0,1,1,1,1,1, 
2,351,0,1,0,1,0,1,1,1,1,1, 
3,348,0,1,0,1,0,1,1,1,0,0, 
4,348,0,1,0,1,0,1,1,1,0,0, 
5,348,0,1,0,1,0,1,1,1,0,0, 
6,348,0,1,0,1,0,1,1,1,0,0, 
7,348,0,1,0,1,0,1,1,1,0,0, 
8,345,0,1,0,1,0,1,1,0,0,1, 
9,345,0,1,0,1,0,1,1,0,0,1, 
10,345,0,1,0,1,0,1,1,0,0,1, 
11,345,0,1,0,1,0,1,1,0,0,1, 
12,345,0,1,0,1,0,1,1,0,0,1, 
13,342,0,1,0,1,0,1,0,1,1,0, 
14,342,0,1,0,1,0,1,0,1,1,0, 
15,342,0,1,0,1,0,1,0,1,1,0, 
16,342,0,1,0,1,0,1,0,1,1,0, 
17,342,0,1,0,1,0,1,0,1,1,0, 
18,339,0,1,0,1,0,1,0,0,1,1, 
19,339,0,1,0,1,0,1,0,0,1,1, 
20,339,0,1,0,1,0,1,0,0,1,1, 
21,339,0,1,0,1,0,1,0,0,1,1, 
22,336,0,1,0,1,0,1,0,0,0,0, 
23,336,0,1,0,1,0,1,0,0,0,0, 
24,336,0,1,0,1,0,1,0,0,0,0, 
25,336,0,1,0,1,0,1,0,0,0,0, 
26,336,0,1,0,1,0,1,0,0,0,0, 
27,333,0,1,0,1,0,0,1,1,0,1, 
28,333,0,1,0,1,0,0,1,1,0,1, 
29,333,0,1,0,1,0,0,1,1,0,1, 
30,333,0,1,0,1,0,0,1,1,0,1, 
31,333,0,1,0,1,0,0,1,1,0,1, 
32,330,0,1,0,1,0,0,1,0,1,0, 
33,330,0,1,0,1,0,0,1,0,1,0, 
34,330,0,1,0,1,0,0,1,0,1,0, 
35,330,0,1,0,1,0,0,1,0,1,0, 
36,330,0,1,0,1,0,0,1,0,1,0, 
37,327,0,1,0,1,0,0,0,1,1,1, 
38,327,0,1,0,1,0,0,0,1,1,1, 
39,327,0,1,0,1,0,0,0,1,1,1, 
40,327,0,1,0,1,0,0,0,1,1,1, 
41,327,0,1,0,1,0,0,0,1,1,1, 
42,324,0,1,0,1,0,0,0,1,0,0, 
43,324,0,1,0,1,0,0,0,1,0,0, 
44,324,0,1,0,1,0,0,0,1,0,0, 
45,324,0,1,0,1,0,0,0,1,0,0, 
46,324,0,1,0,1,0,0,0,1,0,0, 
47,321,0,1,0,1,0,0,0,0,0,1, 
48,321,0,1,0,1,0,0,0,0,0,1, 
49,321,0,1,0,1,0,0,0,0,0,1, 
50,321,0,1,0,1,0,0,0,0,0,1, 
51,321,0,1,0,1,0,0,0,0,0,1, 
52,318,0,1,0,0,1,1,1,1,1,0, 
53,318,0,1,0,0,1,1,1,1,1,0, 
54,318,0,1,0,0,1,1,1,1,1,0, 
55,318,0,1,0,0,1,1,1,1,1,0, 
56,318,0,1,0,0,1,1,1,1,1,0, 
57,316,0,1,0,0,1,1,1,1,0,0, 
58,316,0,1,0,0,1,1,1,1,0,0, 
59,316,0,1,0,0,1,1,1,1,0,0, 
60,316,0,1,0,0,1,1,1,1,0,0, 
61,316,0,1,0,0,1,1,1,1,0,0, 
62,313,0,1,0,0,1,1,1,0,0,1, 
63,313,0,1,0,0,1,1,1,0,0,1, 
64,313,0,1,0,0,1,1,1,0,0,1, 
65,313,0,1,0,0,1,1,1,0,0,1, 
66,310,0,1,0,0,1,1,0,1,1,0, 
67,310,0,1,0,0,1,1,0,1,1,0, 
68,310,0,1,0,0,1,1,0,1,1,0, 
69,310,0,1,0,0,1,1,0,1,1,0, 
70,310,0,1,0,0,1,1,0,1,1,0, 
71,307,0,1,0,0,1,1,0,0,1,1, 
72,307,0,1,0,0,1,1,0,0,1,1, 
73,307,0,1,0,0,1,1,0,0,1,1, 
74,307,0,1,0,0,1,1,0,0,1,1, 
75,307,0,1,0,0,1,1,0,0,1,1, 
76,304,0,1,0,0,1,1,0,0,0,0, 
77,304,0,1,0,0,1,1,0,0,0,0, 
78,304,0,1,0,0,1,1,0,0,0,0, 
79,304,0,1,0,0,1,1,0,0,0,0, 
80,304,0,1,0,0,1,1,0,0,0,0, 
81,301,0,1,0,0,1,0,1,1,0,1, 
82,301,0,1,0,0,1,0,1,1,0,1, 
83,301,0,1,0,0,1,0,1,1,0,1, 
84,301,0,1,0,0,1,0,1,1,0,1, 
85,301,0,1,0,0,1,0,1,1,0,1, 
86,298,0,1,0,0,1,0,1,0,1,0, 
87,298,0,1,0,0,1,0,1,0,1,0, 
88,298,0,1,0,0,1,0,1,0,1,0, 
89,298,0,1,0,0,1,0,1,0,1,0, 
90,298,0,1,0,0,1,0,1,0,1,0, 
91,295,0,1,0,0,1,0,0,1,1,1, 
92,295,0,1,0,0,1,0,0,1,1,1, 
93,295,0,1,0,0,1,0,0,1,1,1, 
94,295,0,1,0,0,1,0,0,1,1,1, 
95,295,0,1,0,0,1,0,0,1,1,1, 
96,293,0,1,0,0,1,0,0,1,0,1, 
97,293,0,1,0,0,1,0,0,1,0,1, 
98,293,0,1,0,0,1,0,0,1,0,1, 
99,293,0,1,0,0,1,0,0,1,0,1, 
100,293,0,1,0,0,1,0,0,1,0,1, 
101,290,0,1,0,0,1,0,0,0,1,0, 
102,290,0,1,0,0,1,0,0,0,1,0, 
103,290,0,1,0,0,1,0,0,0,1,0, 
104,290,0,1,0,0,1,0,0,0,1,0, 
105,287,0,1,0,0,0,1,1,1,1,1, 
106,287,0,1,0,0,0,1,1,1,1,1, 
107,287,0,1,0,0,0,1,1,1,1,1, 
108,287,0,1,0,0,0,1,1,1,1,1, 
109,287,0,1,0,0,0,1,1,1,1,1, 
110,284,0,1,0,0,0,1,1,1,0,0, 
111,284,0,1,0,0,0,1,1,1,0,0, 
112,284,0,1,0,0,0,1,1,1,0,0, 
113,284,0,1,0,0,0,1,1,1,0,0, 
114,284,0,1,0,0,0,1,1,1,0,0, 
115,281,0,1,0,0,0,1,1,0,0,1, 
116,281,0,1,0,0,0,1,1,0,0,1, 
117,281,0,1,0,0,0,1,1,0,0,1, 
118,281,0,1,0,0,0,1,1,0,0,1, 
119,281,0,1,0,0,0,1,1,0,0,1, 
120,279,0,1,0,0,0,1,0,1,1,1, 
121,279,0,1,0,0,0,1,0,1,1,1, 
122,279,0,1,0,0,0,1,0,1,1,1, 
123,279,0,1,0,0,0,1,0,1,1,1, 
124,279,0,1,0,0,0,1,0,1,1,1, 
125,276,0,1,0,0,0,1,0,1,0,0, 
126,276,0,1,0,0,0,1,0,1,0,0, 
127,276,0,1,0,0,0,1,0,1,0,0, 
128,276,0,1,0,0,0,1,0,1,0,0, 
129,276,0,1,0,0,0,1,0,1,0,0, 
130,273,0,1,0,0,0,1,0,0,0,1, 
131,273,0,1,0,0,0,1,0,0,0,1, 
132,273,0,1,0,0,0,1,0,0,0,1, 
133,273,0,1,0,0,0,1,0,0,0,1, 
134,273,0,1,0,0,0,1,0,0,0,1, 
135,270,0,1,0,0,0,0,1,1,1,0, 
136,270,0,1,0,0,0,0,1,1,1,0, 
137,270,0,1,0,0,0,0,1,1,1,0, 
138,270,0,1,0,0,0,0,1,1,1,0, 
139,270,0,1,0,0,0,0,1,1,1,0, 
140,267,0,1,0,0,0,0,1,0,1,1, 
141,267,0,1,0,0,0,0,1,0,1,1, 
142,267,0,1,0,0,0,0,1,0,1,1, 
143,267,0,1,0,0,0,0,1,0,1,1, 
144,267,0,1,0,0,0,0,1,0,1,1, 
145,265,0,1,0,0,0,0,1,0,0,1, 
146,265,0,1,0,0,0,0,1,0,0,1, 
147,265,0,1,0,0,0,0,1,0,0,1, 
148,265,0,1,0,0,0,0,1,0,0,1, 
149,262,0,1,0,0,0,0,0,1,1,0, 
150,262,0,1,0,0,0,0,0,1,1,0, 
151,262,0,1,0,0,0,0,0,1,1,0, 
152,262,0,1,0,0,0,0,0,1,1,0, 
153,262,0,1,0,0,0,0,0,1,1,0, 
154,259,0,1,0,0,0,0,0,0,1,1, 
155,259,0,1,0,0,0,0,0,0,1,1, 
156,259,0,1,0,0,0,0,0,0,1,1, 
157,259,0,1,0,0,0,0,0,0,1,1, 
158,259,0,1,0,0,0,0,0,0,1,1, 
159,257,0,1,0,0,0,0,0,0,0,1, 
160,257,0,1,0,0,0,0,0,0,0,1, 
161,257,0,1,0,0,0,0,0,0,0,1, 
162,257,0,1,0,0,0,0,0,0,0,1, 
163,257,0,1,0,0,0,0,0,0,0,1, 
164,254,0,0,1,1,1,1,1,1,1,0, 
165,254,0,0,1,1,1,1,1,1,1,0, 
166,254,0,0,1,1,1,1,1,1,1,0, 
167,254,0,0,1,1,1,1,1,1,1,0, 
168,254,0,0,1,1,1,1,1,1,1,0, 
169,251,0,0,1,1,1,1,1,0,1,1, 
170,251,0,0,1,1,1,1,1,0,1,1, 
171,251,0,0,1,1,1,1,1,0,1,1, 
172,251,0,0,1,1,1,1,1,0,1,1, 
173,251,0,0,1,1,1,1,1,0,1,1, 
174,248,0,0,1,1,1,1,1,0,0,0, 
175,248,0,0,1,1,1,1,1,0,0,0, 
176,248,0,0,1,1,1,1,1,0,0,0, 
177,248,0,0,1,1,1,1,1,0,0,0, 
178,248,0,0,1,1,1,1,1,0,0,0, 
179,246,0,0,1,1,1,1,0,1,1,0, 
180,246,0,0,1,1,1,1,0,1,1,0, 
181,246,0,0,1,1,1,1,0,1,1,0, 
182,246,0,0,1,1,1,1,0,1,1,0, 
183,246,0,0,1,1,1,1,0,1,1,0, 
184,243,0,0,1,1,1,1,0,0,1,1, 
185,243,0,0,1,1,1,1,0,0,1,1, 
186,243,0,0,1,1,1,1,0,0,1,1, 
187,243,0,0,1,1,1,1,0,0,1,1, 
188,240,0,0,1,1,1,1,0,0,0,0, 
189,240,0,0,1,1,1,1,0,0,0,0, 
190,240,0,0,1,1,1,1,0,0,0,0, 
191,240,0,0,1,1,1,1,0,0,0,0, 
192,240,0,0,1,1,1,1,0,0,0,0, 
193,238,0,0,1,1,1,0,1,1,1,0, 
194,238,0,0,1,1,1,0,1,1,1,0, 
195,238,0,0,1,1,1,0,1,1,1,0, 
196,238,0,0,1,1,1,0,1,1,1,0, 
197,238,0,0,1,1,1,0,1,1,1,0, 
198,235,0,0,1,1,1,0,1,0,1,1, 
199,235,0,0,1,1,1,0,1,0,1,1, 
200,235,0,0,1,1,1,0,1,0,1,1, 
201,235,0,0,1,1,1,0,1,0,1,1, 
202,235,0,0,1,1,1,0,1,0,1,1, 
203,232,0,0,1,1,1,0,1,0,0,0, 
204,232,0,0,1,1,1,0,1,0,0,0, 
205,232,0,0,1,1,1,0,1,0,0,0, 
206,232,0,0,1,1,1,0,1,0,0,0, 
207,232,0,0,1,1,1,0,1,0,0,0, 
208,230,0,0,1,1,1,0,0,1,1,0, 
209,230,0,0,1,1,1,0,0,1,1,0, 
210,230,0,0,1,1,1,0,0,1,1,0, 
211,230,0,0,1,1,1,0,0,1,1,0, 
212,230,0,0,1,1,1,0,0,1,1,0, 
213,227,0,0,1,1,1,0,0,0,1,1, 
214,227,0,0,1,1,1,0,0,0,1,1, 
215,227,0,0,1,1,1,0,0,0,1,1, 
216,227,0,0,1,1,1,0,0,0,1,1, 
217,227,0,0,1,1,1,0,0,0,1,1, 
218,225,0,0,1,1,1,0,0,0,0,1, 
219,225,0,0,1,1,1,0,0,0,0,1, 
220,225,0,0,1,1,1,0,0,0,0,1, 
221,225,0,0,1,1,1,0,0,0,0,1, 
222,225,0,0,1,1,1,0,0,0,0,1, 
223,222,0,0,1,1,0,1,1,1,1,0, 
224,222,0,0,1,1,0,1,1,1,1,0, 
225,222,0,0,1,1,0,1,1,1,1,0, 
226,222,0,0,1,1,0,1,1,1,1,0, 
227,222,0,0,1,1,0,1,1,1,1,0, 
228,219,0,0,1,1,0,1,1,0,1,1, 
229,219,0,0,1,1,0,1,1,0,1,1, 
230,219,0,0,1,1,0,1,1,0,1,1, 
231,219,0,0,1,1,0,1,1,0,1,1, 
232,217,0,0,1,1,0,1,1,0,0,1, 
233,217,0,0,1,1,0,1,1,0,0,1, 
234,217,0,0,1,1,0,1,1,0,0,1, 
235,217,0,0,1,1,0,1,1,0,0,1, 
236,217,0,0,1,1,0,1,1,0,0,1, 
237,214,0,0,1,1,0,1,0,1,1,0, 
238,214,0,0,1,1,0,1,0,1,1,0, 
239,214,0,0,1,1,0,1,0,1,1,0, 
240,214,0,0,1,1,0,1,0,1,1,0, 
241,214,0,0,1,1,0,1,0,1,1,0, 
242,212,0,0,1,1,0,1,0,1,0,0, 
243,212,0,0,1,1,0,1,0,1,0,0, 
244,212,0,0,1,1,0,1,0,1,0,0, 
245,212,0,0,1,1,0,1,0,1,0,0, 
246,212,0,0,1,1,0,1,0,1,0,0, 
247,209,0,0,1,1,0,1,0,0,0,1, 
248,209,0,0,1,1,0,1,0,0,0,1, 
249,209,0,0,1,1,0,1,0,0,0,1, 
250,209,0,0,1,1,0,1,0,0,0,1, 
251,209,0,0,1,1,0,1,0,0,0,1, 
252,207,0,0,1,1,0,0,1,1,1,1, 
253,207,0,0,1,1,0,0,1,1,1,1, 
254,207,0,0,1,1,0,0,1,1,1,1, 
255,207,0,0,1,1,0,0,1,1,1,1, 
256,207,0,0,1,1,0,0,1,1,1,1, 
257,204,0,0,1,1,0,0,1,1,0,0, 
258,204,0,0,1,1,0,0,1,1,0,0, 
259,204,0,0,1,1,0,0,1,1,0,0, 
260,204,0,0,1,1,0,0,1,1,0,0, 
261,204,0,0,1,1,0,0,1,1,0,0, 
262,202,0,0,1,1,0,0,1,0,1,0, 
263,202,0,0,1,1,0,0,1,0,1,0, 
264,202,0,0,1,1,0,0,1,0,1,0, 
265,202,0,0,1,1,0,0,1,0,1,0, 
266,202,0,0,1,1,0,0,1,0,1,0, 
267,199,0,0,1,1,0,0,0,1,1,1, 
268,199,0,0,1,1,0,0,0,1,1,1, 
269,199,0,0,1,1,0,0,0,1,1,1, 
270,199,0,0,1,1,0,0,0,1,1,1, 
271,199,0,0,1,1,0,0,0,1,1,1, 
272,197,0,0,1,1,0,0,0,1,0,1, 
273,197,0,0,1,1,0,0,0,1,0,1, 
274,197,0,0,1,1,0,0,0,1,0,1, 
275,197,0,0,1,1,0,0,0,1,0,1, 
276,194,0,0,1,1,0,0,0,0,1,0, 
277,194,0,0,1,1,0,0,0,0,1,0, 
278,194,0,0,1,1,0,0,0,0,1,0, 
279,194,0,0,1,1,0,0,0,0,1,0, 
280,194,0,0,1,1,0,0,0,0,1,0, 
281,192,0,0,1,1,0,0,0,0,0,0, 
282,192,0,0,1,1,0,0,0,0,0,0, 
283,192,0,0,1,1,0,0,0,0,0,0, 
284,192,0,0,1,1,0,0,0,0,0,0, 
285,192,0,0,1,1,0,0,0,0,0,0, 
286,189,0,0,1,0,1,1,1,1,0,1, 
287,189,0,0,1,0,1,1,1,1,0,1, 
288,189,0,0,1,0,1,1,1,1,0,1, 
289,189,0,0,1,0,1,1,1,1,0,1, 
290,189,0,0,1,0,1,1,1,1,0,1, 
291,187,0,0,1,0,1,1,1,0,1,1, 
292,187,0,0,1,0,1,1,1,0,1,1, 
293,187,0,0,1,0,1,1,1,0,1,1, 
294,187,0,0,1,0,1,1,1,0,1,1, 
295,187,0,0,1,0,1,1,1,0,1,1, 
296,185,0,0,1,0,1,1,1,0,0,1, 
297,185,0,0,1,0,1,1,1,0,0,1, 
298,185,0,0,1,0,1,1,1,0,0,1, 
299,185,0,0,1,0,1,1,1,0,0,1, 
300,185,0,0,1,0,1,1,1,0,0,1, 
301,182,0,0,1,0,1,1,0,1,1,0, 
302,182,0,0,1,0,1,1,0,1,1,0, 
303,182,0,0,1,0,1,1,0,1,1,0, 
304,182,0,0,1,0,1,1,0,1,1,0, 
305,182,0,0,1,0,1,1,0,1,1,0, 
306,180,0,0,1,0,1,1,0,1,0,0, 
307,180,0,0,1,0,1,1,0,1,0,0, 
308,180,0,0,1,0,1,1,0,1,0,0, 
309,180,0,0,1,0,1,1,0,1,0,0, 
310,180,0,0,1,0,1,1,0,1,0,0, 
311,177,0,0,1,0,1,1,0,0,0,1, 
312,177,0,0,1,0,1,1,0,0,0,1, 
313,177,0,0,1,0,1,1,0,0,0,1, 
314,177,0,0,1,0,1,1,0,0,0,1, 
315,175,0,0,1,0,1,0,1,1,1,1, 
316,175,0,0,1,0,1,0,1,1,1,1, 
317,175,0,0,1,0,1,0,1,1,1,1, 
318,175,0,0,1,0,1,0,1,1,1,1, 
319,175,0,0,1,0,1,0,1,1,1,1, 
320,173,0,0,1,0,1,0,1,1,0,1, 
321,173,0,0,1,0,1,0,1,1,0,1, 
322,173,0,0,1,0,1,0,1,1,0,1, 
323,173,0,0,1,0,1,0,1,1,0,1, 
324,173,0,0,1,0,1,0,1,1,0,1, 
325,170,0,0,1,0,1,0,1,0,1,0, 
326,170,0,0,1,0,1,0,1,0,1,0, 
327,170,0,0,1,0,1,0,1,0,1,0, 
328,170,0,0,1,0,1,0,1,0,1,0, 
329,170,0,0,1,0,1,0,1,0,1,0, 
330,168,0,0,1,0,1,0,1,0,0,0, 
331,168,0,0,1,0,1,0,1,0,0,0, 
332,168,0,0,1,0,1,0,1,0,0,0, 
333,168,0,0,1,0,1,0,1,0,0,0, 
334,168,0,0,1,0,1,0,1,0,0,0, 
335,166,0,0,1,0,1,0,0,1,1,0, 
336,166,0,0,1,0,1,0,0,1,1,0, 
337,166,0,0,1,0,1,0,0,1,1,0, 
