Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 949, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 
2, 947, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
3, 947, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
4, 945, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 
5, 944, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
6, 942, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
7, 940, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
8, 938, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
9, 938, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
10, 937, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 
11, 935, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
12, 933, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 
13, 931, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 
14, 931, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 
15, 930, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
16, 928, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 
17, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
18, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
19, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
20, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
21, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
22, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
23, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
24, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
25, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
26, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
27, 911, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
28, 909, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 
29, 907, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 
30, 905, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
31, 905, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
32, 903, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 
33, 901, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
34, 899, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
35, 897, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 
36, 897, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 
37, 895, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 
38, 893, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
39, 890, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
40, 888, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
41, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
42, 886, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
43, 884, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
44, 882, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
45, 880, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
46, 878, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
47, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
48, 875, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
49, 873, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 
50, 871, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 
51, 869, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
52, 866, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
53, 866, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
54, 864, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
55, 862, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
56, 860, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
57, 857, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
58, 855, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 
59, 855, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 
60, 853, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
61, 850, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
62, 848, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
63, 846, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
64, 846, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
65, 843, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 
66, 841, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 
67, 838, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
68, 836, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
69, 834, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
70, 834, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
71, 831, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 
72, 829, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 
73, 826, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
74, 824, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
75, 824, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
76, 821, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
77, 819, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
78, 816, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
79, 814, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 
80, 811, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 
