Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fout1[27..18] =, fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group =, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27,  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri[9..0] =, tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], fout1[27..18], fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18], Group, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27, tri[9..0], tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1,542,1,0,0,0,0,1,1,1,1,0,542,1,0,0,0,0,1,1,1,1,0,120,0,1,1,1,1,0,0,0,570,1,0,0,0,1,1,1,0,1,0, 
2,543,1,0,0,0,0,1,1,1,1,1,543,1,0,0,0,0,1,1,1,1,1,120,0,1,1,1,1,0,0,0,570,1,0,0,0,1,1,1,0,1,0, 
3,544,1,0,0,0,1,0,0,0,0,0,544,1,0,0,0,1,0,0,0,0,0,248,1,1,1,1,1,0,0,0,572,1,0,0,0,1,1,1,1,0,0, 
4,544,1,0,0,0,1,0,0,0,0,0,544,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,572,1,0,0,0,1,1,1,1,0,0, 
5,545,1,0,0,0,1,0,0,0,0,1,545,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,574,1,0,0,0,1,1,1,1,1,0, 
6,546,1,0,0,0,1,0,0,0,1,0,546,1,0,0,0,1,0,0,0,1,0,132,1,0,0,0,0,1,0,0,576,1,0,0,1,0,0,0,0,0,0, 
7,546,1,0,0,0,1,0,0,0,1,0,546,1,0,0,0,1,0,0,0,1,0,68,0,1,0,0,0,1,0,0,576,1,0,0,1,0,0,0,0,0,0, 
8,547,1,0,0,0,1,0,0,0,1,1,547,1,0,0,0,1,0,0,0,1,1,68,0,1,0,0,0,1,0,0,578,1,0,0,1,0,0,0,0,1,0, 
9,547,1,0,0,0,1,0,0,0,1,1,547,1,0,0,0,1,0,0,0,1,1,196,1,1,0,0,0,1,0,0,580,1,0,0,1,0,0,0,1,0,0, 
10,548,1,0,0,0,1,0,0,1,0,0,548,1,0,0,0,1,0,0,1,0,0,196,1,1,0,0,0,1,0,0,580,1,0,0,1,0,0,0,1,0,0, 
11,549,1,0,0,0,1,0,0,1,0,1,549,1,0,0,0,1,0,0,1,0,1,36,0,0,1,0,0,1,0,0,582,1,0,0,1,0,0,0,1,1,0, 
12,549,1,0,0,0,1,0,0,1,0,1,549,1,0,0,0,1,0,0,1,0,1,164,1,0,1,0,0,1,0,0,582,1,0,0,1,0,0,0,1,1,0, 
13,550,1,0,0,0,1,0,0,1,1,0,550,1,0,0,0,1,0,0,1,1,0,164,1,0,1,0,0,1,0,0,584,1,0,0,1,0,0,1,0,0,0, 
14,550,1,0,0,0,1,0,0,1,1,0,550,1,0,0,0,1,0,0,1,1,0,100,0,1,1,0,0,1,0,0,586,1,0,0,1,0,0,1,0,1,0, 
15,551,1,0,0,0,1,0,0,1,1,1,551,1,0,0,0,1,0,0,1,1,1,100,0,1,1,0,0,1,0,0,586,1,0,0,1,0,0,1,0,1,0, 
16,552,1,0,0,0,1,0,1,0,0,0,552,1,0,0,0,1,0,1,0,0,0,228,1,1,1,0,0,1,0,0,588,1,0,0,1,0,0,1,1,0,0, 
17,552,1,0,0,0,1,0,1,0,0,0,552,1,0,0,0,1,0,1,0,0,0,20,0,0,0,1,0,1,0,0,588,1,0,0,1,0,0,1,1,0,0, 
18,553,1,0,0,0,1,0,1,0,0,1,553,1,0,0,0,1,0,1,0,0,1,20,0,0,0,1,0,1,0,0,590,1,0,0,1,0,0,1,1,1,0, 
19,554,1,0,0,0,1,0,1,0,1,0,554,1,0,0,0,1,0,1,0,1,0,148,1,0,0,1,0,1,0,0,592,1,0,0,1,0,1,0,0,0,0, 
20,554,1,0,0,0,1,0,1,0,1,0,554,1,0,0,0,1,0,1,0,1,0,84,0,1,0,1,0,1,0,0,592,1,0,0,1,0,1,0,0,0,0, 
21,555,1,0,0,0,1,0,1,0,1,1,555,1,0,0,0,1,0,1,0,1,1,84,0,1,0,1,0,1,0,0,594,1,0,0,1,0,1,0,0,1,0, 
22,555,1,0,0,0,1,0,1,0,1,1,555,1,0,0,0,1,0,1,0,1,1,212,1,1,0,1,0,1,0,0,596,1,0,0,1,0,1,0,1,0,0, 
23,556,1,0,0,0,1,0,1,1,0,0,556,1,0,0,0,1,0,1,1,0,0,212,1,1,0,1,0,1,0,0,596,1,0,0,1,0,1,0,1,0,0, 
24,557,1,0,0,0,1,0,1,1,0,1,557,1,0,0,0,1,0,1,1,0,1,52,0,0,1,1,0,1,0,0,598,1,0,0,1,0,1,0,1,1,0, 
25,557,1,0,0,0,1,0,1,1,0,1,557,1,0,0,0,1,0,1,1,0,1,180,1,0,1,1,0,1,0,0,598,1,0,0,1,0,1,0,1,1,0, 
26,558,1,0,0,0,1,0,1,1,1,0,558,1,0,0,0,1,0,1,1,1,0,180,1,0,1,1,0,1,0,0,600,1,0,0,1,0,1,1,0,0,0, 
