Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,1020,1,1,1,1,1,1,1,1,0,0, 
2,1021,1,1,1,1,1,1,1,1,0,1, 
3,1021,1,1,1,1,1,1,1,1,0,1, 
4,1022,1,1,1,1,1,1,1,1,1,0, 
5,1023,1,1,1,1,1,1,1,1,1,1, 
6,0,0,0,0,0,0,0,0,0,0,0, 
7,1,0,0,0,0,0,0,0,0,0,1, 
8,2,0,0,0,0,0,0,0,0,1,0, 
9,2,0,0,0,0,0,0,0,0,1,0, 
10,3,0,0,0,0,0,0,0,0,1,1, 
11,4,0,0,0,0,0,0,0,1,0,0, 
12,5,0,0,0,0,0,0,0,1,0,1, 
13,6,0,0,0,0,0,0,0,1,1,0, 
14,6,0,0,0,0,0,0,0,1,1,0, 
15,7,0,0,0,0,0,0,0,1,1,1, 
16,8,0,0,0,0,0,0,1,0,0,0, 
17,9,0,0,0,0,0,0,1,0,0,1, 
18,10,0,0,0,0,0,0,1,0,1,0, 
19,11,0,0,0,0,0,0,1,0,1,1, 
20,11,0,0,0,0,0,0,1,0,1,1, 
21,12,0,0,0,0,0,0,1,1,0,0, 
22,13,0,0,0,0,0,0,1,1,0,1, 
23,14,0,0,0,0,0,0,1,1,1,0, 
24,15,0,0,0,0,0,0,1,1,1,1, 
25,15,0,0,0,0,0,0,1,1,1,1, 
26,16,0,0,0,0,0,1,0,0,0,0, 
27,17,0,0,0,0,0,1,0,0,0,1, 
28,18,0,0,0,0,0,1,0,0,1,0, 
29,19,0,0,0,0,0,1,0,0,1,1, 
30,20,0,0,0,0,0,1,0,1,0,0, 
31,20,0,0,0,0,0,1,0,1,0,0, 
32,21,0,0,0,0,0,1,0,1,0,1, 
33,22,0,0,0,0,0,1,0,1,1,0, 
34,23,0,0,0,0,0,1,0,1,1,1, 
35,24,0,0,0,0,0,1,1,0,0,0, 
36,24,0,0,0,0,0,1,1,0,0,0, 
37,25,0,0,0,0,0,1,1,0,0,1, 
38,26,0,0,0,0,0,1,1,0,1,0, 
39,27,0,0,0,0,0,1,1,0,1,1, 
40,28,0,0,0,0,0,1,1,1,0,0, 
41,29,0,0,0,0,0,1,1,1,0,1, 
42,29,0,0,0,0,0,1,1,1,0,1, 
43,30,0,0,0,0,0,1,1,1,1,0, 
44,31,0,0,0,0,0,1,1,1,1,1, 
45,32,0,0,0,0,1,0,0,0,0,0, 
46,33,0,0,0,0,1,0,0,0,0,1, 
47,33,0,0,0,0,1,0,0,0,0,1, 
48,34,0,0,0,0,1,0,0,0,1,0, 
49,35,0,0,0,0,1,0,0,0,1,1, 
50,36,0,0,0,0,1,0,0,1,0,0, 
51,37,0,0,0,0,1,0,0,1,0,1, 
52,38,0,0,0,0,1,0,0,1,1,0, 
53,38,0,0,0,0,1,0,0,1,1,0, 
54,39,0,0,0,0,1,0,0,1,1,1, 
55,40,0,0,0,0,1,0,1,0,0,0, 
56,41,0,0,0,0,1,0,1,0,0,1, 
57,42,0,0,0,0,1,0,1,0,1,0, 
58,42,0,0,0,0,1,0,1,0,1,0, 
59,43,0,0,0,0,1,0,1,0,1,1, 
60,44,0,0,0,0,1,0,1,1,0,0, 
61,45,0,0,0,0,1,0,1,1,0,1, 
62,46,0,0,0,0,1,0,1,1,1,0, 
63,47,0,0,0,0,1,0,1,1,1,1, 
64,47,0,0,0,0,1,0,1,1,1,1, 
65,48,0,0,0,0,1,1,0,0,0,0, 
66,49,0,0,0,0,1,1,0,0,0,1, 
67,50,0,0,0,0,1,1,0,0,1,0, 
68,51,0,0,0,0,1,1,0,0,1,1, 
69,52,0,0,0,0,1,1,0,1,0,0, 
70,52,0,0,0,0,1,1,0,1,0,0, 
71,53,0,0,0,0,1,1,0,1,0,1, 
72,54,0,0,0,0,1,1,0,1,1,0, 
73,55,0,0,0,0,1,1,0,1,1,1, 
74,56,0,0,0,0,1,1,1,0,0,0, 
75,56,0,0,0,0,1,1,1,0,0,0, 
76,57,0,0,0,0,1,1,1,0,0,1, 
77,58,0,0,0,0,1,1,1,0,1,0, 
78,59,0,0,0,0,1,1,1,0,1,1, 
79,60,0,0,0,0,1,1,1,1,0,0, 
80,61,0,0,0,0,1,1,1,1,0,1, 
81,61,0,0,0,0,1,1,1,1,0,1, 
82,62,0,0,0,0,1,1,1,1,1,0, 
83,63,0,0,0,0,1,1,1,1,1,1, 
84,64,0,0,0,1,0,0,0,0,0,0, 
85,65,0,0,0,1,0,0,0,0,0,1, 
86,65,0,0,0,1,0,0,0,0,0,1, 
87,66,0,0,0,1,0,0,0,0,1,0, 
88,67,0,0,0,1,0,0,0,0,1,1, 
89,68,0,0,0,1,0,0,0,1,0,0, 
90,69,0,0,0,1,0,0,0,1,0,1, 
91,70,0,0,0,1,0,0,0,1,1,0, 
92,70,0,0,0,1,0,0,0,1,1,0, 
93,71,0,0,0,1,0,0,0,1,1,1, 
94,72,0,0,0,1,0,0,1,0,0,0, 
95,73,0,0,0,1,0,0,1,0,0,1, 
96,74,0,0,0,1,0,0,1,0,1,0, 
97,74,0,0,0,1,0,0,1,0,1,0, 
98,75,0,0,0,1,0,0,1,0,1,1, 
99,76,0,0,0,1,0,0,1,1,0,0, 
100,77,0,0,0,1,0,0,1,1,0,1, 
101,78,0,0,0,1,0,0,1,1,1,0, 
102,79,0,0,0,1,0,0,1,1,1,1, 
103,79,0,0,0,1,0,0,1,1,1,1, 
104,80,0,0,0,1,0,1,0,0,0,0, 
105,81,0,0,0,1,0,1,0,0,0,1, 
106,82,0,0,0,1,0,1,0,0,1,0, 
107,83,0,0,0,1,0,1,0,0,1,1, 
108,83,0,0,0,1,0,1,0,0,1,1, 
109,84,0,0,0,1,0,1,0,1,0,0, 
110,85,0,0,0,1,0,1,0,1,0,1, 
111,86,0,0,0,1,0,1,0,1,1,0, 
112,87,0,0,0,1,0,1,0,1,1,1, 
113,88,0,0,0,1,0,1,1,0,0,0, 
114,88,0,0,0,1,0,1,1,0,0,0, 
115,89,0,0,0,1,0,1,1,0,0,1, 
116,90,0,0,0,1,0,1,1,0,1,0, 
117,91,0,0,0,1,0,1,1,0,1,1, 
118,92,0,0,0,1,0,1,1,1,0,0, 
119,92,0,0,0,1,0,1,1,1,0,0, 
120,93,0,0,0,1,0,1,1,1,0,1, 
121,94,0,0,0,1,0,1,1,1,1,0, 
122,95,0,0,0,1,0,1,1,1,1,1, 
123,96,0,0,0,1,1,0,0,0,0,0, 
124,97,0,0,0,1,1,0,0,0,0,1, 
125,97,0,0,0,1,1,0,0,0,0,1, 
126,98,0,0,0,1,1,0,0,0,1,0, 
127,99,0,0,0,1,1,0,0,0,1,1, 
128,100,0,0,0,1,1,0,0,1,0,0, 
129,101,0,0,0,1,1,0,0,1,0,1, 
130,101,0,0,0,1,1,0,0,1,0,1, 
131,102,0,0,0,1,1,0,0,1,1,0, 
132,103,0,0,0,1,1,0,0,1,1,1, 
133,104,0,0,0,1,1,0,1,0,0,0, 
134,105,0,0,0,1,1,0,1,0,0,1, 
135,106,0,0,0,1,1,0,1,0,1,0, 
136,106,0,0,0,1,1,0,1,0,1,0, 
137,107,0,0,0,1,1,0,1,0,1,1, 
138,108,0,0,0,1,1,0,1,1,0,0, 
139,109,0,0,0,1,1,0,1,1,0,1, 
140,110,0,0,0,1,1,0,1,1,1,0, 
141,110,0,0,0,1,1,0,1,1,1,0, 
142,111,0,0,0,1,1,0,1,1,1,1, 
143,112,0,0,0,1,1,1,0,0,0,0, 
144,113,0,0,0,1,1,1,0,0,0,1, 
145,114,0,0,0,1,1,1,0,0,1,0, 
146,115,0,0,0,1,1,1,0,0,1,1, 
147,115,0,0,0,1,1,1,0,0,1,1, 
148,116,0,0,0,1,1,1,0,1,0,0, 
149,117,0,0,0,1,1,1,0,1,0,1, 
150,118,0,0,0,1,1,1,0,1,1,0, 
151,119,0,0,0,1,1,1,0,1,1,1, 
152,119,0,0,0,1,1,1,0,1,1,1, 
153,120,0,0,0,1,1,1,1,0,0,0, 
154,121,0,0,0,1,1,1,1,0,0,1, 
155,122,0,0,0,1,1,1,1,0,1,0, 
156,123,0,0,0,1,1,1,1,0,1,1, 
157,124,0,0,0,1,1,1,1,1,0,0, 
158,124,0,0,0,1,1,1,1,1,0,0, 
159,125,0,0,0,1,1,1,1,1,0,1, 
160,126,0,0,0,1,1,1,1,1,1,0, 
161,127,0,0,0,1,1,1,1,1,1,1, 
162,128,0,0,1,0,0,0,0,0,0,0, 
163,129,0,0,1,0,0,0,0,0,0,1, 
164,129,0,0,1,0,0,0,0,0,0,1, 
165,130,0,0,1,0,0,0,0,0,1,0, 
166,131,0,0,1,0,0,0,0,0,1,1, 
167,132,0,0,1,0,0,0,0,1,0,0, 
168,133,0,0,1,0,0,0,0,1,0,1, 
169,133,0,0,1,0,0,0,0,1,0,1, 
170,134,0,0,1,0,0,0,0,1,1,0, 
171,135,0,0,1,0,0,0,0,1,1,1, 
172,136,0,0,1,0,0,0,1,0,0,0, 
173,137,0,0,1,0,0,0,1,0,0,1, 
174,138,0,0,1,0,0,0,1,0,1,0, 
175,138,0,0,1,0,0,0,1,0,1,0, 
176,139,0,0,1,0,0,0,1,0,1,1, 
177,140,0,0,1,0,0,0,1,1,0,0, 
178,141,0,0,1,0,0,0,1,1,0,1, 
179,142,0,0,1,0,0,0,1,1,1,0, 
180,142,0,0,1,0,0,0,1,1,1,0, 
181,143,0,0,1,0,0,0,1,1,1,1, 
182,144,0,0,1,0,0,1,0,0,0,0, 
183,145,0,0,1,0,0,1,0,0,0,1, 
184,146,0,0,1,0,0,1,0,0,1,0, 
185,147,0,0,1,0,0,1,0,0,1,1, 
186,147,0,0,1,0,0,1,0,0,1,1, 
187,148,0,0,1,0,0,1,0,1,0,0, 
188,149,0,0,1,0,0,1,0,1,0,1, 
189,150,0,0,1,0,0,1,0,1,1,0, 
190,151,0,0,1,0,0,1,0,1,1,1, 
191,151,0,0,1,0,0,1,0,1,1,1, 
192,152,0,0,1,0,0,1,1,0,0,0, 
193,153,0,0,1,0,0,1,1,0,0,1, 
194,154,0,0,1,0,0,1,1,0,1,0, 
195,155,0,0,1,0,0,1,1,0,1,1, 
196,156,0,0,1,0,0,1,1,1,0,0, 
197,156,0,0,1,0,0,1,1,1,0,0, 
198,157,0,0,1,0,0,1,1,1,0,1, 
199,158,0,0,1,0,0,1,1,1,1,0, 
200,159,0,0,1,0,0,1,1,1,1,1, 
201,160,0,0,1,0,1,0,0,0,0,0, 
202,160,0,0,1,0,1,0,0,0,0,0, 
203,161,0,0,1,0,1,0,0,0,0,1, 
204,162,0,0,1,0,1,0,0,0,1,0, 
205,163,0,0,1,0,1,0,0,0,1,1, 
206,164,0,0,1,0,1,0,0,1,0,0, 
207,165,0,0,1,0,1,0,0,1,0,1, 
208,165,0,0,1,0,1,0,0,1,0,1, 
209,166,0,0,1,0,1,0,0,1,1,0, 
210,167,0,0,1,0,1,0,0,1,1,1, 
211,168,0,0,1,0,1,0,1,0,0,0, 
212,169,0,0,1,0,1,0,1,0,0,1, 
213,169,0,0,1,0,1,0,1,0,0,1, 
214,170,0,0,1,0,1,0,1,0,1,0, 
215,171,0,0,1,0,1,0,1,0,1,1, 
216,172,0,0,1,0,1,0,1,1,0,0, 
217,173,0,0,1,0,1,0,1,1,0,1, 
218,174,0,0,1,0,1,0,1,1,1,0, 
219,174,0,0,1,0,1,0,1,1,1,0, 
220,175,0,0,1,0,1,0,1,1,1,1, 
221,176,0,0,1,0,1,1,0,0,0,0, 
222,177,0,0,1,0,1,1,0,0,0,1, 
223,178,0,0,1,0,1,1,0,0,1,0, 
224,178,0,0,1,0,1,1,0,0,1,0, 
225,179,0,0,1,0,1,1,0,0,1,1, 
226,180,0,0,1,0,1,1,0,1,0,0, 
227,181,0,0,1,0,1,1,0,1,0,1, 
228,182,0,0,1,0,1,1,0,1,1,0, 
229,183,0,0,1,0,1,1,0,1,1,1, 
230,183,0,0,1,0,1,1,0,1,1,1, 
231,184,0,0,1,0,1,1,1,0,0,0, 
232,185,0,0,1,0,1,1,1,0,0,1, 
233,186,0,0,1,0,1,1,1,0,1,0, 
234,187,0,0,1,0,1,1,1,0,1,1, 
235,187,0,0,1,0,1,1,1,0,1,1, 
236,188,0,0,1,0,1,1,1,1,0,0, 
237,189,0,0,1,0,1,1,1,1,0,1, 
238,190,0,0,1,0,1,1,1,1,1,0, 
239,191,0,0,1,0,1,1,1,1,1,1, 
240,192,0,0,1,1,0,0,0,0,0,0, 
241,192,0,0,1,1,0,0,0,0,0,0, 
242,193,0,0,1,1,0,0,0,0,0,1, 
243,194,0,0,1,1,0,0,0,0,1,0, 
244,195,0,0,1,1,0,0,0,0,1,1, 
245,196,0,0,1,1,0,0,0,1,0,0, 
246,197,0,0,1,1,0,0,0,1,0,1, 
247,197,0,0,1,1,0,0,0,1,0,1, 
248,198,0,0,1,1,0,0,0,1,1,0, 
249,199,0,0,1,1,0,0,0,1,1,1, 
250,200,0,0,1,1,0,0,1,0,0,0, 
251,201,0,0,1,1,0,0,1,0,0,1, 
252,201,0,0,1,1,0,0,1,0,0,1, 
253,202,0,0,1,1,0,0,1,0,1,0, 
254,203,0,0,1,1,0,0,1,0,1,1, 
255,204,0,0,1,1,0,0,1,1,0,0, 
256,205,0,0,1,1,0,0,1,1,0,1, 
257,206,0,0,1,1,0,0,1,1,1,0, 
258,206,0,0,1,1,0,0,1,1,1,0, 
259,207,0,0,1,1,0,0,1,1,1,1, 
260,208,0,0,1,1,0,1,0,0,0,0, 
261,209,0,0,1,1,0,1,0,0,0,1, 
262,210,0,0,1,1,0,1,0,0,1,0, 
263,210,0,0,1,1,0,1,0,0,1,0, 
264,211,0,0,1,1,0,1,0,0,1,1, 
265,212,0,0,1,1,0,1,0,1,0,0, 
266,213,0,0,1,1,0,1,0,1,0,1, 
267,214,0,0,1,1,0,1,0,1,1,0, 
268,215,0,0,1,1,0,1,0,1,1,1, 
269,215,0,0,1,1,0,1,0,1,1,1, 
270,216,0,0,1,1,0,1,1,0,0,0, 
271,217,0,0,1,1,0,1,1,0,0,1, 
272,218,0,0,1,1,0,1,1,0,1,0, 
273,219,0,0,1,1,0,1,1,0,1,1, 
274,219,0,0,1,1,0,1,1,0,1,1, 
275,220,0,0,1,1,0,1,1,1,0,0, 
276,221,0,0,1,1,0,1,1,1,0,1, 
277,222,0,0,1,1,0,1,1,1,1,0, 
278,223,0,0,1,1,0,1,1,1,1,1, 
279,224,0,0,1,1,1,0,0,0,0,0, 
280,224,0,0,1,1,1,0,0,0,0,0, 
281,225,0,0,1,1,1,0,0,0,0,1, 
282,226,0,0,1,1,1,0,0,0,1,0, 
283,227,0,0,1,1,1,0,0,0,1,1, 
284,228,0,0,1,1,1,0,0,1,0,0, 
285,228,0,0,1,1,1,0,0,1,0,0, 
286,229,0,0,1,1,1,0,0,1,0,1, 
287,230,0,0,1,1,1,0,0,1,1,0, 
288,231,0,0,1,1,1,0,0,1,1,1, 
289,232,0,0,1,1,1,0,1,0,0,0, 
290,233,0,0,1,1,1,0,1,0,0,1, 
291,233,0,0,1,1,1,0,1,0,0,1, 
292,234,0,0,1,1,1,0,1,0,1,0, 
293,235,0,0,1,1,1,0,1,0,1,1, 
294,236,0,0,1,1,1,0,1,1,0,0, 
295,237,0,0,1,1,1,0,1,1,0,1, 
296,237,0,0,1,1,1,0,1,1,0,1, 
297,238,0,0,1,1,1,0,1,1,1,0, 
298,239,0,0,1,1,1,0,1,1,1,1, 
299,240,0,0,1,1,1,1,0,0,0,0, 
300,241,0,0,1,1,1,1,0,0,0,1, 
301,242,0,0,1,1,1,1,0,0,1,0, 
302,242,0,0,1,1,1,1,0,0,1,0, 
303,243,0,0,1,1,1,1,0,0,1,1, 
304,244,0,0,1,1,1,1,0,1,0,0, 
305,245,0,0,1,1,1,1,0,1,0,1, 
306,246,0,0,1,1,1,1,0,1,1,0, 
307,246,0,0,1,1,1,1,0,1,1,0, 
308,247,0,0,1,1,1,1,0,1,1,1, 
309,248,0,0,1,1,1,1,1,0,0,0, 
310,249,0,0,1,1,1,1,1,0,0,1, 
311,250,0,0,1,1,1,1,1,0,1,0, 
312,251,0,0,1,1,1,1,1,0,1,1, 
313,251,0,0,1,1,1,1,1,0,1,1, 
314,252,0,0,1,1,1,1,1,1,0,0, 
315,253,0,0,1,1,1,1,1,1,0,1, 
316,254,0,0,1,1,1,1,1,1,1,0, 
317,255,0,0,1,1,1,1,1,1,1,1, 
318,255,0,0,1,1,1,1,1,1,1,1, 
319,256,0,1,0,0,0,0,0,0,0,0, 
320,257,0,1,0,0,0,0,0,0,0,1, 
321,258,0,1,0,0,0,0,0,0,1,0, 
322,259,0,1,0,0,0,0,0,0,1,1, 
323,260,0,1,0,0,0,0,0,1,0,0, 
324,260,0,1,0,0,0,0,0,1,0,0, 
325,261,0,1,0,0,0,0,0,1,0,1, 
326,262,0,1,0,0,0,0,0,1,1,0, 
327,263,0,1,0,0,0,0,0,1,1,1, 
328,264,0,1,0,0,0,0,1,0,0,0, 
329,265,0,1,0,0,0,0,1,0,0,1, 
330,265,0,1,0,0,0,0,1,0,0,1, 
331,266,0,1,0,0,0,0,1,0,1,0, 
332,267,0,1,0,0,0,0,1,0,1,1, 
333,268,0,1,0,0,0,0,1,1,0,0, 
334,269,0,1,0,0,0,0,1,1,0,1, 
335,269,0,1,0,0,0,0,1,1,0,1, 
336,270,0,1,0,0,0,0,1,1,1,0, 
337,271,0,1,0,0,0,0,1,1,1,1, 
