Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,513,1,0,0,0,0,0,0,0,0,1, 
2,513,1,0,0,0,0,0,0,0,0,1, 
3,513,1,0,0,0,0,0,0,0,0,1, 
4,514,1,0,0,0,0,0,0,0,1,0, 
5,514,1,0,0,0,0,0,0,0,1,0, 
6,514,1,0,0,0,0,0,0,0,1,0, 
7,514,1,0,0,0,0,0,0,0,1,0, 
8,514,1,0,0,0,0,0,0,0,1,0, 
9,514,1,0,0,0,0,0,0,0,1,0, 
10,515,1,0,0,0,0,0,0,0,1,1, 
11,515,1,0,0,0,0,0,0,0,1,1, 
12,515,1,0,0,0,0,0,0,0,1,1, 
13,515,1,0,0,0,0,0,0,0,1,1, 
14,515,1,0,0,0,0,0,0,0,1,1, 
15,516,1,0,0,0,0,0,0,1,0,0, 
16,516,1,0,0,0,0,0,0,1,0,0, 
17,516,1,0,0,0,0,0,0,1,0,0, 
18,517,1,0,0,0,0,0,0,1,0,1, 
19,517,1,0,0,0,0,0,0,1,0,1, 
20,517,1,0,0,0,0,0,0,1,0,1, 
21,518,1,0,0,0,0,0,0,1,1,0, 
22,518,1,0,0,0,0,0,0,1,1,0, 
23,518,1,0,0,0,0,0,0,1,1,0, 
24,519,1,0,0,0,0,0,0,1,1,1, 
25,519,1,0,0,0,0,0,0,1,1,1, 
26,520,1,0,0,0,0,0,1,0,0,0, 
27,520,1,0,0,0,0,0,1,0,0,0, 
28,520,1,0,0,0,0,0,1,0,0,0, 
29,521,1,0,0,0,0,0,1,0,0,1, 
30,521,1,0,0,0,0,0,1,0,0,1, 
31,522,1,0,0,0,0,0,1,0,1,0, 
32,522,1,0,0,0,0,0,1,0,1,0, 
33,523,1,0,0,0,0,0,1,0,1,1, 
34,523,1,0,0,0,0,0,1,0,1,1, 
35,524,1,0,0,0,0,0,1,1,0,0, 
36,524,1,0,0,0,0,0,1,1,0,0, 
37,525,1,0,0,0,0,0,1,1,0,1, 
38,525,1,0,0,0,0,0,1,1,0,1, 
39,525,1,0,0,0,0,0,1,1,0,1, 
40,526,1,0,0,0,0,0,1,1,1,0, 
41,527,1,0,0,0,0,0,1,1,1,1, 
42,528,1,0,0,0,0,1,0,0,0,0, 
43,528,1,0,0,0,0,1,0,0,0,0, 
44,529,1,0,0,0,0,1,0,0,0,1, 
45,529,1,0,0,0,0,1,0,0,0,1, 
46,530,1,0,0,0,0,1,0,0,1,0, 
47,531,1,0,0,0,0,1,0,0,1,1, 
48,532,1,0,0,0,0,1,0,1,0,0, 
49,532,1,0,0,0,0,1,0,1,0,0, 
50,532,1,0,0,0,0,1,0,1,0,0, 
51,533,1,0,0,0,0,1,0,1,0,1, 
52,534,1,0,0,0,0,1,0,1,1,0, 
53,535,1,0,0,0,0,1,0,1,1,1, 
54,536,1,0,0,0,0,1,1,0,0,0, 
55,537,1,0,0,0,0,1,1,0,0,1, 
56,537,1,0,0,0,0,1,1,0,0,1, 
57,538,1,0,0,0,0,1,1,0,1,0, 
58,539,1,0,0,0,0,1,1,0,1,1, 
59,540,1,0,0,0,0,1,1,1,0,0, 
60,541,1,0,0,0,0,1,1,1,0,1, 
61,541,1,0,0,0,0,1,1,1,0,1, 
62,542,1,0,0,0,0,1,1,1,1,0, 
63,543,1,0,0,0,0,1,1,1,1,1, 
64,544,1,0,0,0,1,0,0,0,0,0, 
65,545,1,0,0,0,1,0,0,0,0,1, 
66,546,1,0,0,0,1,0,0,0,1,0, 
67,546,1,0,0,0,1,0,0,0,1,0, 
68,547,1,0,0,0,1,0,0,0,1,1, 
69,548,1,0,0,0,1,0,0,1,0,0, 
70,550,1,0,0,0,1,0,0,1,1,0, 
71,551,1,0,0,0,1,0,0,1,1,1, 
72,551,1,0,0,0,1,0,0,1,1,1, 
73,552,1,0,0,0,1,0,1,0,0,0, 
74,553,1,0,0,0,1,0,1,0,0,1, 
75,554,1,0,0,0,1,0,1,0,1,0, 
76,556,1,0,0,0,1,0,1,1,0,0, 
77,557,1,0,0,0,1,0,1,1,0,1, 
78,557,1,0,0,0,1,0,1,1,0,1, 
79,558,1,0,0,0,1,0,1,1,1,0, 
80,560,1,0,0,0,1,1,0,0,0,0, 
81,561,1,0,0,0,1,1,0,0,0,1, 
82,562,1,0,0,0,1,1,0,0,1,0, 
83,562,1,0,0,0,1,1,0,0,1,0, 
84,564,1,0,0,0,1,1,0,1,0,0, 
85,565,1,0,0,0,1,1,0,1,0,1, 
86,566,1,0,0,0,1,1,0,1,1,0, 
87,568,1,0,0,0,1,1,1,0,0,0, 
88,569,1,0,0,0,1,1,1,0,0,1, 
89,569,1,0,0,0,1,1,1,0,0,1, 
90,571,1,0,0,0,1,1,1,0,1,1, 
91,572,1,0,0,0,1,1,1,1,0,0, 
92,573,1,0,0,0,1,1,1,1,0,1, 
93,575,1,0,0,0,1,1,1,1,1,1, 
94,576,1,0,0,1,0,0,0,0,0,0, 
95,576,1,0,0,1,0,0,0,0,0,0, 
96,578,1,0,0,1,0,0,0,0,1,0, 
97,580,1,0,0,1,0,0,0,1,0,0, 
98,581,1,0,0,1,0,0,0,1,0,1, 
99,583,1,0,0,1,0,0,0,1,1,1, 
100,583,1,0,0,1,0,0,0,1,1,1, 
101,584,1,0,0,1,0,0,1,0,0,0, 
102,586,1,0,0,1,0,0,1,0,1,0, 
103,587,1,0,0,1,0,0,1,0,1,1, 
104,589,1,0,0,1,0,0,1,1,0,1, 
105,591,1,0,0,1,0,0,1,1,1,1, 
106,591,1,0,0,1,0,0,1,1,1,1, 
107,592,1,0,0,1,0,1,0,0,0,0, 
108,594,1,0,0,1,0,1,0,0,1,0, 
109,596,1,0,0,1,0,1,0,1,0,0, 
110,598,1,0,0,1,0,1,0,1,1,0, 
111,598,1,0,0,1,0,1,0,1,1,0, 
112,599,1,0,0,1,0,1,0,1,1,1, 
113,601,1,0,0,1,0,1,1,0,0,1, 
114,603,1,0,0,1,0,1,1,0,1,1, 
115,605,1,0,0,1,0,1,1,1,0,1, 
116,606,1,0,0,1,0,1,1,1,1,0, 
117,606,1,0,0,1,0,1,1,1,1,0, 
118,608,1,0,0,1,1,0,0,0,0,0, 
119,610,1,0,0,1,1,0,0,0,1,0, 
120,612,1,0,0,1,1,0,0,1,0,0, 
121,614,1,0,0,1,1,0,0,1,1,0, 
122,614,1,0,0,1,1,0,0,1,1,0, 
123,616,1,0,0,1,1,0,1,0,0,0, 
124,617,1,0,0,1,1,0,1,0,0,1, 
125,619,1,0,0,1,1,0,1,0,1,1, 
126,621,1,0,0,1,1,0,1,1,0,1, 
127,623,1,0,0,1,1,0,1,1,1,1, 
128,623,1,0,0,1,1,0,1,1,1,1, 
129,625,1,0,0,1,1,1,0,0,0,1, 
130,627,1,0,0,1,1,1,0,0,1,1, 
131,629,1,0,0,1,1,1,0,1,0,1, 
132,631,1,0,0,1,1,1,0,1,1,1, 
133,631,1,0,0,1,1,1,0,1,1,1, 
134,633,1,0,0,1,1,1,1,0,0,1, 
135,635,1,0,0,1,1,1,1,0,1,1, 
136,637,1,0,0,1,1,1,1,1,0,1, 
137,639,1,0,0,1,1,1,1,1,1,1, 
138,641,1,0,1,0,0,0,0,0,0,1, 
139,641,1,0,1,0,0,0,0,0,0,1, 
140,643,1,0,1,0,0,0,0,0,1,1, 
141,646,1,0,1,0,0,0,0,1,1,0, 
142,648,1,0,1,0,0,0,1,0,0,0, 
143,650,1,0,1,0,0,0,1,0,1,0, 
144,650,1,0,1,0,0,0,1,0,1,0, 
145,652,1,0,1,0,0,0,1,1,0,0, 
146,654,1,0,1,0,0,0,1,1,1,0, 
147,656,1,0,1,0,0,1,0,0,0,0, 
148,658,1,0,1,0,0,1,0,0,1,0, 
149,661,1,0,1,0,0,1,0,1,0,1, 
150,661,1,0,1,0,0,1,0,1,0,1, 
151,663,1,0,1,0,0,1,0,1,1,1, 
152,665,1,0,1,0,0,1,1,0,0,1, 
153,667,1,0,1,0,0,1,1,0,1,1, 
154,670,1,0,1,0,0,1,1,1,1,0, 
155,670,1,0,1,0,0,1,1,1,1,0, 
156,672,1,0,1,0,1,0,0,0,0,0, 
157,674,1,0,1,0,1,0,0,0,1,0, 
158,676,1,0,1,0,1,0,0,1,0,0, 
159,679,1,0,1,0,1,0,0,1,1,1, 
160,681,1,0,1,0,1,0,1,0,0,1, 
161,681,1,0,1,0,1,0,1,0,0,1, 
162,683,1,0,1,0,1,0,1,0,1,1, 
163,686,1,0,1,0,1,0,1,1,1,0, 
164,688,1,0,1,0,1,1,0,0,0,0, 
165,690,1,0,1,0,1,1,0,0,1,0, 
166,690,1,0,1,0,1,1,0,0,1,0, 
167,693,1,0,1,0,1,1,0,1,0,1, 
168,695,1,0,1,0,1,1,0,1,1,1, 
169,698,1,0,1,0,1,1,1,0,1,0, 
170,700,1,0,1,0,1,1,1,1,0,0, 
171,702,1,0,1,0,1,1,1,1,1,0, 
172,702,1,0,1,0,1,1,1,1,1,0, 
173,705,1,0,1,1,0,0,0,0,0,1, 
174,707,1,0,1,1,0,0,0,0,1,1, 
175,710,1,0,1,1,0,0,0,1,1,0, 
176,712,1,0,1,1,0,0,1,0,0,0, 
177,715,1,0,1,1,0,0,1,0,1,1, 
178,715,1,0,1,1,0,0,1,0,1,1, 
179,717,1,0,1,1,0,0,1,1,0,1, 
180,720,1,0,1,1,0,1,0,0,0,0, 
181,722,1,0,1,1,0,1,0,0,1,0, 
182,725,1,0,1,1,0,1,0,1,0,1, 
183,725,1,0,1,1,0,1,0,1,0,1, 
184,727,1,0,1,1,0,1,0,1,1,1, 
185,730,1,0,1,1,0,1,1,0,1,0, 
186,732,1,0,1,1,0,1,1,1,0,0, 
187,735,1,0,1,1,0,1,1,1,1,1, 
188,738,1,0,1,1,1,0,0,0,1,0, 
189,738,1,0,1,1,1,0,0,0,1,0, 
190,740,1,0,1,1,1,0,0,1,0,0, 
191,743,1,0,1,1,1,0,0,1,1,1, 
192,745,1,0,1,1,1,0,1,0,0,1, 
193,748,1,0,1,1,1,0,1,1,0,0, 
194,748,1,0,1,1,1,0,1,1,0,0, 
195,751,1,0,1,1,1,0,1,1,1,1, 
196,753,1,0,1,1,1,1,0,0,0,1, 
197,756,1,0,1,1,1,1,0,1,0,0, 
198,759,1,0,1,1,1,1,0,1,1,1, 
199,761,1,0,1,1,1,1,1,0,0,1, 
200,761,1,0,1,1,1,1,1,0,0,1, 
201,764,1,0,1,1,1,1,1,1,0,0, 
202,767,1,0,1,1,1,1,1,1,1,1, 
203,770,1,1,0,0,0,0,0,0,1,0, 
204,772,1,1,0,0,0,0,0,1,0,0, 
205,772,1,1,0,0,0,0,0,1,0,0, 
206,775,1,1,0,0,0,0,0,1,1,1, 
207,778,1,1,0,0,0,0,1,0,1,0, 
208,780,1,1,0,0,0,0,1,1,0,0, 
209,783,1,1,0,0,0,0,1,1,1,1, 
210,786,1,1,0,0,0,1,0,0,1,0, 
211,786,1,1,0,0,0,1,0,0,1,0, 
212,789,1,1,0,0,0,1,0,1,0,1, 
213,792,1,1,0,0,0,1,1,0,0,0, 
214,794,1,1,0,0,0,1,1,0,1,0, 
215,797,1,1,0,0,0,1,1,1,0,1, 
216,797,1,1,0,0,0,1,1,1,0,1, 
217,800,1,1,0,0,1,0,0,0,0,0, 
218,803,1,1,0,0,1,0,0,0,1,1, 
219,806,1,1,0,0,1,0,0,1,1,0, 
220,808,1,1,0,0,1,0,1,0,0,0, 
221,811,1,1,0,0,1,0,1,0,1,1, 
222,811,1,1,0,0,1,0,1,0,1,1, 
223,814,1,1,0,0,1,0,1,1,1,0, 
224,817,1,1,0,0,1,1,0,0,0,1, 
225,820,1,1,0,0,1,1,0,1,0,0, 
226,823,1,1,0,0,1,1,0,1,1,1, 
227,823,1,1,0,0,1,1,0,1,1,1, 
228,826,1,1,0,0,1,1,1,0,1,0, 
229,829,1,1,0,0,1,1,1,1,0,1, 
230,831,1,1,0,0,1,1,1,1,1,1, 
231,834,1,1,0,1,0,0,0,0,1,0, 
232,837,1,1,0,1,0,0,0,1,0,1, 
233,837,1,1,0,1,0,0,0,1,0,1, 
234,840,1,1,0,1,0,0,1,0,0,0, 
235,843,1,1,0,1,0,0,1,0,1,1, 
236,846,1,1,0,1,0,0,1,1,1,0, 
237,849,1,1,0,1,0,1,0,0,0,1, 
238,849,1,1,0,1,0,1,0,0,0,1, 
239,852,1,1,0,1,0,1,0,1,0,0, 
240,855,1,1,0,1,0,1,0,1,1,1, 
241,858,1,1,0,1,0,1,1,0,1,0, 
242,861,1,1,0,1,0,1,1,1,0,1, 
243,864,1,1,0,1,1,0,0,0,0,0, 
244,864,1,1,0,1,1,0,0,0,0,0, 
245,867,1,1,0,1,1,0,0,0,1,1, 
246,870,1,1,0,1,1,0,0,1,1,0, 
247,873,1,1,0,1,1,0,1,0,0,1, 
248,876,1,1,0,1,1,0,1,1,0,0, 
249,876,1,1,0,1,1,0,1,1,0,0, 
250,879,1,1,0,1,1,0,1,1,1,1, 
251,882,1,1,0,1,1,1,0,0,1,0, 
252,885,1,1,0,1,1,1,0,1,0,1, 
253,888,1,1,0,1,1,1,1,0,0,0, 
254,891,1,1,0,1,1,1,1,0,1,1, 
255,891,1,1,0,1,1,1,1,0,1,1, 
256,894,1,1,0,1,1,1,1,1,1,0, 
257,897,1,1,1,0,0,0,0,0,0,1, 
258,900,1,1,1,0,0,0,0,1,0,0, 
259,903,1,1,1,0,0,0,0,1,1,1, 
260,903,1,1,1,0,0,0,0,1,1,1, 
261,906,1,1,1,0,0,0,1,0,1,0, 
262,909,1,1,1,0,0,0,1,1,0,1, 
263,912,1,1,1,0,0,1,0,0,0,0, 
264,915,1,1,1,0,0,1,0,0,1,1, 
265,918,1,1,1,0,0,1,0,1,1,0, 
266,918,1,1,1,0,0,1,0,1,1,0, 
267,921,1,1,1,0,0,1,1,0,0,1, 
268,924,1,1,1,0,0,1,1,1,0,0, 
269,927,1,1,1,0,0,1,1,1,1,1, 
270,931,1,1,1,0,1,0,0,0,1,1, 
271,934,1,1,1,0,1,0,0,1,1,0, 
272,934,1,1,1,0,1,0,0,1,1,0, 
273,937,1,1,1,0,1,0,1,0,0,1, 
274,940,1,1,1,0,1,0,1,1,0,0, 
275,943,1,1,1,0,1,0,1,1,1,1, 
276,946,1,1,1,0,1,1,0,0,1,0, 
277,946,1,1,1,0,1,1,0,0,1,0, 
278,949,1,1,1,0,1,1,0,1,0,1, 
279,952,1,1,1,0,1,1,1,0,0,0, 
280,955,1,1,1,0,1,1,1,0,1,1, 
281,958,1,1,1,0,1,1,1,1,1,0, 
282,961,1,1,1,1,0,0,0,0,0,1, 
283,961,1,1,1,1,0,0,0,0,0,1, 
284,965,1,1,1,1,0,0,0,1,0,1, 
285,968,1,1,1,1,0,0,1,0,0,0, 
286,971,1,1,1,1,0,0,1,0,1,1, 
287,974,1,1,1,1,0,0,1,1,1,0, 
288,974,1,1,1,1,0,0,1,1,1,0, 
289,977,1,1,1,1,0,1,0,0,0,1, 
290,980,1,1,1,1,0,1,0,1,0,0, 
291,983,1,1,1,1,0,1,0,1,1,1, 
292,986,1,1,1,1,0,1,1,0,1,0, 
293,990,1,1,1,1,0,1,1,1,1,0, 
294,990,1,1,1,1,0,1,1,1,1,0, 
295,993,1,1,1,1,1,0,0,0,0,1, 
296,996,1,1,1,1,1,0,0,1,0,0, 
297,999,1,1,1,1,1,0,0,1,1,1, 
298,1002,1,1,1,1,1,0,1,0,1,0, 
299,1002,1,1,1,1,1,0,1,0,1,0, 
300,1005,1,1,1,1,1,0,1,1,0,1, 
301,1008,1,1,1,1,1,1,0,0,0,0, 
302,1011,1,1,1,1,1,1,0,0,1,1, 
303,1015,1,1,1,1,1,1,0,1,1,1, 
304,1018,1,1,1,1,1,1,1,0,1,0, 
305,1018,1,1,1,1,1,1,1,0,1,0, 
306,1021,1,1,1,1,1,1,1,1,0,1, 
307,0,0,0,0,0,0,0,0,0,0,0, 
308,0,0,0,0,0,0,0,0,0,0,0, 
309,1021,1,1,1,1,1,1,1,1,0,1, 
310,1021,1,1,1,1,1,1,1,1,0,1, 
311,1018,1,1,1,1,1,1,1,0,1,0, 
312,1015,1,1,1,1,1,1,0,1,1,1, 
313,1011,1,1,1,1,1,1,0,0,1,1, 
314,1008,1,1,1,1,1,1,0,0,0,0, 
315,1005,1,1,1,1,1,0,1,1,0,1, 
316,1005,1,1,1,1,1,0,1,1,0,1, 
317,1002,1,1,1,1,1,0,1,0,1,0, 
318,999,1,1,1,1,1,0,0,1,1,1, 
319,996,1,1,1,1,1,0,0,1,0,0, 
320,993,1,1,1,1,1,0,0,0,0,1, 
321,993,1,1,1,1,1,0,0,0,0,1, 
322,990,1,1,1,1,0,1,1,1,1,0, 
323,986,1,1,1,1,0,1,1,0,1,0, 
324,983,1,1,1,1,0,1,0,1,1,1, 
325,980,1,1,1,1,0,1,0,1,0,0, 
326,977,1,1,1,1,0,1,0,0,0,1, 
327,977,1,1,1,1,0,1,0,0,0,1, 
328,974,1,1,1,1,0,0,1,1,1,0, 
329,971,1,1,1,1,0,0,1,0,1,1, 
330,968,1,1,1,1,0,0,1,0,0,0, 
331,965,1,1,1,1,0,0,0,1,0,1, 
332,965,1,1,1,1,0,0,0,1,0,1, 
333,961,1,1,1,1,0,0,0,0,0,1, 
334,958,1,1,1,0,1,1,1,1,1,0, 
335,955,1,1,1,0,1,1,1,0,1,1, 
336,952,1,1,1,0,1,1,1,0,0,0, 
