Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 687, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
2, 684, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
3, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
4, 681, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 
5, 678, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
6, 675, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
7, 672, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
8, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
9, 669, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
10, 666, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
11, 663, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
12, 660, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
13, 657, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
14, 654, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
15, 654, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
16, 651, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 
17, 648, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
18, 645, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
19, 642, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
20, 642, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
21, 639, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 
22, 636, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
23, 633, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 
24, 630, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
25, 627, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
26, 627, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
27, 624, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
28, 621, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
29, 618, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
30, 615, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
31, 615, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
32, 612, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
33, 609, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
34, 605, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
35, 602, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
36, 599, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 
37, 599, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 
38, 596, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 
39, 593, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
40, 590, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
41, 587, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
42, 587, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
43, 584, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
44, 581, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 
45, 578, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
46, 575, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
47, 571, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
48, 571, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
49, 568, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
50, 565, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 
51, 562, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
52, 559, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
53, 559, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
54, 556, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
55, 553, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
56, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
57, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
58, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
59, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
60, 540, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
61, 537, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
62, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
63, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
64, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
65, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
66, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
67, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
68, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
69, 1021, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
70, 1021, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
73, 1021, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 
74, 1018, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
75, 1015, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
76, 1015, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
