Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 515, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
2, 512, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 512, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 515, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
5, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
6, 518, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
7, 521, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
8, 525, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
9, 528, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
10, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
11, 531, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
12, 534, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
13, 537, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
14, 540, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
15, 543, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
16, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
17, 546, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
18, 550, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
19, 553, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
20, 556, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
