Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,514,1,0,0,0,0,0,0,0,1,0, 
2,516,1,0,0,0,0,0,0,1,0,0, 
3,518,1,0,0,0,0,0,0,1,1,0, 
4,518,1,0,0,0,0,0,0,1,1,0, 
5,520,1,0,0,0,0,0,1,0,0,0, 
6,522,1,0,0,0,0,0,1,0,1,0, 
7,524,1,0,0,0,0,0,1,1,0,0, 
8,526,1,0,0,0,0,0,1,1,1,0, 
9,526,1,0,0,0,0,0,1,1,1,0, 
10,528,1,0,0,0,0,1,0,0,0,0, 
11,530,1,0,0,0,0,1,0,0,1,0, 
12,532,1,0,0,0,0,1,0,1,0,0, 
13,534,1,0,0,0,0,1,0,1,1,0, 
14,536,1,0,0,0,0,1,1,0,0,0, 
15,536,1,0,0,0,0,1,1,0,0,0, 
16,538,1,0,0,0,0,1,1,0,1,0, 
17,540,1,0,0,0,0,1,1,1,0,0, 
18,542,1,0,0,0,0,1,1,1,1,0, 
19,544,1,0,0,0,1,0,0,0,0,0, 
20,544,1,0,0,0,1,0,0,0,0,0, 
21,546,1,0,0,0,1,0,0,0,1,0, 
22,548,1,0,0,0,1,0,0,1,0,0, 
23,550,1,0,0,0,1,0,0,1,1,0, 
24,552,1,0,0,0,1,0,1,0,0,0, 
25,554,1,0,0,0,1,0,1,0,1,0, 
26,554,1,0,0,0,1,0,1,0,1,0, 
27,556,1,0,0,0,1,0,1,1,0,0, 
28,558,1,0,0,0,1,0,1,1,1,0, 
29,560,1,0,0,0,1,1,0,0,0,0, 
30,562,1,0,0,0,1,1,0,0,1,0, 
31,562,1,0,0,0,1,1,0,0,1,0, 
32,564,1,0,0,0,1,1,0,1,0,0, 
33,566,1,0,0,0,1,1,0,1,1,0, 
34,568,1,0,0,0,1,1,1,0,0,0, 
35,570,1,0,0,0,1,1,1,0,1,0, 
36,572,1,0,0,0,1,1,1,1,0,0, 
37,572,1,0,0,0,1,1,1,1,0,0, 
38,574,1,0,0,0,1,1,1,1,1,0, 
39,576,1,0,0,1,0,0,0,0,0,0, 
40,578,1,0,0,1,0,0,0,0,1,0, 
41,580,1,0,0,1,0,0,0,1,0,0, 
42,580,1,0,0,1,0,0,0,1,0,0, 
43,582,1,0,0,1,0,0,0,1,1,0, 
44,584,1,0,0,1,0,0,1,0,0,0, 
45,586,1,0,0,1,0,0,1,0,1,0, 
46,588,1,0,0,1,0,0,1,1,0,0, 
47,590,1,0,0,1,0,0,1,1,1,0, 
48,590,1,0,0,1,0,0,1,1,1,0, 
49,592,1,0,0,1,0,1,0,0,0,0, 
50,594,1,0,0,1,0,1,0,0,1,0, 
51,596,1,0,0,1,0,1,0,1,0,0, 
52,598,1,0,0,1,0,1,0,1,1,0, 
53,600,1,0,0,1,0,1,1,0,0,0, 
54,600,1,0,0,1,0,1,1,0,0,0, 
55,602,1,0,0,1,0,1,1,0,1,0, 
56,604,1,0,0,1,0,1,1,1,0,0, 
57,606,1,0,0,1,0,1,1,1,1,0, 
58,608,1,0,0,1,1,0,0,0,0,0, 
59,608,1,0,0,1,1,0,0,0,0,0, 
60,610,1,0,0,1,1,0,0,0,1,0, 
61,612,1,0,0,1,1,0,0,1,0,0, 
62,614,1,0,0,1,1,0,0,1,1,0, 
63,616,1,0,0,1,1,0,1,0,0,0, 
64,618,1,0,0,1,1,0,1,0,1,0, 
65,618,1,0,0,1,1,0,1,0,1,0, 
66,620,1,0,0,1,1,0,1,1,0,0, 
67,622,1,0,0,1,1,0,1,1,1,0, 
68,624,1,0,0,1,1,1,0,0,0,0, 
69,626,1,0,0,1,1,1,0,0,1,0, 
70,626,1,0,0,1,1,1,0,0,1,0, 
71,628,1,0,0,1,1,1,0,1,0,0, 
72,630,1,0,0,1,1,1,0,1,1,0, 
73,632,1,0,0,1,1,1,1,0,0,0, 
74,634,1,0,0,1,1,1,1,0,1,0, 
75,636,1,0,0,1,1,1,1,1,0,0, 
76,636,1,0,0,1,1,1,1,1,0,0, 
77,638,1,0,0,1,1,1,1,1,1,0, 
78,640,1,0,1,0,0,0,0,0,0,0, 
79,642,1,0,1,0,0,0,0,0,1,0, 
80,644,1,0,1,0,0,0,0,1,0,0, 
81,644,1,0,1,0,0,0,0,1,0,0, 
82,646,1,0,1,0,0,0,0,1,1,0, 
83,648,1,0,1,0,0,0,1,0,0,0, 
84,650,1,0,1,0,0,0,1,0,1,0, 
85,652,1,0,1,0,0,0,1,1,0,0, 
86,654,1,0,1,0,0,0,1,1,1,0, 
87,654,1,0,1,0,0,0,1,1,1,0, 
88,656,1,0,1,0,0,1,0,0,0,0, 
89,658,1,0,1,0,0,1,0,0,1,0, 
90,660,1,0,1,0,0,1,0,1,0,0, 
91,662,1,0,1,0,0,1,0,1,1,0, 
92,662,1,0,1,0,0,1,0,1,1,0, 
93,664,1,0,1,0,0,1,1,0,0,0, 
94,666,1,0,1,0,0,1,1,0,1,0, 
95,668,1,0,1,0,0,1,1,1,0,0, 
96,670,1,0,1,0,0,1,1,1,1,0, 
97,672,1,0,1,0,1,0,0,0,0,0, 
98,672,1,0,1,0,1,0,0,0,0,0, 
99,674,1,0,1,0,1,0,0,0,1,0, 
100,676,1,0,1,0,1,0,0,1,0,0, 
101,678,1,0,1,0,1,0,0,1,1,0, 
102,680,1,0,1,0,1,0,1,0,0,0, 
103,680,1,0,1,0,1,0,1,0,0,0, 
104,682,1,0,1,0,1,0,1,0,1,0, 
105,684,1,0,1,0,1,0,1,1,0,0, 
106,686,1,0,1,0,1,0,1,1,1,0, 
107,688,1,0,1,0,1,1,0,0,0,0, 
108,690,1,0,1,0,1,1,0,0,1,0, 
109,690,1,0,1,0,1,1,0,0,1,0, 
110,692,1,0,1,0,1,1,0,1,0,0, 
111,694,1,0,1,0,1,1,0,1,1,0, 
112,696,1,0,1,0,1,1,1,0,0,0, 
113,698,1,0,1,0,1,1,1,0,1,0, 
114,698,1,0,1,0,1,1,1,0,1,0, 
115,700,1,0,1,0,1,1,1,1,0,0, 
116,702,1,0,1,0,1,1,1,1,1,0, 
117,704,1,0,1,1,0,0,0,0,0,0, 
118,706,1,0,1,1,0,0,0,0,1,0, 
119,708,1,0,1,1,0,0,0,1,0,0, 
120,708,1,0,1,1,0,0,0,1,0,0, 
121,710,1,0,1,1,0,0,0,1,1,0, 
122,712,1,0,1,1,0,0,1,0,0,0, 
123,714,1,0,1,1,0,0,1,0,1,0, 
124,716,1,0,1,1,0,0,1,1,0,0, 
125,716,1,0,1,1,0,0,1,1,0,0, 
126,718,1,0,1,1,0,0,1,1,1,0, 
127,720,1,0,1,1,0,1,0,0,0,0, 
128,722,1,0,1,1,0,1,0,0,1,0, 
129,724,1,0,1,1,0,1,0,1,0,0, 
130,726,1,0,1,1,0,1,0,1,1,0, 
131,726,1,0,1,1,0,1,0,1,1,0, 
132,728,1,0,1,1,0,1,1,0,0,0, 
133,730,1,0,1,1,0,1,1,0,1,0, 
134,732,1,0,1,1,0,1,1,1,0,0, 
135,734,1,0,1,1,0,1,1,1,1,0, 
136,736,1,0,1,1,1,0,0,0,0,0, 
137,736,1,0,1,1,1,0,0,0,0,0, 
138,738,1,0,1,1,1,0,0,0,1,0, 
139,740,1,0,1,1,1,0,0,1,0,0, 
140,742,1,0,1,1,1,0,0,1,1,0, 
141,744,1,0,1,1,1,0,1,0,0,0, 
142,744,1,0,1,1,1,0,1,0,0,0, 
143,746,1,0,1,1,1,0,1,0,1,0, 
144,748,1,0,1,1,1,0,1,1,0,0, 
145,750,1,0,1,1,1,0,1,1,1,0, 
146,752,1,0,1,1,1,1,0,0,0,0, 
147,754,1,0,1,1,1,1,0,0,1,0, 
148,754,1,0,1,1,1,1,0,0,1,0, 
149,756,1,0,1,1,1,1,0,1,0,0, 
150,758,1,0,1,1,1,1,0,1,1,0, 
151,760,1,0,1,1,1,1,1,0,0,0, 
152,762,1,0,1,1,1,1,1,0,1,0, 
153,762,1,0,1,1,1,1,1,0,1,0, 
154,764,1,0,1,1,1,1,1,1,0,0, 
155,766,1,0,1,1,1,1,1,1,1,0, 
156,768,1,1,0,0,0,0,0,0,0,0, 
157,770,1,1,0,0,0,0,0,0,1,0, 
158,772,1,1,0,0,0,0,0,1,0,0, 
159,772,1,1,0,0,0,0,0,1,0,0, 
160,774,1,1,0,0,0,0,0,1,1,0, 
161,776,1,1,0,0,0,0,1,0,0,0, 
162,778,1,1,0,0,0,0,1,0,1,0, 
163,780,1,1,0,0,0,0,1,1,0,0, 
164,780,1,1,0,0,0,0,1,1,0,0, 
165,782,1,1,0,0,0,0,1,1,1,0, 
166,784,1,1,0,0,0,1,0,0,0,0, 
167,786,1,1,0,0,0,1,0,0,1,0, 
168,788,1,1,0,0,0,1,0,1,0,0, 
169,790,1,1,0,0,0,1,0,1,1,0, 
170,790,1,1,0,0,0,1,0,1,1,0, 
171,792,1,1,0,0,0,1,1,0,0,0, 
172,794,1,1,0,0,0,1,1,0,1,0, 
173,796,1,1,0,0,0,1,1,1,0,0, 
174,798,1,1,0,0,0,1,1,1,1,0, 
175,798,1,1,0,0,0,1,1,1,1,0, 
176,800,1,1,0,0,1,0,0,0,0,0, 
177,802,1,1,0,0,1,0,0,0,1,0, 
178,804,1,1,0,0,1,0,0,1,0,0, 
179,806,1,1,0,0,1,0,0,1,1,0, 
180,808,1,1,0,0,1,0,1,0,0,0, 
181,808,1,1,0,0,1,0,1,0,0,0, 
182,810,1,1,0,0,1,0,1,0,1,0, 
183,812,1,1,0,0,1,0,1,1,0,0, 
184,814,1,1,0,0,1,0,1,1,1,0, 
185,816,1,1,0,0,1,1,0,0,0,0, 
186,816,1,1,0,0,1,1,0,0,0,0, 
187,818,1,1,0,0,1,1,0,0,1,0, 
188,820,1,1,0,0,1,1,0,1,0,0, 
189,822,1,1,0,0,1,1,0,1,1,0, 
190,824,1,1,0,0,1,1,1,0,0,0, 
191,826,1,1,0,0,1,1,1,0,1,0, 
192,826,1,1,0,0,1,1,1,0,1,0, 
193,828,1,1,0,0,1,1,1,1,0,0, 
194,830,1,1,0,0,1,1,1,1,1,0, 
195,832,1,1,0,1,0,0,0,0,0,0, 
196,834,1,1,0,1,0,0,0,0,1,0, 
197,834,1,1,0,1,0,0,0,0,1,0, 
198,836,1,1,0,1,0,0,0,1,0,0, 
199,838,1,1,0,1,0,0,0,1,1,0, 
200,840,1,1,0,1,0,0,1,0,0,0, 
201,842,1,1,0,1,0,0,1,0,1,0, 
202,844,1,1,0,1,0,0,1,1,0,0, 
203,844,1,1,0,1,0,0,1,1,0,0, 
204,846,1,1,0,1,0,0,1,1,1,0, 
205,848,1,1,0,1,0,1,0,0,0,0, 
206,850,1,1,0,1,0,1,0,0,1,0, 
207,852,1,1,0,1,0,1,0,1,0,0, 
208,852,1,1,0,1,0,1,0,1,0,0, 
209,854,1,1,0,1,0,1,0,1,1,0, 
210,856,1,1,0,1,0,1,1,0,0,0, 
211,858,1,1,0,1,0,1,1,0,1,0, 
212,860,1,1,0,1,0,1,1,1,0,0, 
213,862,1,1,0,1,0,1,1,1,1,0, 
214,862,1,1,0,1,0,1,1,1,1,0, 
215,864,1,1,0,1,1,0,0,0,0,0, 
216,866,1,1,0,1,1,0,0,0,1,0, 
217,868,1,1,0,1,1,0,0,1,0,0, 
218,870,1,1,0,1,1,0,0,1,1,0, 
219,870,1,1,0,1,1,0,0,1,1,0, 
220,872,1,1,0,1,1,0,1,0,0,0, 
221,874,1,1,0,1,1,0,1,0,1,0, 
222,876,1,1,0,1,1,0,1,1,0,0, 
223,878,1,1,0,1,1,0,1,1,1,0, 
224,880,1,1,0,1,1,1,0,0,0,0, 
225,880,1,1,0,1,1,1,0,0,0,0, 
226,882,1,1,0,1,1,1,0,0,1,0, 
227,884,1,1,0,1,1,1,0,1,0,0, 
228,886,1,1,0,1,1,1,0,1,1,0, 
229,888,1,1,0,1,1,1,1,0,0,0, 
230,890,1,1,0,1,1,1,1,0,1,0, 
231,890,1,1,0,1,1,1,1,0,1,0, 
232,892,1,1,0,1,1,1,1,1,0,0, 
233,894,1,1,0,1,1,1,1,1,1,0, 
234,896,1,1,1,0,0,0,0,0,0,0, 
235,898,1,1,1,0,0,0,0,0,1,0, 
236,898,1,1,1,0,0,0,0,0,1,0, 
237,900,1,1,1,0,0,0,0,1,0,0, 
238,902,1,1,1,0,0,0,0,1,1,0, 
239,904,1,1,1,0,0,0,1,0,0,0, 
240,906,1,1,1,0,0,0,1,0,1,0, 
241,908,1,1,1,0,0,0,1,1,0,0, 
242,908,1,1,1,0,0,0,1,1,0,0, 
243,910,1,1,1,0,0,0,1,1,1,0, 
244,912,1,1,1,0,0,1,0,0,0,0, 
245,914,1,1,1,0,0,1,0,0,1,0, 
246,916,1,1,1,0,0,1,0,1,0,0, 
247,916,1,1,1,0,0,1,0,1,0,0, 
248,918,1,1,1,0,0,1,0,1,1,0, 
249,920,1,1,1,0,0,1,1,0,0,0, 
250,922,1,1,1,0,0,1,1,0,1,0, 
251,924,1,1,1,0,0,1,1,1,0,0, 
252,926,1,1,1,0,0,1,1,1,1,0, 
253,926,1,1,1,0,0,1,1,1,1,0, 
254,928,1,1,1,0,1,0,0,0,0,0, 
255,930,1,1,1,0,1,0,0,0,1,0, 
256,932,1,1,1,0,1,0,0,1,0,0, 
257,934,1,1,1,0,1,0,0,1,1,0, 
258,934,1,1,1,0,1,0,0,1,1,0, 
259,936,1,1,1,0,1,0,1,0,0,0, 
260,938,1,1,1,0,1,0,1,0,1,0, 
261,940,1,1,1,0,1,0,1,1,0,0, 
262,942,1,1,1,0,1,0,1,1,1,0, 
263,944,1,1,1,0,1,1,0,0,0,0, 
264,944,1,1,1,0,1,1,0,0,0,0, 
265,946,1,1,1,0,1,1,0,0,1,0, 
266,948,1,1,1,0,1,1,0,1,0,0, 
267,950,1,1,1,0,1,1,0,1,1,0, 
268,952,1,1,1,0,1,1,1,0,0,0, 
269,952,1,1,1,0,1,1,1,0,0,0, 
270,954,1,1,1,0,1,1,1,0,1,0, 
271,956,1,1,1,0,1,1,1,1,0,0, 
272,958,1,1,1,0,1,1,1,1,1,0, 
273,960,1,1,1,1,0,0,0,0,0,0, 
274,962,1,1,1,1,0,0,0,0,1,0, 
275,962,1,1,1,1,0,0,0,0,1,0, 
276,964,1,1,1,1,0,0,0,1,0,0, 
277,966,1,1,1,1,0,0,0,1,1,0, 
278,968,1,1,1,1,0,0,1,0,0,0, 
279,970,1,1,1,1,0,0,1,0,1,0, 
280,970,1,1,1,1,0,0,1,0,1,0, 
281,972,1,1,1,1,0,0,1,1,0,0, 
282,974,1,1,1,1,0,0,1,1,1,0, 
283,976,1,1,1,1,0,1,0,0,0,0, 
284,978,1,1,1,1,0,1,0,0,1,0, 
285,980,1,1,1,1,0,1,0,1,0,0, 
286,980,1,1,1,1,0,1,0,1,0,0, 
287,982,1,1,1,1,0,1,0,1,1,0, 
288,984,1,1,1,1,0,1,1,0,0,0, 
289,986,1,1,1,1,0,1,1,0,1,0, 
290,988,1,1,1,1,0,1,1,1,0,0, 
291,988,1,1,1,1,0,1,1,1,0,0, 
292,990,1,1,1,1,0,1,1,1,1,0, 
293,992,1,1,1,1,1,0,0,0,0,0, 
294,994,1,1,1,1,1,0,0,0,1,0, 
295,996,1,1,1,1,1,0,0,1,0,0, 
296,998,1,1,1,1,1,0,0,1,1,0, 
297,998,1,1,1,1,1,0,0,1,1,0, 
298,1000,1,1,1,1,1,0,1,0,0,0, 
299,1002,1,1,1,1,1,0,1,0,1,0, 
300,1004,1,1,1,1,1,0,1,1,0,0, 
301,1006,1,1,1,1,1,0,1,1,1,0, 
302,1006,1,1,1,1,1,0,1,1,1,0, 
303,1008,1,1,1,1,1,1,0,0,0,0, 
304,1010,1,1,1,1,1,1,0,0,1,0, 
305,1012,1,1,1,1,1,1,0,1,0,0, 
306,1014,1,1,1,1,1,1,0,1,1,0, 
307,1016,1,1,1,1,1,1,1,0,0,0, 
308,1016,1,1,1,1,1,1,1,0,0,0, 
309,1018,1,1,1,1,1,1,1,0,1,0, 
310,1020,1,1,1,1,1,1,1,1,0,0, 
311,1022,1,1,1,1,1,1,1,1,1,0, 
312,0,0,0,0,0,0,0,0,0,0,0, 
313,0,0,0,0,0,0,0,0,0,0,0, 
314,0,0,0,0,0,0,0,0,0,0,0, 
315,1022,1,1,1,1,1,1,1,1,1,0, 
316,1020,1,1,1,1,1,1,1,1,0,0, 
317,1018,1,1,1,1,1,1,1,0,1,0, 
318,1016,1,1,1,1,1,1,1,0,0,0, 
319,1016,1,1,1,1,1,1,1,0,0,0, 
320,1014,1,1,1,1,1,1,0,1,1,0, 
321,1012,1,1,1,1,1,1,0,1,0,0, 
322,1010,1,1,1,1,1,1,0,0,1,0, 
323,1008,1,1,1,1,1,1,0,0,0,0, 
324,1006,1,1,1,1,1,0,1,1,1,0, 
325,1006,1,1,1,1,1,0,1,1,1,0, 
326,1004,1,1,1,1,1,0,1,1,0,0, 
327,1002,1,1,1,1,1,0,1,0,1,0, 
328,1000,1,1,1,1,1,0,1,0,0,0, 
329,998,1,1,1,1,1,0,0,1,1,0, 
330,998,1,1,1,1,1,0,0,1,1,0, 
331,996,1,1,1,1,1,0,0,1,0,0, 
332,994,1,1,1,1,1,0,0,0,1,0, 
333,992,1,1,1,1,1,0,0,0,0,0, 
334,990,1,1,1,1,0,1,1,1,1,0, 
335,988,1,1,1,1,0,1,1,1,0,0, 
336,988,1,1,1,1,0,1,1,1,0,0, 
