Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,28,0,0,0,0,0,1,1,1,0,0, 
2,26,0,0,0,0,0,1,1,0,1,0, 
3,25,0,0,0,0,0,1,1,0,0,1, 
4,23,0,0,0,0,0,1,0,1,1,1, 
5,22,0,0,0,0,0,1,0,1,1,0, 
6,21,0,0,0,0,0,1,0,1,0,1, 
7,19,0,0,0,0,0,1,0,0,1,1, 
8,18,0,0,0,0,0,1,0,0,1,0, 
9,17,0,0,0,0,0,1,0,0,0,1, 
10,16,0,0,0,0,0,1,0,0,0,0, 
11,14,0,0,0,0,0,0,1,1,1,0, 
12,14,0,0,0,0,0,0,1,1,1,0, 
13,12,0,0,0,0,0,0,1,1,0,0, 
14,12,0,0,0,0,0,0,1,1,0,0, 
15,10,0,0,0,0,0,0,1,0,1,0, 
16,10,0,0,0,0,0,0,1,0,1,0, 
17,9,0,0,0,0,0,0,1,0,0,1, 
18,8,0,0,0,0,0,0,1,0,0,0, 
19,7,0,0,0,0,0,0,0,1,1,1, 
20,6,0,0,0,0,0,0,0,1,1,0, 
21,6,0,0,0,0,0,0,0,1,1,0, 
22,5,0,0,0,0,0,0,0,1,0,1, 
23,5,0,0,0,0,0,0,0,1,0,1, 
24,4,0,0,0,0,0,0,0,1,0,0, 
25,4,0,0,0,0,0,0,0,1,0,0, 
26,3,0,0,0,0,0,0,0,0,1,1, 
27,3,0,0,0,0,0,0,0,0,1,1, 
28,2,0,0,0,0,0,0,0,0,1,0, 
29,2,0,0,0,0,0,0,0,0,1,0, 
30,2,0,0,0,0,0,0,0,0,1,0, 
31,2,0,0,0,0,0,0,0,0,1,0, 
32,1,0,0,0,0,0,0,0,0,0,1, 
33,1,0,0,0,0,0,0,0,0,0,1, 
34,1,0,0,0,0,0,0,0,0,0,1, 
35,1,0,0,0,0,0,0,0,0,0,1, 
36,1,0,0,0,0,0,0,0,0,0,1, 
37,1,0,0,0,0,0,0,0,0,0,1, 
38,1,0,0,0,0,0,0,0,0,0,1, 
39,1,0,0,0,0,0,0,0,0,0,1, 
40,1,0,0,0,0,0,0,0,0,0,1, 
41,2,0,0,0,0,0,0,0,0,1,0, 
42,2,0,0,0,0,0,0,0,0,1,0, 
43,2,0,0,0,0,0,0,0,0,1,0, 
44,3,0,0,0,0,0,0,0,0,1,1, 
45,3,0,0,0,0,0,0,0,0,1,1, 
46,3,0,0,0,0,0,0,0,0,1,1, 
47,4,0,0,0,0,0,0,0,1,0,0, 
48,5,0,0,0,0,0,0,0,1,0,1, 
49,5,0,0,0,0,0,0,0,1,0,1, 
50,6,0,0,0,0,0,0,0,1,1,0, 
51,6,0,0,0,0,0,0,0,1,1,0, 
52,7,0,0,0,0,0,0,0,1,1,1, 
53,8,0,0,0,0,0,0,1,0,0,0, 
54,9,0,0,0,0,0,0,1,0,0,1, 
55,9,0,0,0,0,0,0,1,0,0,1, 
56,11,0,0,0,0,0,0,1,0,1,1, 
57,11,0,0,0,0,0,0,1,0,1,1, 
58,12,0,0,0,0,0,0,1,1,0,0, 
59,13,0,0,0,0,0,0,1,1,0,1, 
60,15,0,0,0,0,0,0,1,1,1,1, 
61,16,0,0,0,0,0,1,0,0,0,0, 
62,17,0,0,0,0,0,1,0,0,0,1, 
63,18,0,0,0,0,0,1,0,0,1,0, 
64,19,0,0,0,0,0,1,0,0,1,1, 
65,21,0,0,0,0,0,1,0,1,0,1, 
66,22,0,0,0,0,0,1,0,1,1,0, 
67,24,0,0,0,0,0,1,1,0,0,0, 
68,24,0,0,0,0,0,1,1,0,0,0, 
69,26,0,0,0,0,0,1,1,0,1,0, 
70,27,0,0,0,0,0,1,1,0,1,1, 
71,29,0,0,0,0,0,1,1,1,0,1, 
72,30,0,0,0,0,0,1,1,1,1,0, 
73,33,0,0,0,0,1,0,0,0,0,1, 
74,34,0,0,0,0,1,0,0,0,1,0, 
75,36,0,0,0,0,1,0,0,1,0,0, 
76,38,0,0,0,0,1,0,0,1,1,0, 
77,39,0,0,0,0,1,0,0,1,1,1, 
78,42,0,0,0,0,1,0,1,0,1,0, 
79,43,0,0,0,0,1,0,1,0,1,1, 
80,46,0,0,0,0,1,0,1,1,1,0, 
81,47,0,0,0,0,1,0,1,1,1,1, 
82,49,0,0,0,0,1,1,0,0,0,1, 
83,51,0,0,0,0,1,1,0,0,1,1, 
84,54,0,0,0,0,1,1,0,1,1,0, 
85,55,0,0,0,0,1,1,0,1,1,1, 
86,58,0,0,0,0,1,1,1,0,1,0, 
87,59,0,0,0,0,1,1,1,0,1,1, 
88,62,0,0,0,0,1,1,1,1,1,0, 
89,65,0,0,0,1,0,0,0,0,0,1, 
90,67,0,0,0,1,0,0,0,0,1,1, 
91,70,0,0,0,1,0,0,0,1,1,0, 
92,71,0,0,0,1,0,0,0,1,1,1, 
93,75,0,0,0,1,0,0,1,0,1,1, 
94,76,0,0,0,1,0,0,1,1,0,0, 
95,80,0,0,0,1,0,1,0,0,0,0, 
96,81,0,0,0,1,0,1,0,0,0,1, 
97,85,0,0,0,1,0,1,0,1,0,1, 
98,86,0,0,0,1,0,1,0,1,1,0, 
99,90,0,0,0,1,0,1,1,0,1,0, 
100,92,0,0,0,1,0,1,1,1,0,0, 
101,95,0,0,0,1,0,1,1,1,1,1, 
102,97,0,0,0,1,1,0,0,0,0,1, 
103,101,0,0,0,1,1,0,0,1,0,1, 
104,104,0,0,0,1,1,0,1,0,0,0, 
105,106,0,0,0,1,1,0,1,0,1,0, 
106,110,0,0,0,1,1,0,1,1,1,0, 
107,112,0,0,0,1,1,1,0,0,0,0, 
108,116,0,0,0,1,1,1,0,1,0,0, 
109,118,0,0,0,1,1,1,0,1,1,0, 
110,122,0,0,0,1,1,1,1,0,1,0, 
111,124,0,0,0,1,1,1,1,1,0,0, 
112,128,0,0,1,0,0,0,0,0,0,0, 
113,130,0,0,1,0,0,0,0,0,1,0, 
114,135,0,0,1,0,0,0,0,1,1,1, 
115,137,0,0,1,0,0,0,1,0,0,1, 
116,141,0,0,1,0,0,0,1,1,0,1, 
117,145,0,0,1,0,0,1,0,0,0,1, 
118,147,0,0,1,0,0,1,0,0,1,1, 
119,152,0,0,1,0,0,1,1,0,0,0, 
120,154,0,0,1,0,0,1,1,0,1,0, 
121,159,0,0,1,0,0,1,1,1,1,1, 
122,161,0,0,1,0,1,0,0,0,0,1, 
123,165,0,0,1,0,1,0,0,1,0,1, 
124,168,0,0,1,0,1,0,1,0,0,0, 
125,172,0,0,1,0,1,0,1,1,0,0, 
126,175,0,0,1,0,1,0,1,1,1,1, 
127,180,0,0,1,0,1,1,0,1,0,0, 
128,182,0,0,1,0,1,1,0,1,1,0, 
129,187,0,0,1,0,1,1,1,0,1,1, 
130,192,0,0,1,1,0,0,0,0,0,0, 
131,194,0,0,1,1,0,0,0,0,1,0, 
132,199,0,0,1,1,0,0,0,1,1,1, 
133,201,0,0,1,1,0,0,1,0,0,1, 
134,206,0,0,1,1,0,0,1,1,1,0, 
135,209,0,0,1,1,0,1,0,0,0,1, 
136,214,0,0,1,1,0,1,0,1,1,0, 
137,217,0,0,1,1,0,1,1,0,0,1, 
138,222,0,0,1,1,0,1,1,1,1,0, 
139,224,0,0,1,1,1,0,0,0,0,0, 
140,229,0,0,1,1,1,0,0,1,0,1, 
141,232,0,0,1,1,1,0,1,0,0,0, 
142,237,0,0,1,1,1,0,1,1,0,1, 
143,240,0,0,1,1,1,1,0,0,0,0, 
144,245,0,0,1,1,1,1,0,1,0,1, 
145,251,0,0,1,1,1,1,1,0,1,1, 
146,253,0,0,1,1,1,1,1,1,0,1, 
147,259,0,1,0,0,0,0,0,0,1,1, 
148,262,0,1,0,0,0,0,0,1,1,0, 
149,267,0,1,0,0,0,0,1,0,1,1, 
150,270,0,1,0,0,0,0,1,1,1,0, 
151,275,0,1,0,0,0,1,0,0,1,1, 
152,278,0,1,0,0,0,1,0,1,1,0, 
153,284,0,1,0,0,0,1,1,1,0,0, 
154,287,0,1,0,0,0,1,1,1,1,1, 
155,292,0,1,0,0,1,0,0,1,0,0, 
156,295,0,1,0,0,1,0,0,1,1,1, 
157,301,0,1,0,0,1,0,1,1,0,1, 
158,306,0,1,0,0,1,1,0,0,1,0, 
159,309,0,1,0,0,1,1,0,1,0,1, 
160,315,0,1,0,0,1,1,1,0,1,1, 
161,318,0,1,0,0,1,1,1,1,1,0, 
162,324,0,1,0,1,0,0,0,1,0,0, 
163,327,0,1,0,1,0,0,0,1,1,1, 
164,333,0,1,0,1,0,0,1,1,0,1, 
165,335,0,1,0,1,0,0,1,1,1,1, 
166,341,0,1,0,1,0,1,0,1,0,1, 
167,344,0,1,0,1,0,1,1,0,0,0, 
168,350,0,1,0,1,0,1,1,1,1,0, 
169,353,0,1,0,1,1,0,0,0,0,1, 
170,359,0,1,0,1,1,0,0,1,1,1, 
171,362,0,1,0,1,1,0,1,0,1,0, 
172,368,0,1,0,1,1,1,0,0,0,0, 
173,374,0,1,0,1,1,1,0,1,1,0, 
174,377,0,1,0,1,1,1,1,0,0,1, 
175,383,0,1,0,1,1,1,1,1,1,1, 
176,386,0,1,1,0,0,0,0,0,1,0, 
177,392,0,1,1,0,0,0,1,0,0,0, 
178,395,0,1,1,0,0,0,1,0,1,1, 
179,402,0,1,1,0,0,1,0,0,1,0, 
180,405,0,1,1,0,0,1,0,1,0,1, 
181,411,0,1,1,0,0,1,1,0,1,1, 
182,414,0,1,1,0,0,1,1,1,1,0, 
183,420,0,1,1,0,1,0,0,1,0,0, 
184,423,0,1,1,0,1,0,0,1,1,1, 
185,429,0,1,1,0,1,0,1,1,0,1, 
186,435,0,1,1,0,1,1,0,0,1,1, 
187,439,0,1,1,0,1,1,0,1,1,1, 
188,445,0,1,1,0,1,1,1,1,0,1, 
189,448,0,1,1,1,0,0,0,0,0,0, 
190,454,0,1,1,1,0,0,0,1,1,0, 
191,457,0,1,1,1,0,0,1,0,0,1, 
192,463,0,1,1,1,0,0,1,1,1,1, 
193,467,0,1,1,1,0,1,0,0,1,1, 
194,473,0,1,1,1,0,1,1,0,0,1, 
195,476,0,1,1,1,0,1,1,1,0,0, 
196,482,0,1,1,1,1,0,0,0,1,0, 
197,485,0,1,1,1,1,0,0,1,0,1, 
198,492,0,1,1,1,1,0,1,1,0,0, 
199,495,0,1,1,1,1,0,1,1,1,1, 
200,501,0,1,1,1,1,1,0,1,0,1, 
201,507,0,1,1,1,1,1,1,0,1,1, 
202,512,1,0,0,0,0,0,0,0,0,0, 
203,518,1,0,0,0,0,0,0,1,1,0, 
204,521,1,0,0,0,0,0,1,0,0,1, 
205,528,1,0,0,0,0,1,0,0,0,0, 
206,531,1,0,0,0,0,1,0,0,1,1, 
207,537,1,0,0,0,0,1,1,0,0,1, 
208,540,1,0,0,0,0,1,1,1,0,0, 
209,546,1,0,0,0,1,0,0,0,1,0, 
210,550,1,0,0,0,1,0,0,1,1,0, 
211,556,1,0,0,0,1,0,1,1,0,0, 
212,559,1,0,0,0,1,0,1,1,1,1, 
213,565,1,0,0,0,1,1,0,1,0,1, 
214,571,1,0,0,0,1,1,1,0,1,1, 
215,575,1,0,0,0,1,1,1,1,1,1, 
216,581,1,0,0,1,0,0,0,1,0,1, 
217,584,1,0,0,1,0,0,1,0,0,0, 
218,590,1,0,0,1,0,0,1,1,1,0, 
219,593,1,0,0,1,0,1,0,0,0,1, 
220,599,1,0,0,1,0,1,0,1,1,1, 
221,602,1,0,0,1,0,1,1,0,1,0, 
222,609,1,0,0,1,1,0,0,0,0,1, 
223,612,1,0,0,1,1,0,0,1,0,0, 
224,618,1,0,0,1,1,0,1,0,1,0, 
225,621,1,0,0,1,1,0,1,1,0,1, 
226,627,1,0,0,1,1,1,0,0,1,1, 
227,630,1,0,0,1,1,1,0,1,1,0, 
228,636,1,0,0,1,1,1,1,1,0,0, 
229,642,1,0,1,0,0,0,0,0,1,0, 
230,645,1,0,1,0,0,0,0,1,0,1, 
231,651,1,0,1,0,0,0,1,0,1,1, 
232,654,1,0,1,0,0,0,1,1,1,0, 
233,660,1,0,1,0,0,1,0,1,0,0, 
234,663,1,0,1,0,0,1,0,1,1,1, 
235,669,1,0,1,0,0,1,1,1,0,1, 
236,672,1,0,1,0,1,0,0,0,0,0, 
237,678,1,0,1,0,1,0,0,1,1,0, 
238,681,1,0,1,0,1,0,1,0,0,1, 
239,687,1,0,1,0,1,0,1,1,1,1, 
240,690,1,0,1,0,1,1,0,0,1,0, 
241,696,1,0,1,0,1,1,1,0,0,0, 
242,702,1,0,1,0,1,1,1,1,1,0, 
243,705,1,0,1,1,0,0,0,0,0,1, 
244,710,1,0,1,1,0,0,0,1,1,0, 
245,713,1,0,1,1,0,0,1,0,0,1, 
246,719,1,0,1,1,0,0,1,1,1,1, 
247,722,1,0,1,1,0,1,0,0,1,0, 
248,728,1,0,1,1,0,1,1,0,0,0, 
249,730,1,0,1,1,0,1,1,0,1,0, 
250,736,1,0,1,1,1,0,0,0,0,0, 
251,739,1,0,1,1,1,0,0,0,1,1, 
252,744,1,0,1,1,1,0,1,0,0,0, 
253,747,1,0,1,1,1,0,1,0,1,1, 
254,753,1,0,1,1,1,1,0,0,0,1, 
255,758,1,0,1,1,1,1,0,1,1,0, 
256,761,1,0,1,1,1,1,1,0,0,1, 
257,766,1,0,1,1,1,1,1,1,1,0, 
258,769,1,1,0,0,0,0,0,0,0,1, 
259,775,1,1,0,0,0,0,0,1,1,1, 
260,777,1,1,0,0,0,0,1,0,0,1, 
261,783,1,1,0,0,0,0,1,1,1,1, 
262,785,1,1,0,0,0,1,0,0,0,1, 
263,791,1,1,0,0,0,1,0,1,1,1, 
264,793,1,1,0,0,0,1,1,0,0,1, 
265,798,1,1,0,0,0,1,1,1,1,0, 
266,801,1,1,0,0,1,0,0,0,0,1, 
267,806,1,1,0,0,1,0,0,1,1,0, 
268,809,1,1,0,0,1,0,1,0,0,1, 
269,814,1,1,0,0,1,0,1,1,1,0, 
270,819,1,1,0,0,1,1,0,0,1,1, 
271,821,1,1,0,0,1,1,0,1,0,1, 
272,826,1,1,0,0,1,1,1,0,1,0, 
273,829,1,1,0,0,1,1,1,1,0,1, 
274,834,1,1,0,1,0,0,0,0,1,0, 
275,836,1,1,0,1,0,0,0,1,0,0, 
276,841,1,1,0,1,0,0,1,0,0,1, 
277,843,1,1,0,1,0,0,1,0,1,1, 
278,848,1,1,0,1,0,1,0,0,0,0, 
279,850,1,1,0,1,0,1,0,0,1,0, 
280,855,1,1,0,1,0,1,0,1,1,1, 
281,857,1,1,0,1,0,1,1,0,0,1, 
282,862,1,1,0,1,0,1,1,1,1,0, 
283,866,1,1,0,1,1,0,0,0,1,0, 
284,869,1,1,0,1,1,0,0,1,0,1, 
285,873,1,1,0,1,1,0,1,0,0,1, 
286,875,1,1,0,1,1,0,1,0,1,1, 
287,880,1,1,0,1,1,1,0,0,0,0, 
288,882,1,1,0,1,1,1,0,0,1,0, 
289,886,1,1,0,1,1,1,0,1,1,0, 
290,888,1,1,0,1,1,1,1,0,0,0, 
291,893,1,1,0,1,1,1,1,1,0,1, 
292,895,1,1,0,1,1,1,1,1,1,1, 
293,899,1,1,1,0,0,0,0,0,1,1, 
294,901,1,1,1,0,0,0,0,1,0,1, 
295,905,1,1,1,0,0,0,1,0,0,1, 
296,907,1,1,1,0,0,0,1,0,1,1, 
297,911,1,1,1,0,0,0,1,1,1,1, 
298,915,1,1,1,0,0,1,0,0,1,1, 
299,917,1,1,1,0,0,1,0,1,0,1, 
300,920,1,1,1,0,0,1,1,0,0,0, 
301,922,1,1,1,0,0,1,1,0,1,0, 
302,926,1,1,1,0,0,1,1,1,1,0, 
303,928,1,1,1,0,1,0,0,0,0,0, 
304,931,1,1,1,0,1,0,0,0,1,1, 
305,933,1,1,1,0,1,0,0,1,0,1, 
306,937,1,1,1,0,1,0,1,0,0,1, 
307,938,1,1,1,0,1,0,1,0,1,0, 
308,942,1,1,1,0,1,0,1,1,1,0, 
309,944,1,1,1,0,1,1,0,0,0,0, 
310,947,1,1,1,0,1,1,0,0,1,1, 
311,950,1,1,1,0,1,1,0,1,1,0, 
312,952,1,1,1,0,1,1,1,0,0,0, 
313,955,1,1,1,0,1,1,1,0,1,1, 
314,956,1,1,1,0,1,1,1,1,0,0, 
315,960,1,1,1,1,0,0,0,0,0,0, 
316,961,1,1,1,1,0,0,0,0,0,1, 
317,964,1,1,1,1,0,0,0,1,0,0, 
318,965,1,1,1,1,0,0,0,1,0,1, 
319,968,1,1,1,1,0,0,1,0,0,0, 
320,970,1,1,1,1,0,0,1,0,1,0, 
321,972,1,1,1,1,0,0,1,1,0,0, 
322,974,1,1,1,1,0,0,1,1,1,0, 
323,976,1,1,1,1,0,1,0,0,0,0, 
324,978,1,1,1,1,0,1,0,0,1,0, 
325,980,1,1,1,1,0,1,0,1,0,0, 
326,983,1,1,1,1,0,1,0,1,1,1, 
327,984,1,1,1,1,0,1,1,0,0,0, 
328,986,1,1,1,1,0,1,1,0,1,0, 
329,988,1,1,1,1,0,1,1,1,0,0, 
330,990,1,1,1,1,0,1,1,1,1,0, 
331,991,1,1,1,1,0,1,1,1,1,1, 
332,993,1,1,1,1,1,0,0,0,0,1, 
333,994,1,1,1,1,1,0,0,0,1,0, 
334,996,1,1,1,1,1,0,0,1,0,0, 
335,997,1,1,1,1,1,0,0,1,0,1, 
336,999,1,1,1,1,1,0,0,1,1,1, 
337,1000,1,1,1,1,1,0,1,0,0,0, 
