Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: s, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
2, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
3, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
4, 402, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
5, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
6, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
7, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
8, 399, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 
9, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
10, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
11, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
12, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
13, 396, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
14, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
15, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
16, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
17, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
18, 393, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
19, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
20, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
21, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
22, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
23, 390, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
24, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
25, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
26, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
27, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
28, 387, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
29, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
30, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
31, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
32, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
33, 384, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
34, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
35, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
36, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
37, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
38, 381, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
39, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
40, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
41, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
42, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
43, 378, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
44, 375, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 
45, 375, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 
46, 375, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 
47, 375, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 
48, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
49, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
50, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
51, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
52, 372, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
53, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
54, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
55, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
56, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
57, 369, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 
58, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
59, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
60, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
61, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
62, 366, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
63, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
64, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
65, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
66, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
67, 363, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 
68, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
69, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
70, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
71, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
72, 360, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
73, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
74, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
75, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
76, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
77, 357, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 
78, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
79, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
80, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
81, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
82, 354, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
83, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
84, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
85, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
86, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
87, 351, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 
88, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
89, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
90, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
91, 348, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
92, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
93, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
94, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
95, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
96, 345, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
97, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
98, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
99, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
100, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
101, 342, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
102, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
103, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
104, 339, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
