Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 76, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
2, 78, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
3, 78, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
4, 80, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
5, 80, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
6, 80, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
7, 81, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
8, 81, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
9, 83, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
10, 83, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
11, 83, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
12, 85, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 
13, 85, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 
14, 86, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
15, 86, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
16, 88, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
17, 88, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
18, 88, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
19, 90, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
20, 90, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
21, 92, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
22, 92, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
23, 92, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
24, 93, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
25, 93, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
26, 95, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
27, 95, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
28, 95, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
29, 97, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
30, 97, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
31, 99, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
32, 99, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
33, 101, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
34, 101, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
35, 101, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
36, 103, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
37, 103, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
38, 104, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
39, 104, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
40, 104, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
41, 106, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
42, 106, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
43, 108, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
44, 108, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
45, 108, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
46, 110, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
47, 110, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
48, 112, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
49, 112, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
50, 112, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
51, 114, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
52, 114, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
53, 116, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
54, 116, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
55, 118, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
56, 118, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
57, 118, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
58, 120, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
59, 120, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
60, 122, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
61, 122, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
62, 122, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
63, 124, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
64, 124, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
65, 126, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
66, 126, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
67, 126, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
68, 128, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
69, 128, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
70, 130, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
71, 130, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
72, 130, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
73, 132, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
74, 132, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
75, 135, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
76, 135, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
77, 137, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 
78, 137, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 
79, 137, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 
80, 139, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 
81, 139, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 
82, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
83, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
84, 141, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
85, 143, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
