Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  hex

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, XXX, X, X, X, X, X, X, X, X, X, X, 
1, 0CB, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 
2, 0C6, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
3, 0C4, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
4, 0BF, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 
5, 0BD, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
6, 0B8, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
7, 0B5, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
8, 0B1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
9, 0AE, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
10, 0AA, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
11, 0A7, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
12, 0A3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
13, 09E, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
14, 09C, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
15, 097, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
16, 095, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
17, 091, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
18, 08F, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
19, 08A, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
20, 088, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
21, 084, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
22, 082, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
23, 07E, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
24, 07C, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
25, 078, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
26, 074, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
27, 072, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
28, 06E, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
29, 06C, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
30, 068, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
31, 066, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
32, 062, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
33, 061, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
34, 05D, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
35, 05B, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 
36, 058, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
37, 056, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
38, 053, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
39, 051, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
40, 04E, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
41, 04A, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
42, 049, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
43, 045, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 
44, 044, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
45, 041, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
46, 03F, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
47, 03C, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
48, 03B, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
49, 038, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
50, 037, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
51, 034, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
52, 033, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 
53, 030, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
54, 02D, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 
55, 02C, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
56, 02A, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
57, 028, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
58, 026, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
59, 025, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
60, 023, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 
61, 021, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
62, 01F, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
63, 01E, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
64, 01C, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
65, 01B, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
66, 019, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
67, 018, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
68, 016, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
69, 015, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
70, 014, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
71, 012, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
72, 011, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
73, 010, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
74, 00F, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
75, 00E, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
76, 00D, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
77, 00C, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
78, 00B, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 
79, 00A, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
80, 009, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
81, 008, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
82, 007, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
83, 007, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
84, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
85, 005, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
86, 005, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
87, 004, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
88, 004, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
89, 003, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
90, 003, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
91, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
92, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
93, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
94, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
95, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
96, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
97, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
98, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
99, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
100, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
101, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
102, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
103, 001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
104, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
105, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
106, 002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
107, 003, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
108, 003, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
109, 003, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 
110, 004, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
111, 004, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
112, 005, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
113, 005, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
114, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
115, 007, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
116, 008, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
117, 008, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
118, 009, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
119, 00A, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
120, 00B, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 
121, 00C, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
122, 00D, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
123, 00E, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
124, 00F, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
125, 011, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 
126, 012, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
127, 013, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
128, 014, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
129, 016, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
130, 017, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 
131, 018, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
132, 019, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
133, 01B, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
134, 01C, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
135, 01E, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
136, 01F, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
137, 022, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
138, 024, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
139, 025, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
140, 027, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
141, 029, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
142, 02B, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 
143, 02C, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
144, 02F, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
145, 030, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
146, 033, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 
147, 034, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
148, 037, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
149, 038, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
150, 03B, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
151, 03E, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
152, 040, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
153, 043, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 
154, 044, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
155, 047, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
156, 049, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
157, 04C, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
158, 04E, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
159, 051, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
160, 053, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
161, 056, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
162, 058, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
163, 05C, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
164, 05D, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 
165, 061, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 
166, 065, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
167, 067, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
168, 06A, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
169, 06C, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
170, 070, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
171, 072, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
172, 076, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
173, 078, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
174, 07C, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
175, 07E, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
176, 082, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
177, 084, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
178, 089, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 
179, 08D, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
180, 08F, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 
181, 093, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
182, 096, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
183, 09A, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
184, 09C, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
185, 0A1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 
186, 0A3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
187, 0A8, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
188, 0AA, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
189, 0AF, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
190, 0B1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
191, 0B6, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
192, 0B8, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
193, 0BD, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
194, 0C2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
195, 0C4, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
196, 0C9, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
197, 0CC, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
198, 0D1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
199, 0D3, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 
200, 0D9, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 
201, 0DB, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 
202, 0E0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
203, 0E3, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
204, 0E8, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
205, 0EB, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
206, 0F0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
207, 0F5, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 
208, 0F8, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
