Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fout1[27..18] =, fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group =, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27,  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri[9..0] =, tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0],  unsigned decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], fout1[27..18], fout1[27], fout1[26], fout1[25], fout1[24], fout1[23], fout1[22], fout1[21], fout1[20], fout1[19], fout1[18], Group, fout20, fout21, fout22, fout23, fout24, fout25, fout26, fout27, tri[9..0], tri[9], tri[8], tri[7], tri[6], tri[5], tri[4], tri[3], tri[2], tri[1], tri[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1,559,1,0,0,0,1,0,1,1,1,1,499,0,1,1,1,1,1,0,0,1,1,176,1,0,1,1,0,0,0,0,540,1,0,0,0,0,1,1,1,0,0, 
2,556,1,0,0,0,1,0,1,1,0,0,500,0,1,1,1,1,1,0,1,0,0,48,0,0,1,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
3,553,1,0,0,0,1,0,1,0,0,1,501,0,1,1,1,1,1,0,1,0,1,208,1,1,0,1,0,0,0,0,538,1,0,0,0,0,1,1,0,1,0, 
4,553,1,0,0,0,1,0,1,0,0,1,502,0,1,1,1,1,1,0,1,1,0,80,0,1,0,1,0,0,0,0,536,1,0,0,0,0,1,1,0,0,0, 
5,550,1,0,0,0,1,0,0,1,1,0,503,0,1,1,1,1,1,0,1,1,1,144,1,0,0,1,0,0,0,0,534,1,0,0,0,0,1,0,1,1,0, 
6,546,1,0,0,0,1,0,0,0,1,0,503,0,1,1,1,1,1,0,1,1,1,16,0,0,0,1,0,0,0,0,532,1,0,0,0,0,1,0,1,0,0, 
7,543,1,0,0,0,0,1,1,1,1,1,504,0,1,1,1,1,1,1,0,0,0,16,0,0,0,1,0,0,0,0,530,1,0,0,0,0,1,0,0,1,0, 
8,540,1,0,0,0,0,1,1,1,0,0,505,0,1,1,1,1,1,1,0,0,1,224,1,1,1,0,0,0,0,0,528,1,0,0,0,0,1,0,0,0,0, 
9,537,1,0,0,0,0,1,1,0,0,1,506,0,1,1,1,1,1,1,0,1,0,96,0,1,1,0,0,0,0,0,528,1,0,0,0,0,1,0,0,0,0, 
10,537,1,0,0,0,0,1,1,0,0,1,507,0,1,1,1,1,1,1,0,1,1,160,1,0,1,0,0,0,0,0,526,1,0,0,0,0,0,1,1,1,0, 
11,534,1,0,0,0,0,1,0,1,1,0,507,0,1,1,1,1,1,1,0,1,1,32,0,0,1,0,0,0,0,0,524,1,0,0,0,0,0,1,1,0,0, 
12,531,1,0,0,0,0,1,0,0,1,1,508,0,1,1,1,1,1,1,1,0,0,32,0,0,1,0,0,0,0,0,522,1,0,0,0,0,0,1,0,1,0, 
13,528,1,0,0,0,0,1,0,0,0,0,509,0,1,1,1,1,1,1,1,0,1,192,1,1,0,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
14,525,1,0,0,0,0,0,1,1,0,1,510,0,1,1,1,1,1,1,1,1,0,64,0,1,0,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
15,525,1,0,0,0,0,0,1,1,0,1,511,0,1,1,1,1,1,1,1,1,1,128,1,0,0,0,0,0,0,0,518,1,0,0,0,0,0,0,1,1,0, 
16,521,1,0,0,0,0,0,1,0,0,1,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1,0,0,0,0,0,0,1,0,0, 
17,505,0,1,1,1,1,1,1,0,0,1,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,1,0,0,0,0,0,0,0,1,0, 
18,508,0,1,1,1,1,1,1,1,0,0,513,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
19,511,0,1,1,1,1,1,1,1,1,1,514,1,0,0,0,0,0,0,0,1,0,128,1,0,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
20,511,0,1,1,1,1,1,1,1,1,1,515,1,0,0,0,0,0,0,0,1,1,64,0,1,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0, 
21,511,0,1,1,1,1,1,1,1,1,1,516,1,0,0,0,0,0,0,1,0,0,192,1,1,0,0,0,0,0,0,514,1,0,0,0,0,0,0,0,1,0, 
22,508,0,1,1,1,1,1,1,1,0,0,516,1,0,0,0,0,0,0,1,0,0,32,0,0,1,0,0,0,0,0,516,1,0,0,0,0,0,0,1,0,0, 
23,505,0,1,1,1,1,1,1,0,0,1,517,1,0,0,0,0,0,0,1,0,1,32,0,0,1,0,0,0,0,0,518,1,0,0,0,0,0,0,1,1,0, 
24,502,0,1,1,1,1,1,0,1,1,0,518,1,0,0,0,0,0,0,1,1,0,160,1,0,1,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
25,498,0,1,1,1,1,1,0,0,1,0,519,1,0,0,0,0,0,0,1,1,1,96,0,1,1,0,0,0,0,0,520,1,0,0,0,0,0,1,0,0,0, 
26,498,0,1,1,1,1,1,0,0,1,0,520,1,0,0,0,0,0,1,0,0,0,224,1,1,1,0,0,0,0,0,522,1,0,0,0,0,0,1,0,1,0, 
