Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,904,1,1,1,0,0,0,1,0,0,0, 
2,904,1,1,1,0,0,0,1,0,0,0, 
3,904,1,1,1,0,0,0,1,0,0,0, 
4,904,1,1,1,0,0,0,1,0,0,0, 
5,905,1,1,1,0,0,0,1,0,0,1, 
6,905,1,1,1,0,0,0,1,0,0,1, 
7,905,1,1,1,0,0,0,1,0,0,1, 
8,905,1,1,1,0,0,0,1,0,0,1, 
9,905,1,1,1,0,0,0,1,0,0,1, 
10,906,1,1,1,0,0,0,1,0,1,0, 
11,906,1,1,1,0,0,0,1,0,1,0, 
12,906,1,1,1,0,0,0,1,0,1,0, 
13,906,1,1,1,0,0,0,1,0,1,0, 
14,906,1,1,1,0,0,0,1,0,1,0, 
15,907,1,1,1,0,0,0,1,0,1,1, 
16,907,1,1,1,0,0,0,1,0,1,1, 
17,907,1,1,1,0,0,0,1,0,1,1, 
18,907,1,1,1,0,0,0,1,0,1,1, 
19,907,1,1,1,0,0,0,1,0,1,1, 
20,908,1,1,1,0,0,0,1,1,0,0, 
21,908,1,1,1,0,0,0,1,1,0,0, 
22,908,1,1,1,0,0,0,1,1,0,0, 
23,908,1,1,1,0,0,0,1,1,0,0, 
24,909,1,1,1,0,0,0,1,1,0,1, 
25,909,1,1,1,0,0,0,1,1,0,1, 
26,909,1,1,1,0,0,0,1,1,0,1, 
27,909,1,1,1,0,0,0,1,1,0,1, 
28,909,1,1,1,0,0,0,1,1,0,1, 
29,910,1,1,1,0,0,0,1,1,1,0, 
30,910,1,1,1,0,0,0,1,1,1,0, 
31,910,1,1,1,0,0,0,1,1,1,0, 
32,910,1,1,1,0,0,0,1,1,1,0, 
33,910,1,1,1,0,0,0,1,1,1,0, 
34,911,1,1,1,0,0,0,1,1,1,1, 
35,911,1,1,1,0,0,0,1,1,1,1, 
36,911,1,1,1,0,0,0,1,1,1,1, 
37,911,1,1,1,0,0,0,1,1,1,1, 
38,911,1,1,1,0,0,0,1,1,1,1, 
39,912,1,1,1,0,0,1,0,0,0,0, 
40,912,1,1,1,0,0,1,0,0,0,0, 
41,912,1,1,1,0,0,1,0,0,0,0, 
42,912,1,1,1,0,0,1,0,0,0,0, 
43,912,1,1,1,0,0,1,0,0,0,0, 
44,913,1,1,1,0,0,1,0,0,0,1, 
45,913,1,1,1,0,0,1,0,0,0,1, 
46,913,1,1,1,0,0,1,0,0,0,1, 
47,913,1,1,1,0,0,1,0,0,0,1, 
48,913,1,1,1,0,0,1,0,0,0,1, 
49,914,1,1,1,0,0,1,0,0,1,0, 
50,914,1,1,1,0,0,1,0,0,1,0, 
51,914,1,1,1,0,0,1,0,0,1,0, 
52,914,1,1,1,0,0,1,0,0,1,0, 
53,914,1,1,1,0,0,1,0,0,1,0, 
54,915,1,1,1,0,0,1,0,0,1,1, 
55,915,1,1,1,0,0,1,0,0,1,1, 
56,915,1,1,1,0,0,1,0,0,1,1, 
57,915,1,1,1,0,0,1,0,0,1,1, 
58,915,1,1,1,0,0,1,0,0,1,1, 
59,916,1,1,1,0,0,1,0,1,0,0, 
60,916,1,1,1,0,0,1,0,1,0,0, 
61,916,1,1,1,0,0,1,0,1,0,0, 
62,916,1,1,1,0,0,1,0,1,0,0, 
63,917,1,1,1,0,0,1,0,1,0,1, 
64,917,1,1,1,0,0,1,0,1,0,1, 
65,917,1,1,1,0,0,1,0,1,0,1, 
66,917,1,1,1,0,0,1,0,1,0,1, 
67,917,1,1,1,0,0,1,0,1,0,1, 
68,918,1,1,1,0,0,1,0,1,1,0, 
69,918,1,1,1,0,0,1,0,1,1,0, 
70,918,1,1,1,0,0,1,0,1,1,0, 
71,918,1,1,1,0,0,1,0,1,1,0, 
72,918,1,1,1,0,0,1,0,1,1,0, 
73,919,1,1,1,0,0,1,0,1,1,1, 
74,919,1,1,1,0,0,1,0,1,1,1, 
75,919,1,1,1,0,0,1,0,1,1,1, 
76,919,1,1,1,0,0,1,0,1,1,1, 
77,919,1,1,1,0,0,1,0,1,1,1, 
78,920,1,1,1,0,0,1,1,0,0,0, 
79,920,1,1,1,0,0,1,1,0,0,0, 
80,920,1,1,1,0,0,1,1,0,0,0, 
81,920,1,1,1,0,0,1,1,0,0,0, 
82,920,1,1,1,0,0,1,1,0,0,0, 
83,921,1,1,1,0,0,1,1,0,0,1, 
84,921,1,1,1,0,0,1,1,0,0,1, 
85,921,1,1,1,0,0,1,1,0,0,1, 
86,921,1,1,1,0,0,1,1,0,0,1, 
87,921,1,1,1,0,0,1,1,0,0,1, 
88,922,1,1,1,0,0,1,1,0,1,0, 
89,922,1,1,1,0,0,1,1,0,1,0, 
90,922,1,1,1,0,0,1,1,0,1,0, 
91,922,1,1,1,0,0,1,1,0,1,0, 
92,922,1,1,1,0,0,1,1,0,1,0, 
93,923,1,1,1,0,0,1,1,0,1,1, 
94,923,1,1,1,0,0,1,1,0,1,1, 
95,923,1,1,1,0,0,1,1,0,1,1, 
96,923,1,1,1,0,0,1,1,0,1,1, 
97,923,1,1,1,0,0,1,1,0,1,1, 
98,924,1,1,1,0,0,1,1,1,0,0, 
99,924,1,1,1,0,0,1,1,1,0,0, 
100,924,1,1,1,0,0,1,1,1,0,0, 
101,924,1,1,1,0,0,1,1,1,0,0, 
102,924,1,1,1,0,0,1,1,1,0,0, 
103,925,1,1,1,0,0,1,1,1,0,1, 
104,925,1,1,1,0,0,1,1,1,0,1, 
105,925,1,1,1,0,0,1,1,1,0,1, 
106,925,1,1,1,0,0,1,1,1,0,1, 
107,926,1,1,1,0,0,1,1,1,1,0, 
108,926,1,1,1,0,0,1,1,1,1,0, 
109,926,1,1,1,0,0,1,1,1,1,0, 
110,926,1,1,1,0,0,1,1,1,1,0, 
111,926,1,1,1,0,0,1,1,1,1,0, 
112,927,1,1,1,0,0,1,1,1,1,1, 
113,927,1,1,1,0,0,1,1,1,1,1, 
114,927,1,1,1,0,0,1,1,1,1,1, 
115,927,1,1,1,0,0,1,1,1,1,1, 
116,927,1,1,1,0,0,1,1,1,1,1, 
117,928,1,1,1,0,1,0,0,0,0,0, 
118,928,1,1,1,0,1,0,0,0,0,0, 
119,928,1,1,1,0,1,0,0,0,0,0, 
120,928,1,1,1,0,1,0,0,0,0,0, 
121,928,1,1,1,0,1,0,0,0,0,0, 
122,929,1,1,1,0,1,0,0,0,0,1, 
123,929,1,1,1,0,1,0,0,0,0,1, 
124,929,1,1,1,0,1,0,0,0,0,1, 
125,929,1,1,1,0,1,0,0,0,0,1, 
126,929,1,1,1,0,1,0,0,0,0,1, 
127,930,1,1,1,0,1,0,0,0,1,0, 
128,930,1,1,1,0,1,0,0,0,1,0, 
129,930,1,1,1,0,1,0,0,0,1,0, 
130,930,1,1,1,0,1,0,0,0,1,0, 
131,930,1,1,1,0,1,0,0,0,1,0, 
132,931,1,1,1,0,1,0,0,0,1,1, 
133,931,1,1,1,0,1,0,0,0,1,1, 
134,931,1,1,1,0,1,0,0,0,1,1, 
135,931,1,1,1,0,1,0,0,0,1,1, 
136,931,1,1,1,0,1,0,0,0,1,1, 
137,932,1,1,1,0,1,0,0,1,0,0, 
138,932,1,1,1,0,1,0,0,1,0,0, 
139,932,1,1,1,0,1,0,0,1,0,0, 
140,932,1,1,1,0,1,0,0,1,0,0, 
141,932,1,1,1,0,1,0,0,1,0,0, 
142,933,1,1,1,0,1,0,0,1,0,1, 
143,933,1,1,1,0,1,0,0,1,0,1, 
144,933,1,1,1,0,1,0,0,1,0,1, 
145,933,1,1,1,0,1,0,0,1,0,1, 
146,933,1,1,1,0,1,0,0,1,0,1, 
147,934,1,1,1,0,1,0,0,1,1,0, 
148,934,1,1,1,0,1,0,0,1,1,0, 
149,934,1,1,1,0,1,0,0,1,1,0, 
150,934,1,1,1,0,1,0,0,1,1,0, 
151,935,1,1,1,0,1,0,0,1,1,1, 
152,935,1,1,1,0,1,0,0,1,1,1, 
153,935,1,1,1,0,1,0,0,1,1,1, 
154,935,1,1,1,0,1,0,0,1,1,1, 
155,935,1,1,1,0,1,0,0,1,1,1, 
156,936,1,1,1,0,1,0,1,0,0,0, 
157,936,1,1,1,0,1,0,1,0,0,0, 
158,936,1,1,1,0,1,0,1,0,0,0, 
159,936,1,1,1,0,1,0,1,0,0,0, 
160,936,1,1,1,0,1,0,1,0,0,0, 
161,937,1,1,1,0,1,0,1,0,0,1, 
162,937,1,1,1,0,1,0,1,0,0,1, 
163,937,1,1,1,0,1,0,1,0,0,1, 
164,937,1,1,1,0,1,0,1,0,0,1, 
165,937,1,1,1,0,1,0,1,0,0,1, 
166,938,1,1,1,0,1,0,1,0,1,0, 
167,938,1,1,1,0,1,0,1,0,1,0, 
168,938,1,1,1,0,1,0,1,0,1,0, 
169,938,1,1,1,0,1,0,1,0,1,0, 
170,938,1,1,1,0,1,0,1,0,1,0, 
171,939,1,1,1,0,1,0,1,0,1,1, 
172,939,1,1,1,0,1,0,1,0,1,1, 
173,939,1,1,1,0,1,0,1,0,1,1, 
174,939,1,1,1,0,1,0,1,0,1,1, 
175,939,1,1,1,0,1,0,1,0,1,1, 
176,940,1,1,1,0,1,0,1,1,0,0, 
177,940,1,1,1,0,1,0,1,1,0,0, 
178,940,1,1,1,0,1,0,1,1,0,0, 
179,940,1,1,1,0,1,0,1,1,0,0, 
180,940,1,1,1,0,1,0,1,1,0,0, 
181,941,1,1,1,0,1,0,1,1,0,1, 
182,941,1,1,1,0,1,0,1,1,0,1, 
183,941,1,1,1,0,1,0,1,1,0,1, 
184,941,1,1,1,0,1,0,1,1,0,1, 
185,941,1,1,1,0,1,0,1,1,0,1, 
186,942,1,1,1,0,1,0,1,1,1,0, 
187,942,1,1,1,0,1,0,1,1,1,0, 
188,942,1,1,1,0,1,0,1,1,1,0, 
189,942,1,1,1,0,1,0,1,1,1,0, 
190,943,1,1,1,0,1,0,1,1,1,1, 
191,943,1,1,1,0,1,0,1,1,1,1, 
192,943,1,1,1,0,1,0,1,1,1,1, 
193,943,1,1,1,0,1,0,1,1,1,1, 
194,943,1,1,1,0,1,0,1,1,1,1, 
195,944,1,1,1,0,1,1,0,0,0,0, 
196,944,1,1,1,0,1,1,0,0,0,0, 
197,944,1,1,1,0,1,1,0,0,0,0, 
198,944,1,1,1,0,1,1,0,0,0,0, 
199,944,1,1,1,0,1,1,0,0,0,0, 
200,945,1,1,1,0,1,1,0,0,0,1, 
201,945,1,1,1,0,1,1,0,0,0,1, 
202,945,1,1,1,0,1,1,0,0,0,1, 
203,945,1,1,1,0,1,1,0,0,0,1, 
204,945,1,1,1,0,1,1,0,0,0,1, 
205,946,1,1,1,0,1,1,0,0,1,0, 
206,946,1,1,1,0,1,1,0,0,1,0, 
207,946,1,1,1,0,1,1,0,0,1,0, 
208,946,1,1,1,0,1,1,0,0,1,0, 
209,946,1,1,1,0,1,1,0,0,1,0, 
210,947,1,1,1,0,1,1,0,0,1,1, 
211,947,1,1,1,0,1,1,0,0,1,1, 
212,947,1,1,1,0,1,1,0,0,1,1, 
213,947,1,1,1,0,1,1,0,0,1,1, 
214,947,1,1,1,0,1,1,0,0,1,1, 
215,948,1,1,1,0,1,1,0,1,0,0, 
216,948,1,1,1,0,1,1,0,1,0,0, 
217,948,1,1,1,0,1,1,0,1,0,0, 
218,948,1,1,1,0,1,1,0,1,0,0, 
219,948,1,1,1,0,1,1,0,1,0,0, 
220,949,1,1,1,0,1,1,0,1,0,1, 
221,949,1,1,1,0,1,1,0,1,0,1, 
222,949,1,1,1,0,1,1,0,1,0,1, 
223,949,1,1,1,0,1,1,0,1,0,1, 
224,949,1,1,1,0,1,1,0,1,0,1, 
225,950,1,1,1,0,1,1,0,1,1,0, 
226,950,1,1,1,0,1,1,0,1,1,0, 
227,950,1,1,1,0,1,1,0,1,1,0, 
228,950,1,1,1,0,1,1,0,1,1,0, 
229,950,1,1,1,0,1,1,0,1,1,0, 
230,951,1,1,1,0,1,1,0,1,1,1, 
231,951,1,1,1,0,1,1,0,1,1,1, 
232,951,1,1,1,0,1,1,0,1,1,1, 
233,951,1,1,1,0,1,1,0,1,1,1, 
234,952,1,1,1,0,1,1,1,0,0,0, 
235,952,1,1,1,0,1,1,1,0,0,0, 
236,952,1,1,1,0,1,1,1,0,0,0, 
237,952,1,1,1,0,1,1,1,0,0,0, 
238,952,1,1,1,0,1,1,1,0,0,0, 
239,953,1,1,1,0,1,1,1,0,0,1, 
240,953,1,1,1,0,1,1,1,0,0,1, 
241,953,1,1,1,0,1,1,1,0,0,1, 
242,953,1,1,1,0,1,1,1,0,0,1, 
243,953,1,1,1,0,1,1,1,0,0,1, 
244,954,1,1,1,0,1,1,1,0,1,0, 
245,954,1,1,1,0,1,1,1,0,1,0, 
246,954,1,1,1,0,1,1,1,0,1,0, 
247,954,1,1,1,0,1,1,1,0,1,0, 
248,954,1,1,1,0,1,1,1,0,1,0, 
249,955,1,1,1,0,1,1,1,0,1,1, 
250,955,1,1,1,0,1,1,1,0,1,1, 
251,955,1,1,1,0,1,1,1,0,1,1, 
252,955,1,1,1,0,1,1,1,0,1,1, 
253,955,1,1,1,0,1,1,1,0,1,1, 
254,956,1,1,1,0,1,1,1,1,0,0, 
255,956,1,1,1,0,1,1,1,1,0,0, 
256,956,1,1,1,0,1,1,1,1,0,0, 
257,956,1,1,1,0,1,1,1,1,0,0, 
258,956,1,1,1,0,1,1,1,1,0,0, 
259,957,1,1,1,0,1,1,1,1,0,1, 
260,957,1,1,1,0,1,1,1,1,0,1, 
261,957,1,1,1,0,1,1,1,1,0,1, 
262,957,1,1,1,0,1,1,1,1,0,1, 
263,957,1,1,1,0,1,1,1,1,0,1, 
264,958,1,1,1,0,1,1,1,1,1,0, 
265,958,1,1,1,0,1,1,1,1,1,0, 
266,958,1,1,1,0,1,1,1,1,1,0, 
267,958,1,1,1,0,1,1,1,1,1,0, 
268,958,1,1,1,0,1,1,1,1,1,0, 
269,959,1,1,1,0,1,1,1,1,1,1, 
270,959,1,1,1,0,1,1,1,1,1,1, 
271,959,1,1,1,0,1,1,1,1,1,1, 
272,959,1,1,1,0,1,1,1,1,1,1, 
273,960,1,1,1,1,0,0,0,0,0,0, 
274,960,1,1,1,1,0,0,0,0,0,0, 
275,960,1,1,1,1,0,0,0,0,0,0, 
276,960,1,1,1,1,0,0,0,0,0,0, 
277,960,1,1,1,1,0,0,0,0,0,0, 
278,961,1,1,1,1,0,0,0,0,0,1, 
279,961,1,1,1,1,0,0,0,0,0,1, 
280,961,1,1,1,1,0,0,0,0,0,1, 
281,961,1,1,1,1,0,0,0,0,0,1, 
282,961,1,1,1,1,0,0,0,0,0,1, 
283,962,1,1,1,1,0,0,0,0,1,0, 
284,962,1,1,1,1,0,0,0,0,1,0, 
285,962,1,1,1,1,0,0,0,0,1,0, 
286,962,1,1,1,1,0,0,0,0,1,0, 
287,962,1,1,1,1,0,0,0,0,1,0, 
288,963,1,1,1,1,0,0,0,0,1,1, 
289,963,1,1,1,1,0,0,0,0,1,1, 
290,963,1,1,1,1,0,0,0,0,1,1, 
291,963,1,1,1,1,0,0,0,0,1,1, 
292,963,1,1,1,1,0,0,0,0,1,1, 
293,964,1,1,1,1,0,0,0,1,0,0, 
294,964,1,1,1,1,0,0,0,1,0,0, 
295,964,1,1,1,1,0,0,0,1,0,0, 
296,964,1,1,1,1,0,0,0,1,0,0, 
297,964,1,1,1,1,0,0,0,1,0,0, 
298,965,1,1,1,1,0,0,0,1,0,1, 
299,965,1,1,1,1,0,0,0,1,0,1, 
300,965,1,1,1,1,0,0,0,1,0,1, 
301,965,1,1,1,1,0,0,0,1,0,1, 
302,965,1,1,1,1,0,0,0,1,0,1, 
303,966,1,1,1,1,0,0,0,1,1,0, 
304,966,1,1,1,1,0,0,0,1,1,0, 
305,966,1,1,1,1,0,0,0,1,1,0, 
306,966,1,1,1,1,0,0,0,1,1,0, 
307,966,1,1,1,1,0,0,0,1,1,0, 
308,967,1,1,1,1,0,0,0,1,1,1, 
309,967,1,1,1,1,0,0,0,1,1,1, 
310,967,1,1,1,1,0,0,0,1,1,1, 
311,967,1,1,1,1,0,0,0,1,1,1, 
312,967,1,1,1,1,0,0,0,1,1,1, 
313,968,1,1,1,1,0,0,1,0,0,0, 
314,968,1,1,1,1,0,0,1,0,0,0, 
315,968,1,1,1,1,0,0,1,0,0,0, 
316,968,1,1,1,1,0,0,1,0,0,0, 
317,969,1,1,1,1,0,0,1,0,0,1, 
318,969,1,1,1,1,0,0,1,0,0,1, 
319,969,1,1,1,1,0,0,1,0,0,1, 
320,969,1,1,1,1,0,0,1,0,0,1, 
321,969,1,1,1,1,0,0,1,0,0,1, 
322,970,1,1,1,1,0,0,1,0,1,0, 
323,970,1,1,1,1,0,0,1,0,1,0, 
324,970,1,1,1,1,0,0,1,0,1,0, 
325,970,1,1,1,1,0,0,1,0,1,0, 
326,970,1,1,1,1,0,0,1,0,1,0, 
327,971,1,1,1,1,0,0,1,0,1,1, 
328,971,1,1,1,1,0,0,1,0,1,1, 
329,971,1,1,1,1,0,0,1,0,1,1, 
330,971,1,1,1,1,0,0,1,0,1,1, 
331,971,1,1,1,1,0,0,1,0,1,1, 
332,972,1,1,1,1,0,0,1,1,0,0, 
333,972,1,1,1,1,0,0,1,1,0,0, 
334,972,1,1,1,1,0,0,1,1,0,0, 
335,972,1,1,1,1,0,0,1,1,0,0, 
336,972,1,1,1,1,0,0,1,1,0,0, 
337,973,1,1,1,1,0,0,1,1,0,1, 
