Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
2, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
3, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
4, 926, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
5, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
6, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
7, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
8, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
9, 924, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
10, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
11, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
12, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
13, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
14, 922, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
15, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
16, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
17, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
18, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
19, 920, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
20, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
21, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
22, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
23, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
24, 919, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
25, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
26, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
27, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
28, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
29, 917, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
30, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
31, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
32, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
33, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
34, 915, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 
35, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
36, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
37, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
38, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
39, 913, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
