Groups:,,,,,,,,,,,,
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal,
,,,,,,,,,,,,
Data:,,,,,,,,,,,,
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
1,760,1,0,1,1,1,1,1,0,0,0, 
2,760,1,0,1,1,1,1,1,0,0,0, 
3,762,1,0,1,1,1,1,1,0,1,0, 
4,762,1,0,1,1,1,1,1,0,1,0, 
5,764,1,0,1,1,1,1,1,1,0,0, 
6,764,1,0,1,1,1,1,1,1,0,0, 
7,766,1,0,1,1,1,1,1,1,1,0, 
8,766,1,0,1,1,1,1,1,1,1,0, 
9,766,1,0,1,1,1,1,1,1,1,0, 
10,768,1,1,0,0,0,0,0,0,0,0, 
11,768,1,1,0,0,0,0,0,0,0,0, 
12,770,1,1,0,0,0,0,0,0,1,0, 
13,770,1,1,0,0,0,0,0,0,1,0, 
14,770,1,1,0,0,0,0,0,0,1,0, 
15,772,1,1,0,0,0,0,0,1,0,0, 
16,772,1,1,0,0,0,0,0,1,0,0, 
17,774,1,1,0,0,0,0,0,1,1,0, 
18,774,1,1,0,0,0,0,0,1,1,0, 
19,774,1,1,0,0,0,0,0,1,1,0, 
20,776,1,1,0,0,0,0,1,0,0,0, 
21,776,1,1,0,0,0,0,1,0,0,0, 
22,778,1,1,0,0,0,0,1,0,1,0, 
23,778,1,1,0,0,0,0,1,0,1,0, 
24,778,1,1,0,0,0,0,1,0,1,0, 
25,780,1,1,0,0,0,0,1,1,0,0, 
26,780,1,1,0,0,0,0,1,1,0,0, 
27,782,1,1,0,0,0,0,1,1,1,0, 
28,782,1,1,0,0,0,0,1,1,1,0, 
29,784,1,1,0,0,0,1,0,0,0,0, 
30,784,1,1,0,0,0,1,0,0,0,0, 
31,784,1,1,0,0,0,1,0,0,0,0, 
32,786,1,1,0,0,0,1,0,0,1,0, 
33,786,1,1,0,0,0,1,0,0,1,0, 
34,788,1,1,0,0,0,1,0,1,0,0, 
35,788,1,1,0,0,0,1,0,1,0,0, 
36,788,1,1,0,0,0,1,0,1,0,0, 
37,790,1,1,0,0,0,1,0,1,1,0, 
38,790,1,1,0,0,0,1,0,1,1,0, 
39,792,1,1,0,0,0,1,1,0,0,0, 
40,792,1,1,0,0,0,1,1,0,0,0, 
41,792,1,1,0,0,0,1,1,0,0,0, 
42,794,1,1,0,0,0,1,1,0,1,0, 
43,794,1,1,0,0,0,1,1,0,1,0, 
44,796,1,1,0,0,0,1,1,1,0,0, 
45,796,1,1,0,0,0,1,1,1,0,0, 
46,796,1,1,0,0,0,1,1,1,0,0, 
47,798,1,1,0,0,0,1,1,1,1,0, 
48,798,1,1,0,0,0,1,1,1,1,0, 
49,800,1,1,0,0,1,0,0,0,0,0, 
50,800,1,1,0,0,1,0,0,0,0,0, 
51,802,1,1,0,0,1,0,0,0,1,0, 
52,802,1,1,0,0,1,0,0,0,1,0, 
53,802,1,1,0,0,1,0,0,0,1,0, 
54,804,1,1,0,0,1,0,0,1,0,0, 
55,804,1,1,0,0,1,0,0,1,0,0, 
56,806,1,1,0,0,1,0,0,1,1,0, 
57,806,1,1,0,0,1,0,0,1,1,0, 
58,806,1,1,0,0,1,0,0,1,1,0, 
59,808,1,1,0,0,1,0,1,0,0,0, 
60,808,1,1,0,0,1,0,1,0,0,0, 
61,810,1,1,0,0,1,0,1,0,1,0, 
62,810,1,1,0,0,1,0,1,0,1,0, 
63,810,1,1,0,0,1,0,1,0,1,0, 
64,812,1,1,0,0,1,0,1,1,0,0, 
65,812,1,1,0,0,1,0,1,1,0,0, 
66,814,1,1,0,0,1,0,1,1,1,0, 
67,814,1,1,0,0,1,0,1,1,1,0, 
68,814,1,1,0,0,1,0,1,1,1,0, 
69,816,1,1,0,0,1,1,0,0,0,0, 
70,816,1,1,0,0,1,1,0,0,0,0, 
71,818,1,1,0,0,1,1,0,0,1,0, 
72,818,1,1,0,0,1,1,0,0,1,0, 
73,820,1,1,0,0,1,1,0,1,0,0, 
74,820,1,1,0,0,1,1,0,1,0,0, 
75,820,1,1,0,0,1,1,0,1,0,0, 
76,822,1,1,0,0,1,1,0,1,1,0, 
77,822,1,1,0,0,1,1,0,1,1,0, 
78,824,1,1,0,0,1,1,1,0,0,0, 
79,824,1,1,0,0,1,1,1,0,0,0, 
80,824,1,1,0,0,1,1,1,0,0,0, 
81,826,1,1,0,0,1,1,1,0,1,0, 
82,826,1,1,0,0,1,1,1,0,1,0, 
83,828,1,1,0,0,1,1,1,1,0,0, 
84,828,1,1,0,0,1,1,1,1,0,0, 
85,828,1,1,0,0,1,1,1,1,0,0, 
86,830,1,1,0,0,1,1,1,1,1,0, 
87,830,1,1,0,0,1,1,1,1,1,0, 
88,832,1,1,0,1,0,0,0,0,0,0, 
89,832,1,1,0,1,0,0,0,0,0,0, 
90,834,1,1,0,1,0,0,0,0,1,0, 
91,834,1,1,0,1,0,0,0,0,1,0, 
92,834,1,1,0,1,0,0,0,0,1,0, 
93,836,1,1,0,1,0,0,0,1,0,0, 
94,836,1,1,0,1,0,0,0,1,0,0, 
95,838,1,1,0,1,0,0,0,1,1,0, 
96,838,1,1,0,1,0,0,0,1,1,0, 
97,838,1,1,0,1,0,0,0,1,1,0, 
98,840,1,1,0,1,0,0,1,0,0,0, 
99,840,1,1,0,1,0,0,1,0,0,0, 
100,842,1,1,0,1,0,0,1,0,1,0, 
101,842,1,1,0,1,0,0,1,0,1,0, 
102,842,1,1,0,1,0,0,1,0,1,0, 
103,844,1,1,0,1,0,0,1,1,0,0, 
104,844,1,1,0,1,0,0,1,1,0,0, 
105,846,1,1,0,1,0,0,1,1,1,0, 
106,846,1,1,0,1,0,0,1,1,1,0, 
107,846,1,1,0,1,0,0,1,1,1,0, 
108,848,1,1,0,1,0,1,0,0,0,0, 
109,848,1,1,0,1,0,1,0,0,0,0, 
110,850,1,1,0,1,0,1,0,0,1,0, 
111,850,1,1,0,1,0,1,0,0,1,0, 
112,852,1,1,0,1,0,1,0,1,0,0, 
113,852,1,1,0,1,0,1,0,1,0,0, 
114,852,1,1,0,1,0,1,0,1,0,0, 
115,854,1,1,0,1,0,1,0,1,1,0, 
116,854,1,1,0,1,0,1,0,1,1,0, 
117,856,1,1,0,1,0,1,1,0,0,0, 
118,856,1,1,0,1,0,1,1,0,0,0, 
119,856,1,1,0,1,0,1,1,0,0,0, 
120,858,1,1,0,1,0,1,1,0,1,0, 
121,858,1,1,0,1,0,1,1,0,1,0, 
122,860,1,1,0,1,0,1,1,1,0,0, 
123,860,1,1,0,1,0,1,1,1,0,0, 
124,860,1,1,0,1,0,1,1,1,0,0, 
125,862,1,1,0,1,0,1,1,1,1,0, 
126,862,1,1,0,1,0,1,1,1,1,0, 
127,864,1,1,0,1,1,0,0,0,0,0, 
128,864,1,1,0,1,1,0,0,0,0,0, 
129,864,1,1,0,1,1,0,0,0,0,0, 
130,866,1,1,0,1,1,0,0,0,1,0, 
131,866,1,1,0,1,1,0,0,0,1,0, 
132,868,1,1,0,1,1,0,0,1,0,0, 
133,868,1,1,0,1,1,0,0,1,0,0, 
134,870,1,1,0,1,1,0,0,1,1,0, 
135,870,1,1,0,1,1,0,0,1,1,0, 
136,870,1,1,0,1,1,0,0,1,1,0, 
137,872,1,1,0,1,1,0,1,0,0,0, 
138,872,1,1,0,1,1,0,1,0,0,0, 
139,874,1,1,0,1,1,0,1,0,1,0, 
140,874,1,1,0,1,1,0,1,0,1,0, 
141,874,1,1,0,1,1,0,1,0,1,0, 
142,876,1,1,0,1,1,0,1,1,0,0, 
143,876,1,1,0,1,1,0,1,1,0,0, 
144,878,1,1,0,1,1,0,1,1,1,0, 
145,878,1,1,0,1,1,0,1,1,1,0, 
146,878,1,1,0,1,1,0,1,1,1,0, 
147,880,1,1,0,1,1,1,0,0,0,0, 
148,880,1,1,0,1,1,1,0,0,0,0, 
149,882,1,1,0,1,1,1,0,0,1,0, 
150,882,1,1,0,1,1,1,0,0,1,0, 
151,882,1,1,0,1,1,1,0,0,1,0, 
152,884,1,1,0,1,1,1,0,1,0,0, 
153,884,1,1,0,1,1,1,0,1,0,0, 
154,886,1,1,0,1,1,1,0,1,1,0, 
155,886,1,1,0,1,1,1,0,1,1,0, 
156,888,1,1,0,1,1,1,1,0,0,0, 
157,888,1,1,0,1,1,1,1,0,0,0, 
158,888,1,1,0,1,1,1,1,0,0,0, 
159,890,1,1,0,1,1,1,1,0,1,0, 
160,890,1,1,0,1,1,1,1,0,1,0, 
161,892,1,1,0,1,1,1,1,1,0,0, 
162,892,1,1,0,1,1,1,1,1,0,0, 
163,892,1,1,0,1,1,1,1,1,0,0, 
164,894,1,1,0,1,1,1,1,1,1,0, 
165,894,1,1,0,1,1,1,1,1,1,0, 
166,896,1,1,1,0,0,0,0,0,0,0, 
167,896,1,1,1,0,0,0,0,0,0,0, 
168,896,1,1,1,0,0,0,0,0,0,0, 
169,898,1,1,1,0,0,0,0,0,1,0, 
170,898,1,1,1,0,0,0,0,0,1,0, 
171,900,1,1,1,0,0,0,0,1,0,0, 
172,900,1,1,1,0,0,0,0,1,0,0, 
173,902,1,1,1,0,0,0,0,1,1,0, 
174,902,1,1,1,0,0,0,0,1,1,0, 
175,902,1,1,1,0,0,0,0,1,1,0, 
176,904,1,1,1,0,0,0,1,0,0,0, 
177,904,1,1,1,0,0,0,1,0,0,0, 
178,906,1,1,1,0,0,0,1,0,1,0, 
179,906,1,1,1,0,0,0,1,0,1,0, 
180,906,1,1,1,0,0,0,1,0,1,0, 
181,908,1,1,1,0,0,0,1,1,0,0, 
182,908,1,1,1,0,0,0,1,1,0,0, 
183,910,1,1,1,0,0,0,1,1,1,0, 
184,910,1,1,1,0,0,0,1,1,1,0, 
185,910,1,1,1,0,0,0,1,1,1,0, 
186,912,1,1,1,0,0,1,0,0,0,0, 
187,912,1,1,1,0,0,1,0,0,0,0, 
188,914,1,1,1,0,0,1,0,0,1,0, 
189,914,1,1,1,0,0,1,0,0,1,0, 
190,914,1,1,1,0,0,1,0,0,1,0, 
191,916,1,1,1,0,0,1,0,1,0,0, 
192,916,1,1,1,0,0,1,0,1,0,0, 
193,918,1,1,1,0,0,1,0,1,1,0, 
194,918,1,1,1,0,0,1,0,1,1,0, 
195,920,1,1,1,0,0,1,1,0,0,0, 
196,920,1,1,1,0,0,1,1,0,0,0, 
197,920,1,1,1,0,0,1,1,0,0,0, 
198,922,1,1,1,0,0,1,1,0,1,0, 
199,922,1,1,1,0,0,1,1,0,1,0, 
200,924,1,1,1,0,0,1,1,1,0,0, 
201,924,1,1,1,0,0,1,1,1,0,0, 
202,924,1,1,1,0,0,1,1,1,0,0, 
203,926,1,1,1,0,0,1,1,1,1,0, 
204,926,1,1,1,0,0,1,1,1,1,0, 
205,928,1,1,1,0,1,0,0,0,0,0, 
206,928,1,1,1,0,1,0,0,0,0,0, 
207,928,1,1,1,0,1,0,0,0,0,0, 
208,930,1,1,1,0,1,0,0,0,1,0, 
209,930,1,1,1,0,1,0,0,0,1,0, 
210,932,1,1,1,0,1,0,0,1,0,0, 
211,932,1,1,1,0,1,0,0,1,0,0, 
212,932,1,1,1,0,1,0,0,1,0,0, 
213,934,1,1,1,0,1,0,0,1,1,0, 
214,934,1,1,1,0,1,0,0,1,1,0, 
215,936,1,1,1,0,1,0,1,0,0,0, 
216,936,1,1,1,0,1,0,1,0,0,0, 
217,938,1,1,1,0,1,0,1,0,1,0, 
218,938,1,1,1,0,1,0,1,0,1,0, 
219,938,1,1,1,0,1,0,1,0,1,0, 
220,940,1,1,1,0,1,0,1,1,0,0, 
221,940,1,1,1,0,1,0,1,1,0,0, 
222,942,1,1,1,0,1,0,1,1,1,0, 
223,942,1,1,1,0,1,0,1,1,1,0, 
224,942,1,1,1,0,1,0,1,1,1,0, 
225,944,1,1,1,0,1,1,0,0,0,0, 
226,944,1,1,1,0,1,1,0,0,0,0, 
227,946,1,1,1,0,1,1,0,0,1,0, 
228,946,1,1,1,0,1,1,0,0,1,0, 
229,946,1,1,1,0,1,1,0,0,1,0, 
230,948,1,1,1,0,1,1,0,1,0,0, 
231,948,1,1,1,0,1,1,0,1,0,0, 
232,950,1,1,1,0,1,1,0,1,1,0, 
233,950,1,1,1,0,1,1,0,1,1,0, 
234,950,1,1,1,0,1,1,0,1,1,0, 
235,952,1,1,1,0,1,1,1,0,0,0, 
236,952,1,1,1,0,1,1,1,0,0,0, 
237,954,1,1,1,0,1,1,1,0,1,0, 
238,954,1,1,1,0,1,1,1,0,1,0, 
239,956,1,1,1,0,1,1,1,1,0,0, 
240,956,1,1,1,0,1,1,1,1,0,0, 
241,956,1,1,1,0,1,1,1,1,0,0, 
242,958,1,1,1,0,1,1,1,1,1,0, 
243,958,1,1,1,0,1,1,1,1,1,0, 
244,960,1,1,1,1,0,0,0,0,0,0, 
245,960,1,1,1,1,0,0,0,0,0,0, 
246,960,1,1,1,1,0,0,0,0,0,0, 
247,962,1,1,1,1,0,0,0,0,1,0, 
248,962,1,1,1,1,0,0,0,0,1,0, 
249,964,1,1,1,1,0,0,0,1,0,0, 
250,964,1,1,1,1,0,0,0,1,0,0, 
251,964,1,1,1,1,0,0,0,1,0,0, 
252,966,1,1,1,1,0,0,0,1,1,0, 
253,966,1,1,1,1,0,0,0,1,1,0, 
254,968,1,1,1,1,0,0,1,0,0,0, 
255,968,1,1,1,1,0,0,1,0,0,0, 
256,970,1,1,1,1,0,0,1,0,1,0, 
257,970,1,1,1,1,0,0,1,0,1,0, 
258,970,1,1,1,1,0,0,1,0,1,0, 
259,972,1,1,1,1,0,0,1,1,0,0, 
260,972,1,1,1,1,0,0,1,1,0,0, 
261,974,1,1,1,1,0,0,1,1,1,0, 
262,974,1,1,1,1,0,0,1,1,1,0, 
263,974,1,1,1,1,0,0,1,1,1,0, 
264,976,1,1,1,1,0,1,0,0,0,0, 
265,976,1,1,1,1,0,1,0,0,0,0, 
266,978,1,1,1,1,0,1,0,0,1,0, 
267,978,1,1,1,1,0,1,0,0,1,0, 
268,978,1,1,1,1,0,1,0,0,1,0, 
269,980,1,1,1,1,0,1,0,1,0,0, 
270,980,1,1,1,1,0,1,0,1,0,0, 
271,982,1,1,1,1,0,1,0,1,1,0, 
272,982,1,1,1,1,0,1,0,1,1,0, 
273,982,1,1,1,1,0,1,0,1,1,0, 
274,984,1,1,1,1,0,1,1,0,0,0, 
275,984,1,1,1,1,0,1,1,0,0,0, 
276,986,1,1,1,1,0,1,1,0,1,0, 
277,986,1,1,1,1,0,1,1,0,1,0, 
278,988,1,1,1,1,0,1,1,1,0,0, 
279,988,1,1,1,1,0,1,1,1,0,0, 
280,988,1,1,1,1,0,1,1,1,0,0, 
281,990,1,1,1,1,0,1,1,1,1,0, 
282,990,1,1,1,1,0,1,1,1,1,0, 
283,992,1,1,1,1,1,0,0,0,0,0, 
284,992,1,1,1,1,1,0,0,0,0,0, 
285,992,1,1,1,1,1,0,0,0,0,0, 
286,994,1,1,1,1,1,0,0,0,1,0, 
287,994,1,1,1,1,1,0,0,0,1,0, 
288,996,1,1,1,1,1,0,0,1,0,0, 
289,996,1,1,1,1,1,0,0,1,0,0, 
290,996,1,1,1,1,1,0,0,1,0,0, 
291,998,1,1,1,1,1,0,0,1,1,0, 
292,998,1,1,1,1,1,0,0,1,1,0, 
293,1000,1,1,1,1,1,0,1,0,0,0, 
294,1000,1,1,1,1,1,0,1,0,0,0, 
295,1000,1,1,1,1,1,0,1,0,0,0, 
296,1002,1,1,1,1,1,0,1,0,1,0, 
297,1002,1,1,1,1,1,0,1,0,1,0, 
298,1004,1,1,1,1,1,0,1,1,0,0, 
299,1004,1,1,1,1,1,0,1,1,0,0, 
300,1006,1,1,1,1,1,0,1,1,1,0, 
301,1006,1,1,1,1,1,0,1,1,1,0, 
302,1006,1,1,1,1,1,0,1,1,1,0, 
303,1008,1,1,1,1,1,1,0,0,0,0, 
304,1008,1,1,1,1,1,1,0,0,0,0, 
305,1010,1,1,1,1,1,1,0,0,1,0, 
306,1010,1,1,1,1,1,1,0,0,1,0, 
307,1010,1,1,1,1,1,1,0,0,1,0, 
308,1012,1,1,1,1,1,1,0,1,0,0, 
309,1012,1,1,1,1,1,1,0,1,0,0, 
310,1014,1,1,1,1,1,1,0,1,1,0, 
311,1014,1,1,1,1,1,1,0,1,1,0, 
312,1014,1,1,1,1,1,1,0,1,1,0, 
313,1016,1,1,1,1,1,1,1,0,0,0, 
314,1016,1,1,1,1,1,1,1,0,0,0, 
315,1018,1,1,1,1,1,1,1,0,1,0, 
316,1018,1,1,1,1,1,1,1,0,1,0, 
317,1018,1,1,1,1,1,1,1,0,1,0, 
318,1020,1,1,1,1,1,1,1,1,0,0, 
319,1020,1,1,1,1,1,1,1,1,0,0, 
320,1022,1,1,1,1,1,1,1,1,1,0, 
321,1022,1,1,1,1,1,1,1,1,1,0, 
322,1023,1,1,1,1,1,1,1,1,1,1, 
323,1023,1,1,1,1,1,1,1,1,1,1, 
324,1023,1,1,1,1,1,1,1,1,1,1, 
325,1022,1,1,1,1,1,1,1,1,1,0, 
326,1022,1,1,1,1,1,1,1,1,1,0, 
327,1020,1,1,1,1,1,1,1,1,0,0, 
328,1020,1,1,1,1,1,1,1,1,0,0, 
329,1020,1,1,1,1,1,1,1,1,0,0, 
330,1018,1,1,1,1,1,1,1,0,1,0, 
331,1018,1,1,1,1,1,1,1,0,1,0, 
332,1016,1,1,1,1,1,1,1,0,0,0, 
333,1016,1,1,1,1,1,1,1,0,0,0, 
334,1016,1,1,1,1,1,1,1,0,0,0, 
335,1014,1,1,1,1,1,1,0,1,1,0, 
